,,ref_size,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size,unified_size,
algo,,dal,dsb,ll,mcsplit,rl,rrsplit,dal,dsb,ll,mcsplit,rl,rrsplit,
instance_a,instance_b,,,,,,,,,,,,,
007.txt,008.txt,18,17,17,17,17,17,17,17,17,17,17,17,17
007.txt,012.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
007.txt,017.txt,28,,,,,27,27,27,27,27,27,27,27
007.txt,021.txt,32,,,,,30,30,30,30,30,30,30,30
007.txt,037.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
007.txt,044.txt,15,14,14,14,14,14,14,14,14,14,14,14,14
007.txt,046.txt,25,,,,,24,24,24,24,24,24,24,24
007.txt,055.txt,38,37,37,37,37,37,37,37,37,37,37,37,37
007.txt,058.txt,16,15,15,15,15,15,15,15,15,15,15,15,15
007.txt,059.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
007.txt,062.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
007.txt,067.txt,22,21,21,21,21,21,21,21,21,21,21,21,21
007.txt,072.txt,14,13,13,13,13,13,13,13,13,13,13,13,13
007.txt,077.txt,14,13,13,13,13,13,13,13,13,13,13,13,13
007.txt,091.txt,33,,,,,32,32,32,32,32,32,32,32
007.txt,108.txt,24,,22,,,22,22,22,22,22,22,22,22
007.txt,111.txt,27,,,,,26,26,26,26,26,26,26,26
007.txt,112.txt,19,18,18,18,18,18,18,18,18,18,18,18,18
007.txt,120.txt,12,11,11,11,11,11,11,11,11,11,11,11,11
007.txt,143.txt,33,,,,,31,31,31,31,31,31,31,31
007.txt,170.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
007.txt,171.txt,32,,,,,30,30,30,30,30,30,30,30
007.txt,196.txt,22,21,21,21,21,21,21,21,21,21,21,21,21
012.txt,031.txt,8,7,7,7,7,7,7,7,7,7,7,7,7
012.txt,044.txt,13,12,12,12,12,12,12,12,12,12,12,12,12
012.txt,072.txt,13,12,12,12,12,12,12,12,12,12,12,12,12
012.txt,079.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
013.txt,031.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
013.txt,037.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
013.txt,196.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
015.txt,017.txt,29,,,,,28,28,28,28,28,28,28,28
015.txt,046.txt,27,,,,,26,26,26,26,26,26,26,26
015.txt,171.txt,33,,,,,32,32,32,32,32,32,32,32
017.txt,034.txt,25,24,24,24,24,24,24,24,24,24,24,24,24
017.txt,069.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
017.txt,099.txt,19,18,18,18,18,18,18,18,18,18,18,18,18
017.txt,101.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
017.txt,108.txt,22,21,21,21,21,21,21,21,21,21,21,21,21
017.txt,111.txt,25,24,24,24,24,24,24,24,24,24,24,24,24
017.txt,120.txt,13,12,12,12,12,12,12,12,12,12,12,12,12
017.txt,156.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
017.txt,157.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
017.txt,158.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
017.txt,159.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
017.txt,170.txt,22,21,21,21,21,21,21,21,21,21,21,21,21
018.txt,037.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
018.txt,053.txt,18,17,17,17,17,17,17,17,17,17,17,17,17
018.txt,067.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
018.txt,100.txt,16,15,15,15,15,15,15,15,15,15,15,15,15
018.txt,108.txt,24,,23,,,23,23,23,23,23,23,23,23
018.txt,120.txt,13,12,12,12,12,12,12,12,12,12,12,12,12
018.txt,196.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
021.txt,031.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
021.txt,034.txt,27,26,26,26,26,26,26,26,26,26,26,26,26
021.txt,037.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
021.txt,044.txt,14,13,13,13,13,13,13,13,13,13,13,13,13
021.txt,046.txt,25,24,24,24,24,24,24,24,24,24,24,24,24
021.txt,053.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
021.txt,058.txt,16,15,15,15,15,15,15,15,15,15,15,15,15
021.txt,059.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
021.txt,065.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
021.txt,071.txt,30,29,,29,29,29,29,29,,29,29,29,29
021.txt,091.txt,30,29,29,29,,29,29,29,29,29,,29,29
021.txt,099.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
021.txt,101.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
021.txt,108.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
021.txt,111.txt,27,25,25,25,,25,25,25,25,25,25,25,25
021.txt,112.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
021.txt,156.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
021.txt,157.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
021.txt,158.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
021.txt,159.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
022.txt,071.txt,31,30,30,30,30,30,30,30,30,30,30,30,30
022.txt,107.txt,31,30,30,30,,30,30,30,30,30,30,30,30
022.txt,111.txt,26,25,,25,,25,25,25,25,25,25,25,25
034.txt,037.txt,22,21,21,21,21,21,21,21,21,21,21,21,21
034.txt,044.txt,14,13,13,13,13,13,13,13,13,13,13,13,13
034.txt,058.txt,15,14,14,14,14,14,14,14,14,14,14,14,14
034.txt,059.txt,17,16,16,16,16,16,16,16,16,16,16,16,16
