instance_a,instance_b,McSplit,,,McSplit (Reference),,,McSplit-LL,,,McSplit-LL (Reference),,,McSplit-RL,,,McSplit-RL (Reference),,,McSplit-DSB,,,McSplit-DSB (Reference),,,RRSplit,,,RRSplit (Reference),,,SymSplit,,,SymSplit (Reference),,,McSplit-DAL,,,McSplit-DAL (Reference),,
,,Size,Nodes,Runtime,Size,Nodes,Runtime,Size,Nodes,Runtime,Size,Nodes,Runtime,Size,Nodes,Runtime,Size,Nodes,Runtime,Size,Nodes,Runtime,Size,Nodes,Runtime,Size,Nodes,Runtime,Size,Nodes,Runtime,Size,Nodes,Runtime,Size,Nodes,Runtime,Size,Nodes,Runtime,Size,Nodes,Runtime
mcs10_b03_s40.A01,mcs10_b03_s40.B01,31,33766439,3.47034,31,33766439,2.922,31,26407581,3.80183,31,26407581,3.703,31,62310016,8.09277,31,62310016,7.292,31,33762353,4.88353,31,33762353,5.10696,31,6751191,2.28995,31,5860304,1.902,31,21180862,2.61079,31,21180862,2.50875,31,43323165,6.88053,32,39617849,6.1
mcs10_b03_s40.A08,mcs10_b03_s40.B08,31,87092379,8.58296,31,87092379,7.275,31,213738218,28.6347,31,213738218,27.798,31,142592583,18.2054,31,142592583,16.548,31,87062864,9.09218,31,87062864,9.33947,31,23905969,14.1702,31,22727989,12.984,31,77785231,6.58351,31,77785231,6.27467,31,150387663,21.1821,32,108506192,15.564
mcs10_b03_s50.A05,mcs10_b03_s50.B05,39,2626986971,307.876,39,2626986971,268.933,39,3086621703,456.959,39,3086621703,443.811,39,7160548093,1000.02,0,0,0,39,2626873012,306.576,39,2626873012,319.509,39,788399242,243.069,39,745545118,225.915,39,2303827585,216.454,39,2303827585,211.067,39,2710241879,431.779,40,423322384,63.629
mcs10_b03_s50.A07,mcs10_b03_s50.B07,39,4932932103,517.932,39,4932932103,452.187,39,2517797789,375.45,39,2517797789,365.897,39,5402642761,710.75,39,5402642761,645.534,39,4931006901,701.216,39,4931006901,735.277,39,356160480,265.47,39,315265354,223.565,39,1155742238,113.805,39,1155742238,108.823,39,3151500473,501.499,40,1586580890,249.455
mcs10_b03_s50.A08,mcs10_b03_s50.B08,39,2725361801,310.965,39,2725361801,273.449,39,1338995799,225.099,39,1338995799,215.725,39,2918867122,421.214,39,2918867122,382.032,39,2725347011,418.379,39,2725347011,438.983,39,446511340,332.211,39,414606862,296.529,39,1509552109,148.798,39,1509552109,143.011,39,2214570369,364.284,40,1159346588,187.693
mcs10_b03m_s40.A08,mcs10_b03m_s40.B08,31,152478836,14.4711,31,152478836,12.301,31,96126338,13.315,31,96126338,12.944,31,148415596,20.1265,31,148415596,18.042,31,152475679,14.9074,31,152475679,15.3021,31,38204048,12.1724,31,35913888,10.987,31,117160234,10.3637,31,117160234,10.0809,31,184169301,26.8827,32,72690009,9.986
mcs10_b03m_s50.A02,mcs10_b03m_s50.B02,39,6710279781,978.875,39,6710279781,843.473,39,4203426463,593.116,39,4203426463,576.479,39,7476881748,1000.01,0,0,0,39,6677573210,706.389,39,6677573210,736.068,39,600536347,204.689,39,545303640,178.437,39,1781304552,207.145,39,1781304552,206.554,39,5015730797,762.283,40,2193619344,336.982
mcs10_r005_s20.A05,mcs10_r005_s20.B05,16,103133,0.00599835,16,103133,0.004,16,13198,0.00296835,16,13198,0.002,16,79378,0.00743,16,79378,0.006,16,103035,0.00664785,16,103035,0.00635987,16,7647,0.00254789,16,7272,0.002,16,11928,0.00156236,16,11928,0.0014757,16,45435,0.00484299,17,30322,0.002
mcs10_r005_s20.A06,mcs10_r005_s20.B06,17,2231,0.000207993,17,2231,0,17,867,0.000170706,17,867,0,17,2986,0.00037776,17,2986,0,17,2173,0.000218712,17,2173,0.000196618,17,311,0.000366277,17,292,0,17,749,0.000136587,17,749,0.000122184,17,2514,0.000386773,18,1617,0
mcs10_r005_s20.A08,mcs10_r005_s20.B08,16,56642,0.00342776,16,56642,0.002,16,24968,0.00561537,16,24968,0.005,16,93042,0.00812645,16,93042,0.007,16,54207,0.00367594,16,54207,0.00358792,16,11950,0.00272376,16,11449,0.002,16,23062,0.00168058,16,23062,0.00155043,16,62307,0.00710282,17,29332,0.003
mcs30_b03_s40.A02,mcs30_b03_s40.B02,31,99241244,9.81197,31,99241244,8.419,31,67907217,9.40486,31,67907217,9.073,31,111291066,14.3062,31,111291066,12.766,31,96916238,10.7158,31,96916238,10.8534,31,27279916,8.49291,31,25640711,7.753,31,81114125,7.44959,31,81114125,7.13221,31,86655162,12.6946,32,59440026,8.253
mcs30_b03_s50.A03,mcs30_b03_s50.B03,39,4655573137,447.983,39,4655573137,386.148,39,3016677160,427.794,39,3016677160,414.158,39,7907442986,1000.01,0,0,0,39,4653703337,460.372,39,4653703337,474.532,39,434435855,149.808,39,399826695,132.489,39,1404853442,134.059,39,1404853442,131.001,39,3703119813,563.15,40,632378868,97.748
mcs30_b03m_s40.A02,mcs30_b03m_s40.B02,31,92748499,9.59085,31,92748499,8.17,31,55468587,7.78016,31,55468587,7.595,31,77923079,10.11,31,77923079,9.135,31,92746110,9.73031,31,92746110,9.99124,31,17063050,5.56438,31,15922597,5.03,31,48808486,6.48046,31,48808486,6.29,31,61557134,9.15906,32,90152103,12.897
mcs30_b03m_s40.A09,mcs30_b03m_s40.B09,31,114212404,9.88209,31,114212404,8.395,31,1214084159,169.102,31,1214084159,165.165,31,1395576885,149.772,31,1395576885,140.31,31,114208763,10.3821,31,114208763,10.5061,31,24140513,13.7503,31,21412270,11.826,31,73401036,5.99774,31,73401036,5.70396,31,297764145,43.1682,32,59218168,8.347
mcs30_b03m_s50.A06,mcs30_b03m_s50.B06,39,5944034799,442.773,39,5944034799,377.381,39,3286692206,840.692,39,3286692206,805.542,37,8106400478,1000.01,0,0,0,39,5908611088,469.002,39,5908611088,471.412,39,631687493,252.14,39,584957344,224.812,39,1679367837,167.569,39,1679367837,160.798,39,4143978987,537.749,40,1672013889,261.613
mcs30_b03m_s50.A09,mcs30_b03m_s50.B09,39,4889475757,514.415,39,4889475757,450.481,39,2203200952,332.376,39,2203200952,324.174,39,6533177341,890.542,39,6533177341,809.059,39,4889474007,526.583,39,4889474007,547.812,39,826330999,314.16,39,727666652,264.258,39,2621339230,253.306,39,2621339230,244.083,39,3194788340,507.6,40,2510277858,383.068
mcs30_r005_s20.A00,mcs30_r005_s20.B00,16,13881,0.00118119,16,13881,0.001,16,9072,0.00103915,16,9072,0,16,27172,0.00247246,16,27172,0.002,16,13738,0.000941883,16,13738,0.00087376,16,3052,0.000767944,16,2841,0,16,5307,0.000508957,16,5307,0.000486803,16,22575,0.00256981,17,5557,0
mcs30_r01_s10.A09,mcs30_r01_s10.B09,7,739,0.000069595,7,739,0,7,616,0.000108053,7,616,0,7,850,0.000100521,7,850,0,7,696,0.000084088,7,696,0.0000661,7,107,0.000247731,7,105,0,7,305,0.000067282,7,305,0.000053009,7,782,0.000120922,8,446,0
mcs50_b03m_s20.A02,mcs50_b03m_s20.B02,15,25614,0.00240922,15,25614,0.002,15,26433,0.0033076,15,26433,0.003,15,29211,0.00342068,15,29211,0.003,15,25403,0.00258138,15,25403,0.00253086,15,8011,0.00476977,15,7754,0.004,15,23565,0.00238922,15,23565,0.00207791,15,26002,0.00346097,16,25609,0.003
mcs50_b03m_s35.A04,mcs50_b03m_s35.B04,27,11769354,1.10517,27,11769354,0.933,27,9681846,1.35308,27,9681846,1.322,27,12150101,1.57532,27,12150101,1.428,27,11769216,1.25007,27,11769216,1.26103,27,3125874,0.942084,27,2919932,0.836,27,9369012,0.847134,27,9369012,0.804647,27,10476076,1.55448,28,2406936,0.322
mcs50_m4Dr4_s30.A08,mcs50_m4Dr4_s30.B08,20,17374956,1.8062,20,17374956,1.521,20,18511708,2.54184,20,18511708,2.422,20,19900381,2.70117,20,19900381,2.402,20,17372964,1.95785,20,17372964,1.9222,20,5822542,1.7505,20,5774338,1.709,20,17070973,1.70217,20,17070973,1.65029,20,17462336,2.59269,21,13306889,1.887
mcs50_r005_s20.A00,mcs50_r005_s20.B00,16,11938,0.000821649,16,11938,0,16,7277,0.000895637,16,7277,0,16,12413,0.00130688,16,12413,0.001,16,11858,0.000895468,16,11858,0.000822028,16,2428,0.000655597,16,2255,0,16,6859,0.000546052,16,6859,0.000507915,16,16237,0.00257188,17,7355,0.001
mcs50_r005_s20.A01,mcs50_r005_s20.B01,16,19904,0.00144768,16,19904,0.001,16,19307,0.00203429,16,19307,0.001,16,18940,0.00180873,16,18940,0.001,16,19566,0.00155739,16,19566,0.00149112,16,6915,0.00293334,16,6612,0.002,16,18505,0.00128947,16,18505,0.00126769,16,32894,0.00376758,17,8938,0.001
