instances,algorithm,directed,unified_size,ref_size,match,,instances,algorithm,directed,unified_size,ref_size,match
176-192,mcsplit,no,27,,REF_EMPTY,,176-192,mcsplit,yes,27,,REF_EMPTY
176-192,rl,no,27,,REF_EMPTY,,176-192,rl,yes,27,,REF_EMPTY
176-192,ll,no,27,,REF_EMPTY,,176-192,ll,yes,27,,REF_EMPTY
176-192,dal,no,27,,REF_EMPTY,,176-192,dal,yes,27,,REF_EMPTY
176-192,dsb,no,27,,REF_EMPTY,,176-192,dsb,yes,27,,REF_EMPTY
176-192,rrsplit,no,27,27,MATCH,,176-192,rrsplit,yes,27,,REF_CRASH
176-192,symsplit,no,27,27,MATCH,,176-192,symsplit,yes,27,24,MISMATCH
176-196,mcsplit,no,23,,REF_EMPTY,,176-196,mcsplit,yes,21,,REF_EMPTY
176-196,rl,no,23,,REF_EMPTY,,176-196,rl,yes,21,,REF_EMPTY
176-196,ll,no,23,,REF_EMPTY,,176-196,ll,yes,21,,REF_EMPTY
176-196,dal,no,23,,REF_EMPTY,,176-196,dal,yes,21,,REF_EMPTY
176-196,dsb,no,23,,REF_EMPTY,,176-196,dsb,yes,21,,REF_EMPTY
176-196,rrsplit,no,23,23,MATCH,,176-196,rrsplit,yes,23,,REF_CRASH
176-196,symsplit,no,23,23,MATCH,,176-196,symsplit,yes,23,22,MISMATCH
177-192,mcsplit,no,28,,REF_EMPTY,,177-192,mcsplit,yes,27,,REF_EMPTY
177-192,rl,no,28,,REF_EMPTY,,177-192,rl,yes,27,,REF_EMPTY
177-192,ll,no,28,,REF_EMPTY,,177-192,ll,yes,27,,REF_EMPTY
177-192,dal,no,28,,REF_EMPTY,,177-192,dal,yes,27,,REF_EMPTY
177-192,dsb,no,28,,REF_EMPTY,,177-192,dsb,yes,27,,REF_EMPTY
177-192,rrsplit,no,28,28,MATCH,,177-192,rrsplit,yes,28,,REF_CRASH
177-192,symsplit,no,28,28,MATCH,,177-192,symsplit,yes,28,24,MISMATCH
177-196,mcsplit,no,23,,REF_EMPTY,,177-196,mcsplit,yes,21,,REF_EMPTY
177-196,rl,no,23,,REF_EMPTY,,177-196,rl,yes,21,,REF_EMPTY
177-196,ll,no,23,,REF_EMPTY,,177-196,ll,yes,21,,REF_EMPTY
177-196,dal,no,23,24,MISMATCH,,177-196,dal,yes,21,,REF_EMPTY
177-196,dsb,no,23,,REF_EMPTY,,177-196,dsb,yes,21,,REF_EMPTY
177-196,rrsplit,no,23,23,MATCH,,177-196,rrsplit,yes,23,,REF_CRASH
177-196,symsplit,no,23,23,MATCH,,177-196,symsplit,yes,23,22,MISMATCH
192-196,mcsplit,no,21,21,MATCH,,192-196,mcsplit,yes,20,20,MATCH
192-196,rl,no,21,21,MATCH,,192-196,rl,yes,20,20,MATCH
192-196,ll,no,21,21,MATCH,,192-196,ll,yes,20,20,MATCH
192-196,dal,no,21,21,MATCH,,192-196,dal,yes,20,20,MATCH
192-196,dsb,no,21,21,MATCH,,192-196,dsb,yes,20,20,MATCH
192-196,rrsplit,no,21,21,MATCH,,192-196,rrsplit,yes,21,,REF_CRASH
192-196,symsplit,no,21,21,MATCH,,192-196,symsplit,yes,21,20,MISMATCH
