instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs10_b03_s100.A00,mcs10_b03_s100.B00,dal_dal,72,86,6193152056,1000,1,100,1110540954,143.685,4674337481,4674337481,0,4674337314,
mcs10_b03_s100.A01,mcs10_b03_s100.B01,dal_dal,71,79,5583401480,1000.01,1,100,541219420,97.4022,4064369647,4064369647,0,4064369690,
mcs10_b03_s100.A02,mcs10_b03_s100.B02,dal_dal,63,68,8049069353,1000.02,1,100,46017,0.00422138,7437421221,7437421221,0,7437421388,
mcs10_b03_s100.A03,mcs10_b03_s100.B03,dal_dal,64,77,8868078950,1000,1,100,6705991,0.660778,8042449788,8042449788,0,8042449962,
mcs10_b03_s100.A04,mcs10_b03_s100.B04,dal_dal,63,56,17562715147,1000.02,1,100,28224,0.00275901,14817828787,14817828787,0,14817829056,
mcs10_b03_s100.A05,mcs10_b03_s100.B05,dal_dal,60,65,14064637585,1000.02,1,100,286562730,17.3884,11783979142,11783979142,0,11783979473,
mcs10_b03_s100.A06,mcs10_b03_s100.B06,dal_dal,67,78,12000289359,1000.02,1,100,8543480351,569.895,9683056785,9683056785,0,9683056980,
mcs10_b03_s100.A07,mcs10_b03_s100.B07,dal_dal,73,86,6754486601,1000.02,1,100,4960373599,708.039,5433369148,5433369148,0,5433369232,
mcs10_b03_s100.A08,mcs10_b03_s100.B08,dal_dal,69,79,11960784043,1000.02,1,100,82387343,13.4003,9789606559,9789606559,0,9789606631,
mcs10_b03_s100.A09,mcs10_b03_s100.B09,dal_dal,65,68,19060184338,1000.01,1,100,3944225,0.522444,15866895858,15866895858,0,15866896097,
mcs10_b03_s40.A00,mcs10_b03_s40.B00,dal_dal,31,33,309736298,42.1753,0,40,12372256,1.56879,212882871,212882871,0,212882811,
mcs10_b03_s40.A01,mcs10_b03_s40.B01,dal_dal,31,32,142642272,19.854,0,40,1982349,0.140723,105846684,105846684,0,105846594,
mcs10_b03_s40.A02,mcs10_b03_s40.B02,dal_dal,31,42,124141537,16.6167,0,40,65929211,7.94687,92522867,92522867,0,92522827,
mcs10_b03_s40.A03,mcs10_b03_s40.B03,dal_dal,31,38,112481670,31.5024,0,40,2074125,0.496936,77641482,77641482,0,77641424,
mcs10_b03_s40.A04,mcs10_b03_s40.B04,dal_dal,31,30,72501610,20.3773,0,40,6878593,1.79326,52217872,52217872,0,52217686,
mcs10_b03_s40.A05,mcs10_b03_s40.B05,dal_dal,31,36,68318789,15.953,0,40,36976322,6.92089,50217596,50217596,0,50217557,
mcs10_b03_s40.A06,mcs10_b03_s40.B06,dal_dal,31,39,298439432,84.4697,0,40,3460323,0.679868,206211624,206211624,0,206211569,
mcs10_b03_s40.A07,mcs10_b03_s40.B07,dal_dal,30,35,3118714330,842.681,0,40,120818437,30.8824,2145784649,2145784649,0,2145784587,
mcs10_b03_s40.A08,mcs10_b03_s40.B08,dal_dal,31,36,242097667,33.1499,0,40,393835,0.0489526,168796709,168796709,0,168796656,
mcs10_b03_s40.A09,mcs10_b03_s40.B09,dal_dal,31,34,75886804,10.4447,0,40,8800476,1.10312,53868360,53868360,0,53868251,
mcs10_b03_s50.A00,mcs10_b03_s50.B00,dal_dal,39,48,7054044691,1000,1,50,1574790220,215.825,4931007194,4931007194,0,4931007175,
mcs10_b03_s50.A01,mcs10_b03_s50.B01,dal_dal,40,45,1797221516,271.566,0,50,1763309905,266.162,1274860210,1274860210,0,1274860138,
mcs10_b03_s50.A02,mcs10_b03_s50.B02,dal_dal,40,48,6912926851,1000.02,1,50,6230828030,894.118,5023872551,5023872551,0,5023872593,
mcs10_b03_s50.A03,mcs10_b03_s50.B03,dal_dal,40,50,3977137259,606.18,0,50,3062349876,462.454,2791772387,2791772387,0,2791772281,
mcs10_b03_s50.A04,mcs10_b03_s50.B04,dal_dal,39,44,7580241101,1000.02,1,50,3444870175,362.126,5641838540,5641838540,0,5641838575,
mcs10_b03_s50.A05,mcs10_b03_s50.B05,dal_dal,39,44,4457339525,644.349,0,50,605017080,81.0068,3094755488,3094755488,0,3094755426,
mcs10_b03_s50.A06,mcs10_b03_s50.B06,dal_dal,39,47,7102557261,1000.02,1,50,2782233259,354.251,5336685469,5336685469,0,5336685470,
mcs10_b03_s50.A07,mcs10_b03_s50.B07,dal_dal,31,41,16023813563,1000.02,1,50,104417,0.0047265,13042047789,13042047789,0,13042047884,
mcs10_b03_s50.A08,mcs10_b03_s50.B08,dal_dal,39,51,4943963417,719.102,0,50,835961876,105.931,3593806969,3593806969,0,3593806909,
mcs10_b03_s50.A09,mcs10_b03_s50.B09,dal_dal,39,38,6521800262,1000.02,1,50,100386915,14.249,4717984655,4717984655,0,4717984578,
mcs10_b03_s60.A00,mcs10_b03_s60.B00,dal_dal,35,36,18433849109,1000.02,1,60,470,9.5745e-05,15452182998,15452182998,0,15452182968,
mcs10_b03_s60.A01,mcs10_b03_s60.B01,dal_dal,45,51,6806395709,1000.02,1,60,3815065154,552.303,4946230132,4946230132,0,4946230207,
mcs10_b03_s60.A02,mcs10_b03_s60.B02,dal_dal,45,53,6732981773,1000.01,1,60,1358013094,188.08,4960440873,4960440873,0,4960440808,
mcs10_b03_s60.A03,mcs10_b03_s60.B03,dal_dal,45,54,6461676084,1000,1,60,1083951800,166.443,4594110325,4594110325,0,4594110354,
mcs10_b03_s60.A04,mcs10_b03_s60.B04,dal_dal,46,55,6411154916,1000.02,1,60,6128145306,954.457,4739716664,4739716664,0,4739716691,
mcs10_b03_s60.A05,mcs10_b03_s60.B05,dal_dal,46,57,6439509353,1000.02,1,60,73327111,10.1367,4622364693,4622364693,0,4622364730,
mcs10_b03_s60.A06,mcs10_b03_s60.B06,dal_dal,48,55,6329956783,1000.01,1,60,4287629807,662.339,4541616470,4541616470,0,4541616454,
mcs10_b03_s60.A07,mcs10_b03_s60.B07,dal_dal,46,62,6387814682,1000,1,60,1942700835,293.307,4822160538,4822160538,0,4822160532,
mcs10_b03_s60.A08,mcs10_b03_s60.B08,dal_dal,45,53,6469058449,1000.01,1,60,145668802,20.0254,4694436719,4694436719,0,4694436717,
mcs10_b03_s60.A09,mcs10_b03_s60.B09,dal_dal,47,57,6502121180,1000,1,60,5502942610,841.108,4605461454,4605461454,0,4605461456,
mcs10_b03_s70.A00,mcs10_b03_s70.B00,dal_dal,52,55,6814718606,1000.02,1,70,3292854836,475.421,4829743733,4829743733,0,4829743770,
mcs10_b03_s70.A01,mcs10_b03_s70.B01,dal_dal,49,44,7982392274,1000.02,1,70,2318855998,229.988,6951604148,6951604148,0,6951604279,
mcs10_b03_s70.A02,mcs10_b03_s70.B02,dal_dal,48,53,11709863566,1000.02,1,70,17441218,1.12892,9828998305,9828998305,0,9828998490,
mcs10_b03_s70.A03,mcs10_b03_s70.B03,dal_dal,46,57,17129938907,1000.02,1,70,173238,0.0192326,14650908110,14650908110,0,14650908416,
mcs10_b03_s70.A04,mcs10_b03_s70.B04,dal_dal,51,54,10678747297,1000.01,1,70,5349001574,418.932,9462241948,9462241948,0,9462241942,
mcs10_b03_s70.A05,mcs10_b03_s70.B05,dal_dal,51,65,6792215289,1000.02,1,70,542704275,76.5807,4694843789,4694843789,0,4694843822,
mcs10_b03_s70.A06,mcs10_b03_s70.B06,dal_dal,53,62,7145805227,1000.01,1,70,4290552151,574.533,5519799270,5519799270,0,5519799270,
mcs10_b03_s70.A07,mcs10_b03_s70.B07,dal_dal,46,57,16859020598,1000.01,1,70,1320376762,92.0232,14033726907,14033726907,0,14033727038,
mcs10_b03_s70.A08,mcs10_b03_s70.B08,dal_dal,53,70,7393121113,1000.02,1,70,4892819281,632.671,5765357779,5765357779,0,5765357743,
mcs10_b03_s70.A09,mcs10_b03_s70.B09,dal_dal,52,62,6500269774,1000.01,1,70,1167160370,169.069,4687188244,4687188244,0,4687188248,
mcs10_b03_s80.A00,mcs10_b03_s80.B00,dal_dal,50,56,19375245552,1000.02,1,80,2793,0.000491559,14765549557,14765549557,0,14765549274,
mcs10_b03_s80.A01,mcs10_b03_s80.B01,dal_dal,52,49,9529238122,1000.02,1,80,4794462064,512.375,7546565304,7546565304,0,7546565394,
