instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs10_b03_s100.A00,mcs10_b03_s100.B00,dal_rl,72,86,5591466656,1000.01,1,721094782,102.214,4252094936,4252094936,0
mcs10_b03_s100.A01,mcs10_b03_s100.B01,dal_rl,71,79,4900745067,1000.02,1,1047429861,211.01,3624821366,3624821366,0
mcs10_b03_s100.A02,mcs10_b03_s100.B02,dal_rl,64,67,7255527623,1000.02,1,4495828896,604.458,6760437899,6760437899,0
mcs10_b03_s100.A03,mcs10_b03_s100.B03,dal_rl,64,76,10260814473,1000.02,1,8170451,0.623788,9156997388,9156997388,0
mcs10_b03_s100.A04,mcs10_b03_s100.B04,dal_rl,63,57,16671021674,1000.01,1,33341,0.00301252,13776515262,13776515262,0
mcs10_b03_s100.A05,mcs10_b03_s100.B05,dal_rl,61,68,15057538660,1000.02,1,10409,0.000973756,11915759602,11915759602,0
mcs10_b03_s100.A06,mcs10_b03_s100.B06,dal_rl,67,72,8502346742,1000,1,2061199,0.403207,6884515564,6884515564,0
mcs10_b03_s100.A07,mcs10_b03_s100.B07,dal_rl,72,85,6953695569,1000,1,1217990402,160.691,6069816960,6069816960,0
mcs10_b03_s100.A08,mcs10_b03_s100.B08,dal_rl,69,76,8353735251,1000,1,102180041,15.4019,7375643376,7375643376,0
mcs10_b03_s100.A09,mcs10_b03_s100.B09,dal_rl,65,68,16198358558,1000.02,1,3944846,0.635296,14160155163,14160155163,0
mcs10_b03_s40.A00,mcs10_b03_s40.B00,dal_rl,31,38,488920664,77.0725,0,152227285,23.3619,339653539,339653539,0
mcs10_b03_s40.A01,mcs10_b03_s40.B01,dal_rl,31,32,92147983,12.8841,0,692135,0.0594234,69211274,69211274,0
mcs10_b03_s40.A02,mcs10_b03_s40.B02,dal_rl,31,34,172055982,22.6429,0,121340317,15.1607,131554883,131554883,0
mcs10_b03_s40.A03,mcs10_b03_s40.B03,dal_rl,31,38,70379154,9.78446,0,1939593,0.229876,48803738,48803738,0
mcs10_b03_s40.A04,mcs10_b03_s40.B04,dal_rl,31,30,62963069,8.90265,0,6508990,0.843562,45330883,45330883,0
mcs10_b03_s40.A05,mcs10_b03_s40.B05,dal_rl,31,35,91662615,11.1769,0,49561741,5.22197,68589149,68589149,0
mcs10_b03_s40.A06,mcs10_b03_s40.B06,dal_rl,31,34,284468115,40.2159,0,5128616,0.581685,196508097,196508097,0
mcs10_b03_s40.A07,mcs10_b03_s40.B07,dal_rl,30,36,2430389066,328.112,0,74337862,9.53876,1675249418,1675249418,0
mcs10_b03_s40.A08,mcs10_b03_s40.B08,dal_rl,31,36,208679208,28.4321,0,136149,0.017221,144795082,144795082,0
mcs10_b03_s40.A09,mcs10_b03_s40.B09,dal_rl,31,34,74014583,10.2699,0,8382128,1.13462,52567619,52567619,0
mcs10_b03_s50.A00,mcs10_b03_s50.B00,dal_rl,39,44,6930954618,1000.01,1,5885766324,848.119,4922554636,4922554636,0
mcs10_b03_s50.A01,mcs10_b03_s50.B01,dal_rl,40,45,2047436247,342.174,0,2033280724,339.847,1464942352,1464942352,0
mcs10_b03_s50.A02,mcs10_b03_s50.B02,dal_rl,37,38,6356810344,1000,1,363110393,48.6322,4693883785,4693883785,0
mcs10_b03_s50.A03,mcs10_b03_s50.B03,dal_rl,40,50,5457960034,925.049,0,5193215198,878.852,3862182223,3862182223,0
mcs10_b03_s50.A04,mcs10_b03_s50.B04,dal_rl,39,44,7749149060,1000.02,1,5231153416,581.623,5866627713,5866627713,0
mcs10_b03_s50.A05,mcs10_b03_s50.B05,dal_rl,39,42,4464926848,696.122,0,526604186,74.6384,3111325562,3111325562,0
mcs10_b03_s50.A06,mcs10_b03_s50.B06,dal_rl,38,52,3783669840,1000.02,1,1651152642,445.672,2865122437,2865122437,0
mcs10_b03_s50.A07,mcs10_b03_s50.B07,dal_rl,31,36,8893908751,1000.02,1,26132,0.00236129,7082132812,7082132812,0
mcs10_b03_s50.A08,mcs10_b03_s50.B08,dal_rl,39,39,3510361480,1000,1,1393658463,373.26,2562855068,2562855068,0
mcs10_b03_s50.A09,mcs10_b03_s50.B09,dal_rl,39,38,3322684070,1000,1,261507992,61.3847,2436787088,2436787088,0
mcs10_b03_s60.A00,mcs10_b03_s60.B00,dal_rl,38,37,9553283241,1000.02,1,1690,0.000465018,8405775290,8405775290,0
mcs10_b03_s60.A01,mcs10_b03_s60.B01,dal_rl,45,49,6954137839,1000,1,2654440536,375.14,5001463805,5001463805,0
mcs10_b03_s60.A02,mcs10_b03_s60.B02,dal_rl,45,53,6913320568,1000.02,1,1963627946,260.619,5133070298,5133070298,0
mcs10_b03_s60.A03,mcs10_b03_s60.B03,dal_rl,45,52,7029930283,1000,1,1575852916,228.836,5021685818,5021685818,0
mcs10_b03_s60.A04,mcs10_b03_s60.B04,dal_rl,46,61,6510425737,1000.02,1,3457270266,516.268,4847577661,4847577661,0
mcs10_b03_s60.A05,mcs10_b03_s60.B05,dal_rl,46,57,6783473169,1000.02,1,55703422,6.97805,4923538692,4923538692,0
mcs10_b03_s60.A06,mcs10_b03_s60.B06,dal_rl,48,55,6652776279,1000.02,1,4123501095,602.743,4800933083,4800933083,0
mcs10_b03_s60.A07,mcs10_b03_s60.B07,dal_rl,46,62,7199049545,1000.02,1,4048834873,530.52,5621846194,5621846194,0
mcs10_b03_s60.A08,mcs10_b03_s60.B08,dal_rl,45,50,6628140702,1000.01,1,105540699,13.4315,4847524466,4847524466,0
mcs10_b03_s60.A09,mcs10_b03_s60.B09,dal_rl,47,57,6681937702,1000.02,1,4280109408,632.02,4767474718,4767474718,0
mcs10_b03_s70.A00,mcs10_b03_s70.B00,dal_rl,52,54,6943363190,1000.02,1,4156541857,594.968,4981053817,4981053817,0
mcs10_b03_s70.A01,mcs10_b03_s70.B01,dal_rl,50,49,9519212135,1000.02,1,4993607685,595.618,8138124873,8138124873,0
mcs10_b03_s70.A02,mcs10_b03_s70.B02,dal_rl,48,54,11069239325,1000.01,1,17903366,1.00791,10069896123,10069896123,0
mcs10_b03_s70.A03,mcs10_b03_s70.B03,dal_rl,46,57,20890063652,1000.02,1,494603,0.054396,17356679298,17356679298,0
mcs10_b03_s70.A04,mcs10_b03_s70.B04,dal_rl,51,56,10761570829,1000.02,1,1249608426,84.8399,9529896340,9529896340,0
