instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs10_b03_s100.A00,mcs10_b03_s100.B00,dsb_always,62,49,22337231810,1000.02,1,100,453144137,25.0015,16794361918,16794361918,0,0,
mcs10_b03_s100.A01,mcs10_b03_s100.B01,dsb_always,64,52,13182603560,1000,1,100,5237749120,411.318,11099542869,11099542869,0,0,
mcs10_b03_s100.A02,mcs10_b03_s100.B02,dsb_always,65,53,15993920333,1000,1,100,15926632808,991.786,13466417910,13466417910,0,0,
mcs10_b03_s100.A03,mcs10_b03_s100.B03,dsb_always,63,52,21268598231,1000.02,1,100,7678958,0.420838,16419320339,16419320339,0,0,
mcs10_b03_s100.A04,mcs10_b03_s100.B04,dsb_always,65,52,23500454693,1000,1,100,3489260951,164.684,17833259859,17833259859,0,0,
mcs10_b03_s100.A05,mcs10_b03_s100.B05,dsb_always,64,51,16311817741,1000,1,100,3553213,0.426026,13705981137,13705981137,0,0,
mcs10_b03_s100.A06,mcs10_b03_s100.B06,dsb_always,73,64,6921901682,1000,1,100,234415824,31.6599,4823451000,4823451000,0,0,
mcs10_b03_s100.A07,mcs10_b03_s100.B07,dsb_always,63,47,18397159702,1000,1,100,9118490063,495.774,14848768608,14848768608,0,0,
mcs10_b03_s100.A08,mcs10_b03_s100.B08,dsb_always,59,46,23029077879,1000.01,1,100,1474371,0.146904,19467020550,19467020550,0,0,
mcs10_b03_s100.A09,mcs10_b03_s100.B09,dsb_always,67,55,10363032030,1000.01,1,100,2416771414,206.36,8583089427,8583089427,0,0,
mcs10_b03_s40.A00,mcs10_b03_s40.B00,dsb_always,31,27,117352191,11.803,0,40,14795948,1.4952,78775128,78775128,0,0,
mcs10_b03_s40.A01,mcs10_b03_s40.B01,dsb_always,31,24,33762349,6.51671,0,40,1751425,0.325069,25454541,25454541,0,0,
mcs10_b03_s40.A02,mcs10_b03_s40.B02,dsb_always,31,23,388603582,72.6784,0,40,350668055,64.8078,286448368,286448368,0,0,
mcs10_b03_s40.A03,mcs10_b03_s40.B03,dsb_always,31,24,92971914,19.7403,0,40,18393428,3.84685,64928987,64928987,0,0,
mcs10_b03_s40.A04,mcs10_b03_s40.B04,dsb_always,31,27,52568513,10.6344,0,40,259616,0.0435535,38136585,38136585,0,0,
mcs10_b03_s40.A05,mcs10_b03_s40.B05,dsb_always,31,28,60058508,12.6319,0,40,14232563,2.92993,43266175,43266175,0,0,
mcs10_b03_s40.A06,mcs10_b03_s40.B06,dsb_always,31,25,81131176,16.1166,0,40,39530081,7.48351,57330195,57330195,0,0,
mcs10_b03_s40.A07,mcs10_b03_s40.B07,dsb_always,30,24,859792096,85.9996,0,40,8451398,0.803932,616467766,616467766,0,0,
mcs10_b03_s40.A08,mcs10_b03_s40.B08,dsb_always,31,27,87062862,8.43519,0,40,3276788,0.275907,62102959,62102959,0,0,
mcs10_b03_s40.A09,mcs10_b03_s40.B09,dsb_always,31,28,85919179,8.84072,0,40,116259,0.0102326,63747556,63747556,0,0,
mcs10_b03_s50.A00,mcs10_b03_s50.B00,dsb_always,39,28,7369481776,771.152,0,50,2478315359,250.218,5272753274,5272753274,0,0,
mcs10_b03_s50.A01,mcs10_b03_s50.B01,dsb_always,40,29,1594410435,175.869,0,50,1415661953,154.868,1119666920,1119666920,0,0,
mcs10_b03_s50.A02,mcs10_b03_s50.B02,dsb_always,40,30,3943740668,430.913,0,50,3590516622,390.719,2929230785,2929230785,0,0,
mcs10_b03_s50.A03,mcs10_b03_s50.B03,dsb_always,40,31,2497206380,275.824,0,50,2460726714,271.607,1729808724,1729808724,0,0,
mcs10_b03_s50.A04,mcs10_b03_s50.B04,dsb_always,39,32,3042068750,346.353,0,50,274857886,27.1112,2241417296,2241417296,0,0,
mcs10_b03_s50.A05,mcs10_b03_s50.B05,dsb_always,39,35,2626873008,281.657,0,50,44808307,4.09363,1822673806,1822673806,0,0,
mcs10_b03_s50.A06,mcs10_b03_s50.B06,dsb_always,39,31,9231656537,1000,1,50,5266522349,578.774,6800227890,6800227890,0,0,
mcs10_b03_s50.A07,mcs10_b03_s50.B07,dsb_always,39,33,4931006884,519.6,0,50,716557871,60.4913,3704749214,3704749214,0,0,
mcs10_b03_s50.A08,mcs10_b03_s50.B08,dsb_always,39,30,2725347009,313.147,0,50,601381743,65.912,2017753157,2017753157,0,0,
mcs10_b03_s50.A09,mcs10_b03_s50.B09,dsb_always,39,29,3760282401,427.416,0,50,266440398,28.7258,2756790920,2756790920,0,0,
mcs10_b03_s60.A00,mcs10_b03_s60.B00,dsb_always,47,37,9332560439,1000.01,1,60,607788731,55.1668,6725962154,6725962154,0,0,
mcs10_b03_s60.A01,mcs10_b03_s60.B01,dsb_always,46,44,9518056146,1000,1,60,3257304720,320.205,6853588253,6853588253,0,0,
mcs10_b03_s60.A02,mcs10_b03_s60.B02,dsb_always,45,34,9953710980,1000.01,1,60,6641013519,654.965,7094213270,7094213270,0,0,
mcs10_b03_s60.A03,mcs10_b03_s60.B03,dsb_always,46,41,8811144908,1000.02,1,60,505351682,49.9888,6265248163,6265248163,0,0,
mcs10_b03_s60.A04,mcs10_b03_s60.B04,dsb_always,46,36,15484158788,1000.02,1,60,12107670389,602.075,12496920881,12496920881,0,0,
mcs10_b03_s60.A05,mcs10_b03_s60.B05,dsb_always,46,35,9111960581,1000,1,60,356123493,33.2117,6734843043,6734843043,0,0,
mcs10_b03_s60.A06,mcs10_b03_s60.B06,dsb_always,48,35,8399187832,1000,1,60,4642450981,529.313,5993194507,5993194507,0,0,
mcs10_b03_s60.A07,mcs10_b03_s60.B07,dsb_always,47,34,8745840427,1000.02,1,60,2190192245,221.532,6212125602,6212125602,0,0,
mcs10_b03_s60.A08,mcs10_b03_s60.B08,dsb_always,45,41,10093446868,1000.01,1,60,159243610,10.4337,7010262799,7010262799,0,0,
mcs10_b03_s60.A09,mcs10_b03_s60.B09,dsb_always,45,35,10449575515,1000,1,60,2944033453,248.118,6973618404,6973618404,0,0,
mcs10_b03_s70.A00,mcs10_b03_s70.B00,dsb_always,49,36,9507388662,1000.01,1,70,882946802,88.3762,7244917494,7244917494,0,0,
mcs10_b03_s70.A01,mcs10_b03_s70.B01,dsb_always,42,32,23474118985,1000.02,1,70,373872661,16.0669,19065808832,19065808832,0,0,
mcs10_b03_s70.A02,mcs10_b03_s70.B02,dsb_always,52,39,19833738326,1000.02,1,70,7082754734,299.195,14707789703,14707789703,0,0,
mcs10_b03_s70.A03,mcs10_b03_s70.B03,dsb_always,50,43,11561000716,1000.02,1,70,7459044790,633.023,8205825983,8205825983,0,0,
mcs10_b03_s70.A04,mcs10_b03_s70.B04,dsb_always,51,42,11605820545,1000.02,1,70,4450736029,292.538,8270493502,8270493502,0,0,
mcs10_b03_s70.A05,mcs10_b03_s70.B05,dsb_always,52,39,9660029089,1000.01,1,70,5599003207,530.722,6837012602,6837012602,0,0,
mcs10_b03_s70.A06,mcs10_b03_s70.B06,dsb_always,51,39,12100840501,1000,1,70,1021006597,42.1147,8197455205,8197455205,0,0,
mcs10_b03_s70.A07,mcs10_b03_s70.B07,dsb_always,54,42,16082847219,1000,1,70,16019048394,992.865,12053060636,12053060636,0,0,
mcs10_b03_s70.A08,mcs10_b03_s70.B08,dsb_always,52,43,17406175523,1000.01,1,70,261161828,18.757,14180006694,14180006694,0,0,
