instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs10_b03_s100.A00,mcs10_b03_s100.B00,dsb_never,62,49,25379127110,1000.02,1,1120695975,44.879,19057157425,19057157425,0
mcs10_b03_s100.A01,mcs10_b03_s100.B01,dsb_never,64,52,16975833421,1000.02,1,5237921372,323.28,14394006571,14394006571,0
mcs10_b03_s100.A02,mcs10_b03_s100.B02,dsb_never,61,46,25149309248,1000.01,1,9512670114,391.655,20172089775,20172089775,0
mcs10_b03_s100.A03,mcs10_b03_s100.B03,dsb_never,63,52,27779476149,1000.01,1,30051623,1.1293,21361615939,21361615939,0
mcs10_b03_s100.A04,mcs10_b03_s100.B04,dsb_never,65,52,32216048037,1000.02,1,5145626594,174.088,24438379315,24438379315,0
mcs10_b03_s100.A05,mcs10_b03_s100.B05,dsb_never,64,51,22395792795,1000.02,1,103589106,3.42511,18904887172,18904887172,0
mcs10_b03_s100.A06,mcs10_b03_s100.B06,dsb_never,73,64,9551118621,1000.02,1,234692989,22.786,6618931728,6618931728,0
mcs10_b03_s100.A07,mcs10_b03_s100.B07,dsb_never,63,47,31947949338,1000.02,1,22389380347,699.08,24048470626,24048470626,0
mcs10_b03_s100.A08,mcs10_b03_s100.B08,dsb_never,59,46,29508359005,1000.02,1,4876464878,161.139,23594325145,23594325145,0
mcs10_b03_s100.A09,mcs10_b03_s100.B09,dsb_never,67,55,10487330845,1000.02,1,2417689392,200.913,8685640917,8685640917,0
mcs10_b03_s40.A00,mcs10_b03_s40.B00,dsb_never,31,27,117353948,11.3042,0,14797705,1.39953,78776245,78776245,0
mcs10_b03_s40.A01,mcs10_b03_s40.B01,dsb_never,31,24,33766439,3.21047,0,1755515,0.153178,25457371,25457371,0
mcs10_b03_s40.A02,mcs10_b03_s40.B02,dsb_never,31,23,388610191,35.1492,0,350674664,31.2806,286452822,286452822,0
mcs10_b03_s40.A03,mcs10_b03_s40.B03,dsb_never,31,24,92973411,9.51443,0,18394885,1.85945,64930089,64930089,0
mcs10_b03_s40.A04,mcs10_b03_s40.B04,dsb_never,31,27,52569623,5.13719,0,260508,0.0197477,38137306,38137306,0
mcs10_b03_s40.A05,mcs10_b03_s40.B05,dsb_never,31,28,60071495,6.12383,0,14245550,1.4081,43274569,43274569,0
mcs10_b03_s40.A06,mcs10_b03_s40.B06,dsb_never,31,25,81141150,7.78776,0,39540055,3.60413,57338226,57338226,0
mcs10_b03_s40.A07,mcs10_b03_s40.B07,dsb_never,30,24,859795038,82.5773,0,8454340,0.758813,616469687,616469687,0
mcs10_b03_s40.A08,mcs10_b03_s40.B08,dsb_never,31,27,87092379,8.2194,0,3306305,0.258463,62124349,62124349,0
mcs10_b03_s40.A09,mcs10_b03_s40.B09,dsb_never,31,28,85920394,8.60234,0,117209,0.00943287,63748410,63748410,0
mcs10_b03_s50.A00,mcs10_b03_s50.B00,dsb_never,39,28,7375280761,752.059,0,2484114344,243.473,5276660451,5276660451,0
mcs10_b03_s50.A01,mcs10_b03_s50.B01,dsb_never,40,29,1594972764,169.231,0,1416224282,149.042,1120077776,1120077776,0
mcs10_b03_s50.A02,mcs10_b03_s50.B02,dsb_never,40,30,3943741320,422.445,0,3590517274,383.093,2929231256,2929231256,0
mcs10_b03_s50.A03,mcs10_b03_s50.B03,dsb_never,40,31,2497210352,260.993,0,2460730686,256.983,1729812000,1729812000,0
mcs10_b03_s50.A04,mcs10_b03_s50.B04,dsb_never,39,32,3042109268,338.589,0,274898404,26.2821,2241448374,2241448374,0
mcs10_b03_s50.A05,mcs10_b03_s50.B05,dsb_never,39,35,2626986971,275.765,0,44915913,3.91487,1822750350,1822750350,0
mcs10_b03_s50.A06,mcs10_b03_s50.B06,dsb_never,39,31,9654268905,1000,1,5266528734,550.637,7112324640,7112324640,0
