instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs10_b03_s100.A00,mcs10_b03_s100.B00,ll_lsm,63,49,13317991726,1000,1,100,8211736895,619.803,11498384809,11498384809,0,9679670236,
mcs10_b03_s100.A01,mcs10_b03_s100.B01,ll_lsm,64,51,7637685031,1000,1,100,63119106,9.02551,6887163176,6887163176,0,6146140154,
mcs10_b03_s100.A02,mcs10_b03_s100.B02,ll_lsm,64,51,12724322814,1000,1,100,10467998360,655.604,9994610422,9994610422,0,7359036263,
mcs10_b03_s100.A03,mcs10_b03_s100.B03,ll_lsm,63,52,11423507147,1000.01,1,100,143834138,12.0164,9778946024,9778946024,0,8134386633,
mcs10_b03_s100.A04,mcs10_b03_s100.B04,ll_lsm,64,51,7851714585,1000.01,1,100,7204517244,865.344,6942188457,6942188457,0,6052589941,
mcs10_b03_s100.A05,mcs10_b03_s100.B05,ll_lsm,64,51,9528241405,1000.02,1,100,69831769,3.36495,7907565790,7907565790,0,6363000289,
mcs10_b03_s100.A06,mcs10_b03_s100.B06,ll_lsm,73,64,6792993778,1000.02,1,100,180377736,23.7013,4783174141,4783174141,0,3232829552,
mcs10_b03_s100.A07,mcs10_b03_s100.B07,ll_lsm,63,45,18970920062,1000.02,1,100,12417396720,586.531,15215250037,15215250037,0,11459744755,
mcs10_b03_s100.A08,mcs10_b03_s100.B08,ll_lsm,59,45,14049168998,1000.01,1,100,827532809,63.6345,12315980787,12315980787,0,10584224981,
mcs10_b03_s100.A09,mcs10_b03_s100.B09,ll_lsm,67,55,5826899195,1000.02,1,100,532464804,74.9235,4758984834,4758984834,0,3898110914,
mcs10_b03_s40.A00,mcs10_b03_s40.B00,ll_lsm,31,28,86739813,13.3034,0,40,19002189,2.90785,58616525,58616525,0,38384343,
mcs10_b03_s40.A01,mcs10_b03_s40.B01,ll_lsm,31,24,57293642,8.87342,0,40,1749262,0.232465,43410463,43410463,0,33011757,
mcs10_b03_s40.A02,mcs10_b03_s40.B02,ll_lsm,31,23,287003628,42.5397,0,40,251164091,36.9219,207660093,207660093,0,151721323,
mcs10_b03_s40.A03,mcs10_b03_s40.B03,ll_lsm,31,24,72218188,11.2932,0,40,15242659,2.40405,49819593,49819593,0,34088778,
mcs10_b03_s40.A04,mcs10_b03_s40.B04,ll_lsm,31,27,58382862,7.79944,0,40,284426,0.0291701,41581288,41581288,0,29964020,
mcs10_b03_s40.A05,mcs10_b03_s40.B05,ll_lsm,31,27,55957151,7.74424,0,40,23423603,3.16249,39666699,39666699,0,28851316,
mcs10_b03_s40.A06,mcs10_b03_s40.B06,ll_lsm,31,25,103848576,13.5096,0,40,47686732,5.92096,73041078,73041078,0,50978764,
mcs10_b03_s40.A07,mcs10_b03_s40.B07,ll_lsm,30,24,892900131,114.359,0,40,8094902,0.967715,622098268,622098268,0,423822518,
mcs10_b03_s40.A08,mcs10_b03_s40.B08,ll_lsm,31,27,203507926,26.2289,0,40,6936958,0.765012,143935943,143935943,0,96130128,
