instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs10_b03_s100.A00,mcs10_b03_s100.B00,ll_lum,61,48,19149733165,1000.02,1,100,92986856,5.29818,14281824449,14281824449,0,9414645570,
mcs10_b03_s100.A01,mcs10_b03_s100.B01,ll_lum,64,51,9461154359,1000.01,1,100,36033649,5.25266,8527381566,8527381566,0,7622072198,
mcs10_b03_s100.A02,mcs10_b03_s100.B02,ll_lum,61,52,14519401092,1000.02,1,100,4527021877,275.96,11616546878,11616546878,0,9090706434,
mcs10_b03_s100.A03,mcs10_b03_s100.B03,ll_lum,62,52,13415483150,1000.02,1,100,3282,0.000604554,10949040204,10949040204,0,8509014329,
mcs10_b03_s100.A04,mcs10_b03_s100.B04,ll_lum,64,51,9701863172,1000.01,1,100,7712097475,685.747,8653751270,8653751270,0,7629493504,
mcs10_b03_s100.A05,mcs10_b03_s100.B05,ll_lum,64,51,13101467950,1000.01,1,100,3054375075,209.453,11093630059,11093630059,0,9206315974,
mcs10_b03_s100.A06,mcs10_b03_s100.B06,ll_lum,73,64,6686196569,1000.01,1,100,74256986,11.4033,4449774935,4449774935,0,2886913060,
mcs10_b03_s100.A07,mcs10_b03_s100.B07,ll_lum,67,51,14643616527,1000.02,1,100,938586623,76.4138,11746547781,11746547781,0,8866722523,
mcs10_b03_s100.A08,mcs10_b03_s100.B08,ll_lum,59,46,19512751225,1000.02,1,100,2557222823,138.717,17065710092,17065710092,0,14823577086,
mcs10_b03_s100.A09,mcs10_b03_s100.B09,ll_lum,69,60,6386885935,1000.02,1,100,4702860774,717.957,5282525316,5282525316,0,4505474253,
mcs10_b03_s40.A00,mcs10_b03_s40.B00,ll_lum,31,27,93167964,12.9788,0,40,9166382,1.3062,63352029,63352029,0,41882601,
mcs10_b03_s40.A01,mcs10_b03_s40.B01,ll_lum,31,24,27149265,4.04511,0,40,785338,0.106773,20568487,20568487,0,16181733,
mcs10_b03_s40.A02,mcs10_b03_s40.B02,ll_lum,31,26,190682906,24.1399,0,40,164935380,20.6181,135252130,135252130,0,97196188,
mcs10_b03_s40.A03,mcs10_b03_s40.B03,ll_lum,31,24,88320991,11.8423,0,40,19835249,2.63475,60993577,60993577,0,42014577,
mcs10_b03_s40.A04,mcs10_b03_s40.B04,ll_lum,31,23,36570782,5.0628,0,40,135537,0.0151948,26053440,26053440,0,19360359,
mcs10_b03_s40.A05,mcs10_b03_s40.B05,ll_lum,31,28,49093067,6.79744,0,40,14740393,1.95736,34685072,34685072,0,25839328,
mcs10_b03_s40.A06,mcs10_b03_s40.B06,ll_lum,31,25,92988302,12.7068,0,40,58044271,7.90733,65318651,65318651,0,47351310,
mcs10_b03_s40.A07,mcs10_b03_s40.B07,ll_lum,30,24,628732645,80.2414,0,40,2368039,0.283325,441099512,441099512,0,306392847,
mcs10_b03_s40.A08,mcs10_b03_s40.B08,ll_lum,31,27,161371650,21.4034,0,40,2407762,0.271908,113811443,113811443,0,78209137,
mcs10_b03_s40.A09,mcs10_b03_s40.B09,ll_lum,31,28,35343160,4.77754,0,40,162355,0.0180528,24730014,24730014,0,17093933,
