instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs10_b03_s100.A00,mcs10_b03_s100.B00,ll_none,62,49,27993156680,1000,1,100,1120695975,40.5132,21020093497,21020093497,0,0,
mcs10_b03_s100.A01,mcs10_b03_s100.B01,ll_none,64,52,16074689407,1000,1,100,5237921372,351.207,13621084923,13621084923,0,0,
mcs10_b03_s100.A02,mcs10_b03_s100.B02,ll_none,61,46,25880326657,1000.01,1,100,9512670114,367.145,20759673254,20759673254,0,0,
mcs10_b03_s100.A03,mcs10_b03_s100.B03,ll_none,63,52,29848838948,1000.02,1,100,30051623,1.01216,22935847675,22935847675,0,0,
mcs10_b03_s100.A04,mcs10_b03_s100.B04,ll_none,65,52,33369665289,1000.01,1,100,5145626594,163.235,25303592478,25303592478,0,0,
mcs10_b03_s100.A05,mcs10_b03_s100.B05,ll_none,64,51,23833361295,1000.02,1,100,103589106,3.11854,20135017386,20135017386,0,0,
mcs10_b03_s100.A06,mcs10_b03_s100.B06,ll_none,73,64,9437286806,1000.02,1,100,234692989,23.1022,6541015324,6541015324,0,0,
mcs10_b03_s100.A07,mcs10_b03_s100.B07,ll_none,63,47,35103698681,1000.02,1,100,22389380347,634.133,26428529675,26428529675,0,0,
mcs10_b03_s100.A08,mcs10_b03_s100.B08,ll_none,59,46,32129401194,1000.02,1,100,4876464878,147.826,25701677402,25701677402,0,0,
mcs10_b03_s100.A09,mcs10_b03_s100.B09,ll_none,67,55,10219323600,1000,1,100,2417689392,206.256,8470238402,8470238402,0,0,
mcs10_b03_s40.A00,mcs10_b03_s40.B00,ll_none,31,27,117353948,10.6996,0,40,14797705,1.31939,78776245,78776245,0,0,
mcs10_b03_s40.A01,mcs10_b03_s40.B01,ll_none,31,24,33766439,3.05847,0,40,1755515,0.141838,25457371,25457371,0,0,
mcs10_b03_s40.A02,mcs10_b03_s40.B02,ll_none,31,23,388610191,33.277,0,40,350674664,29.5914,286452822,286452822,0,0,
