instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs10_b03_s100.A00,mcs10_b03_s100.B00,rrsplit_nobound,69,54,3247248926,1000.02,1,591961071,185.22,7252938799,7252938799,269434200
mcs10_b03_s100.A01,mcs10_b03_s100.B01,rrsplit_nobound,73,57,3023298073,1000.02,1,939951775,333.351,6715666006,6715666006,1237441688
mcs10_b03_s100.A02,mcs10_b03_s100.B02,rrsplit_nobound,66,52,2175333297,1000.01,1,136291302,62.3716,7896999523,7896999523,420934513
mcs10_b03_s100.A03,mcs10_b03_s100.B03,rrsplit_nobound,66,54,3548084180,1000.02,1,2443683411,495.061,14406289522,14406289522,2264734421
mcs10_b03_s100.A04,mcs10_b03_s100.B04,rrsplit_nobound,71,55,3139630117,1000.03,1,86127004,35.3663,6561555151,6561555151,153705025
mcs10_b03_s100.A05,mcs10_b03_s100.B05,rrsplit_nobound,71,57,2846317251,1000.02,1,1352670737,485.549,7293121508,7293121508,418109572
mcs10_b03_s100.A06,mcs10_b03_s100.B06,rrsplit_nobound,73,64,3823198789,1000.02,1,39895667,10.3357,8122434757,8122434757,483110821
mcs10_b03_s100.A07,mcs10_b03_s100.B07,rrsplit_nobound,72,58,2938779949,1000.01,1,666056424,226.098,7339952316,7339952316,157086890
mcs10_b03_s100.A08,mcs10_b03_s100.B08,rrsplit_nobound,72,62,3746462673,1000.01,1,1351184596,345.97,7175483689,7175483689,327510332
mcs10_b03_s100.A09,mcs10_b03_s100.B09,rrsplit_nobound,69,60,2189761652,1000.02,1,1309334089,630.019,8490301218,8490301218,416606546
mcs10_b03_s40.A00,mcs10_b03_s40.B00,rrsplit_nobound,31,27,37113965,9.4585,0,4688823,1.18608,75605785,75605785,1108768
mcs10_b03_s40.A01,mcs10_b03_s40.B01,rrsplit_nobound,31,24,6751191,2.11386,0,495874,0.114321,20197544,20197544,784599
mcs10_b03_s40.A02,mcs10_b03_s40.B02,rrsplit_nobound,31,23,42142264,12.0286,0,32614613,9.056,108225822,108225822,7596158
mcs10_b03_s40.A03,mcs10_b03_s40.B03,rrsplit_nobound,31,24,24879605,7.41491,0,4833660,1.47948,56470194,56470194,1259290
mcs10_b03_s40.A04,mcs10_b03_s40.B04,rrsplit_nobound,31,27,11344384,3.49155,0,77341,0.0160551,29292401,29292401,831398
mcs10_b03_s40.A05,mcs10_b03_s40.B05,rrsplit_nobound,31,28,13269373,4.05725,0,3577642,1.04305,32695827,32695827,1107095
mcs10_b03_s40.A06,mcs10_b03_s40.B06,rrsplit_nobound,31,25,22071030,6.4071,0,9679177,2.89322,52585606,52585606,1431324
mcs10_b03_s40.A07,mcs10_b03_s40.B07,rrsplit_nobound,30,24,163567242,47.7234,0,2167944,0.561645,401080279,401080279,16868751
mcs10_b03_s40.A08,mcs10_b03_s40.B08,rrsplit_nobound,31,27,23905969,6.52327,0,1028752,0.207058,59117607,59117607,1200200
mcs10_b03_s40.A09,mcs10_b03_s40.B09,rrsplit_nobound,31,28,20704287,6.65712,0,26103,0.00664771,58616855,58616855,816040
mcs10_b03_s50.A00,mcs10_b03_s50.B00,rrsplit_nobound,39,28,1391734003,412.547,0,350411598,98.612,3389649769,3389649769,107975535
mcs10_b03_s50.A01,mcs10_b03_s50.B01,rrsplit_nobound,40,29,406745881,120.883,0,368933180,108.797,906609690,906609690,19165873
mcs10_b03_s50.A02,mcs10_b03_s50.B02,rrsplit_nobound,40,30,885518480,297.482,0,802742948,267.799,2528620588,2528620588,50043798
mcs10_b03_s50.A03,mcs10_b03_s50.B03,rrsplit_nobound,40,31,736598583,216.088,0,725863489,212.794,1652306574,1652306574,33761037
mcs10_b03_s50.A04,mcs10_b03_s50.B04,rrsplit_nobound,39,32,727785145,254.557,0,72096618,19.9445,2024495314,2024495314,45276453
mcs10_b03_s50.A05,mcs10_b03_s50.B05,rrsplit_nobound,39,35,788399242,226.068,0,15459882,3.24984,1778217537,1778217537,26286762
mcs10_b03_s50.A06,mcs10_b03_s50.B06,rrsplit_nobound,39,31,2563205342,828.298,0,922073017,318.511,7096294096,7096294096,164407873
mcs10_b03_s50.A07,mcs10_b03_s50.B07,rrsplit_nobound,39,33,372515492,121.161,0,16617881,3.95214,974129729,974129729,90927604
mcs10_b03_s50.A08,mcs10_b03_s50.B08,rrsplit_nobound,39,30,454853300,153.073,0,109522684,36.339,1206085353,1206085353,46467681
mcs10_b03_s50.A09,mcs10_b03_s50.B09,rrsplit_nobound,39,29,947244173,325.259,0,67254663,21.8876,2567677445,2567677445,40591342
mcs10_b03_s60.A00,mcs10_b03_s60.B00,rrsplit_nobound,47,37,3102973094,1000.01,1,93785872,25.4605,8363973416,8363973416,215770793
mcs10_b03_s60.A01,mcs10_b03_s60.B01,rrsplit_nobound,46,44,3193593665,1000.01,1,511983896,150.059,7975915199,7975915199,280525770
mcs10_b03_s60.A02,mcs10_b03_s60.B02,rrsplit_nobound,45,34,3420435050,1000,1,1495138452,426.254,8149427298,8149427298,282275636
mcs10_b03_s60.A03,mcs10_b03_s60.B03,rrsplit_nobound,46,41,3173405891,1000.02,1,137411318,31.2687,7716554106,7716554106,138590119
mcs10_b03_s60.A04,mcs10_b03_s60.B04,rrsplit_nobound,47,36,2963789622,1000.01,1,782799450,275.176,7428518896,7428518896,165137534
mcs10_b03_s60.A05,mcs10_b03_s60.B05,rrsplit_nobound,46,35,3146222984,1000.01,1,42851258,14.9363,8153981164,8153981164,122343270
mcs10_b03_s60.A06,mcs10_b03_s60.B06,rrsplit_nobound,48,35,3085300467,1000.02,1,1326124795,395.482,7661928815,7661928815,124676396
mcs10_b03_s60.A07,mcs10_b03_s60.B07,rrsplit_nobound,47,34,2958079040,1000.02,1,523991459,127.564,7767737661,7767737661,234942858
mcs10_b03_s60.A08,mcs10_b03_s60.B08,rrsplit_nobound,45,41,4395160478,1000.01,1,21256735,4.28088,8684584075,8684584075,1109773444
mcs10_b03_s60.A09,mcs10_b03_s60.B09,rrsplit_nobound,45,35,3845715289,1000.02,1,643198347,127.337,8273680250,8273680250,131735339
mcs10_b03_s70.A00,mcs10_b03_s70.B00,rrsplit_nobound,50,38,2852926497,1000.02,1,2824354332,990.593,8548702038,8548702038,286765641
mcs10_b03_s70.A01,mcs10_b03_s70.B01,rrsplit_nobound,53,43,4134789944,1000.01,1,208845383,44.2071,8954020155,8954020155,748659283
mcs10_b03_s70.A02,mcs10_b03_s70.B02,rrsplit_nobound,52,39,5619074528,1000.02,1,308823943,79.4369,14609308920,14609308920,2180180212
mcs10_b03_s70.A03,mcs10_b03_s70.B03,rrsplit_nobound,51,46,4600632586,1000.02,1,4457806114,965.916,9774496669,9774496669,1763833245
mcs10_b03_s70.A04,mcs10_b03_s70.B04,rrsplit_nobound,51,42,3810772996,1000.02,1,615192968,139.13,8669736857,8669736857,323458677
mcs10_b03_s70.A05,mcs10_b03_s70.B05,rrsplit_nobound,52,39,1693008451,1000.01,1,1072144689,648.547,3640207179,3640207179,123818720
mcs10_b03_s70.A06,mcs10_b03_s70.B06,rrsplit_nobound,52,40,2203640273,1000.03,1,1991322088,888.841,3991577327,3991577327,562365979
mcs10_b03_s70.A07,mcs10_b03_s70.B07,rrsplit_nobound,54,42,1947330812,1000.02,1,1111113623,541.144,4282713990,4282713990,267009176
mcs10_b03_s70.A08,mcs10_b03_s70.B08,rrsplit_nobound,52,43,1731419834,1000.02,1,39436956,18.3781,4565720091,4565720091,338309821
mcs10_b03_s70.A09,mcs10_b03_s70.B09,rrsplit_nobound,51,41,1528753426,1000.01,1,64323812,43.644,4081612032,4081612032,79446571
mcs10_b03_s80.A00,mcs10_b03_s80.B00,rrsplit_nobound,56,43,2272481451,1000,1,38321512,16.6854,4558551948,4558551948,218085984
mcs10_b03_s80.A01,mcs10_b03_s80.B01,rrsplit_nobound,59,43,2094076976,1000.02,1,1177115505,523.217,4500208500,4500208500,217673777
mcs10_b03_s80.A02,mcs10_b03_s80.B02,rrsplit_nobound,57,46,2141679004,1000.03,1,311266481,121.295,4062957002,4062957002,141581846
mcs10_b03_s80.A03,mcs10_b03_s80.B03,rrsplit_nobound,57,47,1801054258,1000.02,1,1193896573,640.778,4517483027,4517483027,149955896
mcs10_b03_s80.A04,mcs10_b03_s80.B04,rrsplit_nobound,56,44,2946746890,1000.02,1,2708438961,887.255,10690968490,10690968490,384469635
mcs10_b03_s80.A05,mcs10_b03_s80.B05,rrsplit_nobound,58,47,3519570129,1000.02,1,406682290,100.526,8305674847,8305674847,414868097
mcs10_b03_s80.A06,mcs10_b03_s80.B06,rrsplit_nobound,59,48,4596287672,1000.02,1,2529835561,543.195,8873077204,8873077204,420975602
mcs10_b03_s80.A07,mcs10_b03_s80.B07,rrsplit_nobound,58,44,3870601859,1000.02,1,2627978192,692.601,13581280698,13581280698,1780866658
mcs10_b03_s80.A08,mcs10_b03_s80.B08,rrsplit_nobound,57,46,4526999588,1000.01,1,962185490,205.447,9097959170,9097959170,724418244
mcs10_b03_s80.A09,mcs10_b03_s80.B09,rrsplit_nobound,61,49,4020241613,1000.02,1,167516453,33.5845,8587386595,8587386595,395918804
mcs10_b03_s90.A00,mcs10_b03_s90.B00,rrsplit_nobound,66,53,3751584976,1000.02,1,3590335182,962.622,10593644308,10593644308,943681056
mcs10_b03_s90.A01,mcs10_b03_s90.B01,rrsplit_nobound,64,51,4491207305,1000.01,1,1937234409,362.227,10648143559,10648143559,1051517445
mcs10_b03_s90.A02,mcs10_b03_s90.B02,rrsplit_nobound,57,49,3298638255,1000.02,1,361,0.000150425,12384211167,12384211167,507943629
mcs10_b03_s90.A03,mcs10_b03_s90.B03,rrsplit_nobound,63,47,3957611118,1000.02,1,295371813,116.219,8224809301,8224809301,366603807
mcs10_b03_s90.A04,mcs10_b03_s90.B04,rrsplit_nobound,65,54,3368309728,1000.02,1,2792932323,847.209,9520669401,9520669401,723995647
