instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs10_b03_s100.A00,mcs10_b03_s100.B00,rrsplit_nomax,62,49,4745356483,1000.02,1,226637614,47.1083,13563902247,13563902247,3405265880
mcs10_b03_s100.A01,mcs10_b03_s100.B01,rrsplit_nomax,64,52,2130429894,1000.02,1,218516058,105.684,14196627025,14196627025,95701908
mcs10_b03_s100.A02,mcs10_b03_s100.B02,rrsplit_nomax,61,46,4075188654,1000.01,1,1902905792,457.811,16455645681,16455645681,83
mcs10_b03_s100.A03,mcs10_b03_s100.B03,rrsplit_nomax,63,52,4449307606,1000.02,1,3506069,0.810927,14305732690,14305732690,842730587
mcs10_b03_s100.A04,mcs10_b03_s100.B04,rrsplit_nomax,67,54,5995040592,1000.01,1,5766022351,941.265,16219045572,16219045572,1614543422
mcs10_b03_s100.A05,mcs10_b03_s100.B05,rrsplit_nomax,64,51,4212108489,1000.02,1,15465311,2.37495,18414746241,18414746241,1082222169
mcs10_b03_s100.A06,mcs10_b03_s100.B06,rrsplit_nomax,73,64,3896345543,1000.02,1,61925370,15.6174,8560303298,8560303298,85546326
mcs10_b03_s100.A07,mcs10_b03_s100.B07,rrsplit_nomax,63,47,6619675315,1000.01,1,5528009516,833.242,20170604516,20170604516,16
mcs10_b03_s100.A08,mcs10_b03_s100.B08,rrsplit_nomax,59,46,5230985263,1000.02,1,810367512,135.033,20871095754,20871095754,1285457655
mcs10_b03_s100.A09,mcs10_b03_s100.B09,rrsplit_nomax,67,55,2044359431,1000.01,1,127307676,63.8332,10234419234,10234419234,63480780
mcs10_b03_s40.A00,mcs10_b03_s40.B00,rrsplit_nomax,31,27,38577703,9.99764,0,4789540,1.22373,78776089,78776089,112
mcs10_b03_s40.A01,mcs10_b03_s40.B01,rrsplit_nomax,31,24,8309068,2.70424,0,527630,0.123166,25457252,25457252,86
mcs10_b03_s40.A02,mcs10_b03_s40.B02,rrsplit_nomax,31,23,45632708,13.5718,0,35228189,10.2836,121498388,121498388,5470268
mcs10_b03_s40.A03,mcs10_b03_s40.B03,rrsplit_nomax,31,24,25021073,7.61517,0,4868511,1.51927,57311403,57311403,659554
mcs10_b03_s40.A04,mcs10_b03_s40.B04,rrsplit_nomax,31,27,12652744,3.7878,0,91085,0.0181544,32897077,32897077,134031
mcs10_b03_s40.A05,mcs10_b03_s40.B05,rrsplit_nomax,31,28,13325436,4.17767,0,3604290,1.0638,33182903,33182903,439726
mcs10_b03_s40.A06,mcs10_b03_s40.B06,rrsplit_nomax,31,25,23802924,6.70501,0,11224308,3.15311,57337964,57337964,129
mcs10_b03_s40.A07,mcs10_b03_s40.B07,rrsplit_nomax,30,24,170434966,50.6493,0,2252162,0.588101,424928793,424928793,15083905
mcs10_b03_s40.A08,mcs10_b03_s40.B08,rrsplit_nomax,31,27,24968030,6.81617,0,1132163,0.225189,62124246,62124246,72
mcs10_b03_s40.A09,mcs10_b03_s40.B09,rrsplit_nomax,31,28,22171984,7.19745,0,35201,0.00828448,63748287,63748287,67
mcs10_b03_s50.A00,mcs10_b03_s50.B00,rrsplit_nomax,39,28,1496577042,449.271,0,425194092,121.488,3708250632,3708250632,70175973
mcs10_b03_s50.A01,mcs10_b03_s50.B01,rrsplit_nomax,40,29,425093234,128.404,0,387213311,115.961,973598799,973598799,12005150
mcs10_b03_s50.A02,mcs10_b03_s50.B02,rrsplit_nomax,40,30,949683922,327.559,0,862872582,295.638,2737418478,2737418478,17080372
mcs10_b03_s50.A03,mcs10_b03_s50.B03,rrsplit_nomax,40,31,767398352,225.205,0,756407352,221.833,1729811776,1729811776,106
mcs10_b03_s50.A04,mcs10_b03_s50.B04,rrsplit_nomax,39,32,762405737,265.298,0,76202086,20.851,2140214299,2140214299,15952954
mcs10_b03_s50.A05,mcs10_b03_s50.B05,rrsplit_nomax,39,35,804236621,230.594,0,15756892,3.32069,1822750197,1822750197,87
mcs10_b03_s50.A06,mcs10_b03_s50.B06,rrsplit_nomax,39,31,2709759849,869.096,0,1024083705,349.448,7535843190,7535843190,65661885
mcs10_b03_s50.A07,mcs10_b03_s50.B07,rrsplit_nomax,39,33,385022492,130.188,0,19035427,4.70899,1050489136,1050489136,62324744
mcs10_b03_s50.A08,mcs10_b03_s50.B08,rrsplit_nomax,39,30,456809193,158.228,0,112242778,37.9998,1233612354,1233612354,30782100
mcs10_b03_s50.A09,mcs10_b03_s50.B09,rrsplit_nomax,39,29,1003492109,343.551,0,71325290,23.2895,2756792822,2756792822,141
mcs10_b03_s60.A00,mcs10_b03_s60.B00,rrsplit_nomax,47,37,3132945125,1000.01,1,141951914,37.7065,8543618041,8543618041,23777653
mcs10_b03_s60.A01,mcs10_b03_s60.B01,rrsplit_nomax,46,44,3213887158,1000.02,1,627492282,182.095,8045814538,8045814538,94803882
mcs10_b03_s60.A02,mcs10_b03_s60.B02,rrsplit_nomax,45,34,3422942604,1000.02,1,1744478791,500.875,8419948298,8419948298,32995738
mcs10_b03_s60.A03,mcs10_b03_s60.B03,rrsplit_nomax,46,41,3206182006,1000.02,1,180441779,40.4598,7801286737,7801286737,166
mcs10_b03_s60.A04,mcs10_b03_s60.B04,rrsplit_nomax,47,36,3176802416,1000.02,1,1625722140,484.601,10224944564,10224944564,51020123
mcs10_b03_s60.A05,mcs10_b03_s60.B05,rrsplit_nomax,46,35,3086217970,1000.02,1,83096383,27.0004,8432495733,8432495733,181
mcs10_b03_s60.A06,mcs10_b03_s60.B06,rrsplit_nomax,48,35,3097113339,1000.02,1,1378305233,409.544,7727771950,7727771950,205
mcs10_b03_s60.A07,mcs10_b03_s60.B07,rrsplit_nomax,47,34,2941466125,1000.02,1,561699489,135.873,7818048117,7818048117,116929517
mcs10_b03_s60.A08,mcs10_b03_s60.B08,rrsplit_nomax,45,41,4262487883,1000.02,1,27994747,5.57123,8629507131,8629507131,870125098
mcs10_b03_s60.A09,mcs10_b03_s60.B09,rrsplit_nomax,45,35,3897080247,1000.01,1,814787759,163.079,8286190131,8286190131,13347287
mcs10_b03_s70.A00,mcs10_b03_s70.B00,rrsplit_nomax,49,36,2822859310,1000.01,1,127182878,46.3331,8688009275,8688009275,172733016
mcs10_b03_s70.A01,mcs10_b03_s70.B01,rrsplit_nomax,42,32,4582341140,1000.01,1,113630786,23.7805,18706024184,18706024184,569849837
mcs10_b03_s70.A02,mcs10_b03_s70.B02,rrsplit_nomax,52,39,5545918552,1000.01,1,1830064138,298.372,16004966765,16004966765,235
mcs10_b03_s70.A03,mcs10_b03_s70.B03,rrsplit_nomax,50,43,4320176656,1000.02,1,1817008754,417.587,9787262876,9787262876,1234678008
mcs10_b03_s70.A04,mcs10_b03_s70.B04,rrsplit_nomax,51,42,3775564567,1000.01,1,918100497,196.475,9328415505,9328415505,37622821
mcs10_b03_s70.A05,mcs10_b03_s70.B05,rrsplit_nomax,52,39,3280545430,1000.03,1,1452467960,405.627,8132588427,8132588427,121549450
mcs10_b03_s70.A06,mcs10_b03_s70.B06,rrsplit_nomax,52,40,3981430323,1000.02,1,2047520070,475.229,7930937166,7930937166,600062357
mcs10_b03_s70.A07,mcs10_b03_s70.B07,rrsplit_nomax,54,42,3673576118,1000.02,1,1494519245,351.697,9158446595,9158446595,290753719
mcs10_b03_s70.A08,mcs10_b03_s70.B08,rrsplit_nomax,52,43,3246132572,1000.02,1,59685916,14.1485,16062672878,16062672878,411876621
mcs10_b03_s70.A09,mcs10_b03_s70.B09,rrsplit_nomax,51,41,3022795440,1000.02,1,77477187,26.6199,8179516391,8179516391,58992852
mcs10_b03_s80.A00,mcs10_b03_s80.B00,rrsplit_nomax,50,37,5658038943,1000.02,1,1122829405,219.676,19009563600,19009563600,1111406736
mcs10_b03_s80.A01,mcs10_b03_s80.B01,rrsplit_nomax,54,43,3673997699,1000.02,1,1101684068,274.119,20056441515,20056441515,96
mcs10_b03_s80.A02,mcs10_b03_s80.B02,rrsplit_nomax,53,38,5425800861,1000.02,1,907608809,176.564,20019923484,20019923484,108
mcs10_b03_s80.A03,mcs10_b03_s80.B03,rrsplit_nomax,57,47,3258635386,1000.02,1,1796053508,500.281,9118530578,9118530578,11834549
mcs10_b03_s80.A04,mcs10_b03_s80.B04,rrsplit_nomax,55,41,2866052812,1000.02,1,409067016,186.791,11843116396,11843116396,143
mcs10_b03_s80.A05,mcs10_b03_s80.B05,rrsplit_nomax,58,47,3473105160,1000.02,1,534964849,137.606,8262329016,8262329016,209317278
mcs10_b03_s80.A06,mcs10_b03_s80.B06,rrsplit_nomax,59,48,4698372802,1000.01,1,4212150401,894.627,11654905218,11654905218,255
mcs10_b03_s80.A07,mcs10_b03_s80.B07,rrsplit_nomax,45,37,3186400191,1000.02,1,3926142,1.26219,9948741964,9948741964,1993384759
mcs10_b03_s80.A08,mcs10_b03_s80.B08,rrsplit_nomax,57,46,2213076192,1000.01,1,1082217491,470.22,4537299764,4537299764,178780133
mcs10_b03_s80.A09,mcs10_b03_s80.B09,rrsplit_nomax,53,41,3188666033,1000.02,1,3998,0.0051722,10365388101,10365388101,114
mcs10_b03_s90.A00,mcs10_b03_s90.B00,rrsplit_nomax,61,53,1984136963,1000.01,1,9785791,2.83209,9542583702,9542583702,122
mcs10_b03_s90.A01,mcs10_b03_s90.B01,rrsplit_nomax,57,43,3464199268,1000.02,1,4471994,1.43219,10109427403,10109427403,16626
mcs10_b03_s90.A02,mcs10_b03_s90.B02,rrsplit_nomax,57,49,1586865423,1000,1,4036,0.00150684,6070539415,6070539415,64
mcs10_b03_s90.A03,mcs10_b03_s90.B03,rrsplit_nomax,57,48,3345582338,1000.02,1,20279,0.0089815,9784913917,9784913917,25515722
mcs10_b03_s90.A04,mcs10_b03_s90.B04,rrsplit_nomax,61,49,2162140724,1000.01,1,1140847762,463.105,7588910616,7588910616,54446943
mcs10_b03_s90.A05,mcs10_b03_s90.B05,rrsplit_nomax,65,54,1393447024,1000.01,1,472103023,301.511,5374807707,5374807707,1496587
mcs10_b03_s90.A06,mcs10_b03_s90.B06,rrsplit_nomax,57,46,2920220235,1000.01,1,253501088,61.5512,17291223492,17291223492,1276747024
mcs10_b03_s90.A07,mcs10_b03_s90.B07,rrsplit_nomax,64,48,5409211806,1000.02,1,4529423094,703.153,16958603375,16958603375,214
mcs10_b03_s90.A08,mcs10_b03_s90.B08,rrsplit_nomax,64,54,4034178668,1000.01,1,1316278855,337.758,8925642992,8925642992,168680401
mcs10_b03_s90.A09,mcs10_b03_s90.B09,rrsplit_nomax,58,51,4994414409,1000.02,1,2576814358,549.223,20244613983,20244613983,49515
mcs10_b03m_s100.A00,mcs10_b03m_s100.B00,rrsplit_nomax,61,49,5460288729,1000.01,1,48470,0.0086502,20915522691,20915522691,608259534
mcs10_b03m_s100.A01,mcs10_b03m_s100.B01,rrsplit_nomax,62,44,861948369,1000.02,1,123969432,161.091,9272732185,9272732185,164
mcs10_b03m_s100.A02,mcs10_b03m_s100.B02,rrsplit_nomax,69,54,6184141830,1000.02,1,16668,0.00396999,19675132861,19675132861,201
mcs10_b03m_s100.A03,mcs10_b03m_s100.B03,rrsplit_nomax,59,50,2457397556,1000.02,1,1110233387,447.884,15349990508,15349990508,133
mcs10_b03m_s100.A04,mcs10_b03m_s100.B04,rrsplit_nomax,64,54,4043004709,1000.02,1,232359748,87.86,16238907501,16238907501,1367344
mcs10_b03m_s100.A05,mcs10_b03m_s100.B05,rrsplit_nomax,64,54,6131006427,1000.02,1,109,0.000131936,20247303937,20247303937,1313334530
mcs10_b03m_s100.A06,mcs10_b03m_s100.B06,rrsplit_nomax,70,59,3930297245,1000.02,1,1789989092,450.78,10865383101,10865383101,236393683
mcs10_b03m_s100.A07,mcs10_b03m_s100.B07,rrsplit_nomax,69,54,3224033852,1000.02,1,482884454,193.541,15671865316,15671865316,223
mcs10_b03m_s100.A08,mcs10_b03m_s100.B08,rrsplit_nomax,66,51,6565577160,1000.02,1,27086845,14.3612,19215830691,19215830691,2631992487
mcs10_b03m_s100.A09,mcs10_b03m_s100.B09,rrsplit_nomax,67,55,2636777708,1000.02,1,2663294,0.705177,18111238692,18111238692,118
mcs10_b03m_s40.A00,mcs10_b03m_s40.B00,rrsplit_nomax,32,28,15211270,3.80889,0,14138359,3.48535,32724278,32724278,111
mcs10_b03m_s40.A01,mcs10_b03m_s40.B01,rrsplit_nomax,31,23,69517235,22.838,0,53829135,18.1107,222503704,222503704,451313
mcs10_b03m_s40.A02,mcs10_b03m_s40.B02,rrsplit_nomax,32,25,6397425,2.16915,0,6017806,2.0459,17933286,17933286,111006
mcs10_b03m_s40.A03,mcs10_b03m_s40.B03,rrsplit_nomax,31,26,49389818,13.9421,0,21850252,5.99285,111998464,111998464,110
mcs10_b03m_s40.A04,mcs10_b03m_s40.B04,rrsplit_nomax,32,25,11444765,3.17489,0,10079540,2.6452,28632045,28632045,229807
mcs10_b03m_s40.A05,mcs10_b03m_s40.B05,rrsplit_nomax,31,26,69564396,19.2313,0,61879358,16.8147,170157328,170157328,74
mcs10_b03m_s40.A06,mcs10_b03m_s40.B06,rrsplit_nomax,31,28,22134177,6.06115,0,8471342,2.38395,49633089,49633089,182803
mcs10_b03m_s40.A07,mcs10_b03m_s40.B07,rrsplit_nomax,31,27,29704315,8.48914,0,3280905,0.794988,72052989,72052989,91
mcs10_b03m_s40.A08,mcs10_b03m_s40.B08,rrsplit_nomax,31,24,40571189,12.0389,0,6611346,1.67728,111907502,111907502,99
mcs10_b03m_s40.A09,mcs10_b03m_s40.B09,rrsplit_nomax,32,26,12425271,3.54114,0,12053337,3.42122,32670638,32670638,116
mcs10_b03m_s50.A00,mcs10_b03m_s50.B00,rrsplit_nomax,40,31,540853867,172.57,0,476271597,149.937,1455234332,1455234332,6756227
mcs10_b03m_s50.A01,mcs10_b03m_s50.B01,rrsplit_nomax,39,36,2319543048,693.193,0,635768656,188.946,5762144213,5762144213,22205661
mcs10_b03m_s50.A02,mcs10_b03m_s50.B02,rrsplit_nomax,39,26,698370722,217.467,0,441020200,128.934,1814243899,1814243899,51206847
