instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs10_b03_s100.A00,mcs10_b03_s100.B00,rrsplit_noveq,69,54,3665578392,1000.02,1,591961311,165.184,8193784072,8193784072,311585656
mcs10_b03_s100.A01,mcs10_b03_s100.B01,rrsplit_noveq,73,57,2783629080,1000.01,1,1652273691,591.817,8317346563,8317346563,509848663
mcs10_b03_s100.A02,mcs10_b03_s100.B02,rrsplit_noveq,66,52,2634536051,1000.02,1,144841845,54.696,9508960865,9508960865,480499822
mcs10_b03_s100.A03,mcs10_b03_s100.B03,rrsplit_noveq,66,54,4424185364,1000.02,1,2798408673,410.376,19534137242,19534137242,2366655468
mcs10_b03_s100.A04,mcs10_b03_s100.B04,rrsplit_noveq,71,55,3770903793,1000,1,86128428,27.1557,7937640834,7937640834,185611229
mcs10_b03_s100.A05,mcs10_b03_s100.B05,rrsplit_noveq,71,57,3279092191,1000,1,2277815365,701.005,9135352556,9135352556,403621546
mcs10_b03_s100.A06,mcs10_b03_s100.B06,rrsplit_noveq,73,64,4157331283,1000,1,42187084,10.4046,8888801425,8888801425,462582592
mcs10_b03_s100.A07,mcs10_b03_s100.B07,rrsplit_noveq,72,58,3043928501,1000,1,1248842606,393.918,7927783144,7927783144,176046091
mcs10_b03_s100.A08,mcs10_b03_s100.B08,rrsplit_noveq,72,62,4142369687,1000,1,1403063740,326.449,8130321639,8130321639,289531126
mcs10_b03_s100.A09,mcs10_b03_s100.B09,rrsplit_noveq,68,58,2186503448,1000.01,1,1452100741,693.229,9182657650,9182657650,386765909
mcs10_b03_s40.A00,mcs10_b03_s40.B00,rrsplit_noveq,31,27,37113965,9.28942,0,4688823,1.15802,75605785,75605785,1108768
mcs10_b03_s40.A01,mcs10_b03_s40.B01,rrsplit_noveq,31,24,6751191,2.06899,0,495874,0.110656,20197544,20197544,784599
mcs10_b03_s40.A02,mcs10_b03_s40.B02,rrsplit_noveq,31,23,85551009,23.6442,0,76023358,20.7743,235076046,235076046,5323080
mcs10_b03_s40.A03,mcs10_b03_s40.B03,rrsplit_noveq,31,24,27546905,8.04493,0,5205772,1.5445,63439942,63439942,893338
mcs10_b03_s40.A04,mcs10_b03_s40.B04,rrsplit_noveq,31,27,12754040,3.778,0,77461,0.014974,33538678,33538678,804613
mcs10_b03_s40.A05,mcs10_b03_s40.B05,rrsplit_noveq,31,28,16473435,4.98481,0,4210053,1.1899,42150040,42150040,1002610
mcs10_b03_s40.A06,mcs10_b03_s40.B06,rrsplit_noveq,31,25,22071030,6.20085,0,9679177,2.79637,52585606,52585606,1431324
mcs10_b03_s40.A07,mcs10_b03_s40.B07,rrsplit_noveq,30,24,221250370,62.144,0,2467219,0.602247,557052234,557052234,7652654
mcs10_b03_s40.A08,mcs10_b03_s40.B08,rrsplit_noveq,31,27,23905969,6.36318,0,1028752,0.197594,59117607,59117607,1200200
mcs10_b03_s40.A09,mcs10_b03_s40.B09,rrsplit_noveq,31,28,20704287,6.55156,0,26103,0.00642899,58616855,58616855,816040
mcs10_b03_s50.A00,mcs10_b03_s50.B00,rrsplit_noveq,39,28,1859752317,530.748,0,550845496,150.503,4603009402,4603009402,89200591
mcs10_b03_s50.A01,mcs10_b03_s50.B01,rrsplit_noveq,40,29,445802302,130.672,0,397648215,115.115,1024364785,1024364785,12610252
mcs10_b03_s50.A02,mcs10_b03_s50.B02,rrsplit_noveq,40,30,931934848,307.192,0,848870576,277.865,2672918027,2672918027,43043716
mcs10_b03_s50.A03,mcs10_b03_s50.B03,rrsplit_noveq,40,31,736598583,208.708,0,725863489,205.511,1652306574,1652306574,33761037
mcs10_b03_s50.A04,mcs10_b03_s50.B04,rrsplit_noveq,39,32,755656367,252.665,0,73726819,19.2446,2103068910,2103068910,36449121
mcs10_b03_s50.A05,mcs10_b03_s50.B05,rrsplit_noveq,39,35,788399242,221.017,0,15459882,3.12093,1778217537,1778217537,26286762
mcs10_b03_s50.A06,mcs10_b03_s50.B06,rrsplit_noveq,39,31,3214674164,1000.02,1,1229275257,398.752,9008188061,9008188061,153434362
mcs10_b03_s50.A07,mcs10_b03_s50.B07,rrsplit_noveq,39,33,1026480199,338.089,0,133231607,35.7503,3027736015,3027736015,93008201
mcs10_b03_s50.A08,mcs10_b03_s50.B08,rrsplit_noveq,39,30,681906706,231.151,0,152765955,49.2575,1921147054,1921147054,36763549
mcs10_b03_s50.A09,mcs10_b03_s50.B09,rrsplit_noveq,39,29,947244173,313.472,0,67254663,21.0098,2567677445,2567677445,40591342
mcs10_b03_s60.A00,mcs10_b03_s60.B00,rrsplit_noveq,47,37,3285923129,1000.02,1,113216135,29.2084,8694701572,8694701572,208825616
mcs10_b03_s60.A01,mcs10_b03_s60.B01,rrsplit_noveq,46,44,3292740598,1000.01,1,610903846,171.319,8393518444,8393518444,222618804
mcs10_b03_s60.A02,mcs10_b03_s60.B02,rrsplit_noveq,45,34,3208525054,1000.02,1,1586293810,487.303,7671934891,7671934891,247169731
mcs10_b03_s60.A03,mcs10_b03_s60.B03,rrsplit_noveq,46,41,2915286359,1000.02,1,137411318,34.6544,7078305762,7078305762,122933955
mcs10_b03_s60.A04,mcs10_b03_s60.B04,rrsplit_noveq,47,36,2641158522,1000.01,1,1240976384,495.738,7005582838,7005582838,114365511
mcs10_b03_s60.A05,mcs10_b03_s60.B05,rrsplit_noveq,46,35,2892082741,1000.02,1,42851258,17.2914,7519678843,7519678843,114921872
mcs10_b03_s60.A06,mcs10_b03_s60.B06,rrsplit_noveq,48,35,2839467020,1000.02,1,1326124795,428.658,7025126198,7025126198,118246191
mcs10_b03_s60.A07,mcs10_b03_s60.B07,rrsplit_noveq,47,34,3120499193,1000.02,1,649731295,150.406,8119063777,8119063777,156385234
mcs10_b03_s60.A08,mcs10_b03_s60.B08,rrsplit_noveq,45,41,3998550508,1000.02,1,24356586,4.64987,9075562259,9075562259,216321383
mcs10_b03_s60.A09,mcs10_b03_s60.B09,rrsplit_noveq,45,35,4100081856,1000.02,1,777200712,141.016,8770624932,8770624932,130704187
mcs10_b03_s70.A00,mcs10_b03_s70.B00,rrsplit_noveq,49,36,2861691617,1000.02,1,120802195,44.0018,9004906546,9004906546,155603167
mcs10_b03_s70.A01,mcs10_b03_s70.B01,rrsplit_noveq,53,43,4496827008,1000.02,1,295848942,56.7729,10023685096,10023685096,379564314
