instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs10_b03_s100.A00,mcs10_b03_s100.B00,symsplit_valonly,72,59,10263354856,1000.02,1,100,9091675487,888.182,7043297285,7043297285,411241822,0,
mcs10_b03_s100.A01,mcs10_b03_s100.B01,symsplit_valonly,73,57,9083418104,1000.02,1,100,4159761102,446.371,6601327333,6601327333,424232531,0,
mcs10_b03_s100.A02,mcs10_b03_s100.B02,symsplit_valonly,66,52,9746903758,1000.01,1,100,499864973,51.0876,7503619694,7503619694,583288426,0,
mcs10_b03_s100.A03,mcs10_b03_s100.B03,symsplit_valonly,66,54,15662050820,1000.02,1,100,3982568816,198.763,12944857809,12944857809,1388107772,0,
mcs10_b03_s100.A04,mcs10_b03_s100.B04,symsplit_valonly,72,55,10619784411,1000.02,1,100,8791005428,839.219,7093479663,7093479663,381250033,0,
mcs10_b03_s100.A05,mcs10_b03_s100.B05,symsplit_valonly,71,57,10513830120,1000.02,1,100,5197205348,492.392,7601079945,7601079945,494867711,0,
mcs10_b03_s100.A06,mcs10_b03_s100.B06,symsplit_valonly,73,64,11900252843,1000.01,1,100,106357744,8.75613,7927091612,7927091612,427009438,0,
mcs10_b03_s100.A07,mcs10_b03_s100.B07,symsplit_valonly,72,58,9926565159,1000.01,1,100,3392246931,330.741,7044932546,7044932546,258908918,0,
mcs10_b03_s100.A08,mcs10_b03_s100.B08,symsplit_valonly,72,62,11262999643,1000.01,1,100,3100662024,274.651,7342650306,7342650306,350243459,0,
mcs10_b03_s100.A09,mcs10_b03_s100.B09,symsplit_valonly,69,60,9506519953,1000.02,1,100,6993875023,733.724,7511493658,7511493658,888152280,0,
mcs10_b03_s40.A00,mcs10_b03_s40.B00,symsplit_valonly,31,27,98827536,8.79448,0,40,12801099,1.11421,65668865,65668865,1852048,0,
mcs10_b03_s40.A01,mcs10_b03_s40.B01,symsplit_valonly,31,24,21180862,1.83369,0,40,1244395,0.0946404,15585332,15585332,920401,0,
mcs10_b03_s40.A02,mcs10_b03_s40.B02,symsplit_valonly,31,23,245318246,19.2553,0,40,215158621,16.5785,176476414,176476414,7812553,0,
mcs10_b03_s40.A03,mcs10_b03_s40.B03,symsplit_valonly,31,24,84547745,7.65612,0,40,16889818,1.50087,58672083,58672083,829585,0,
mcs10_b03_s40.A04,mcs10_b03_s40.B04,symsplit_valonly,31,27,35939253,3.20545,0,40,103919,0.00876798,25543378,25543378,1700846,0,
mcs10_b03_s40.A05,mcs10_b03_s40.B05,symsplit_valonly,31,28,53255464,4.74332,0,40,12495536,1.09368,38005760,38005760,920158,0,
mcs10_b03_s40.A06,mcs10_b03_s40.B06,symsplit_valonly,31,25,68992360,6.02304,0,40,30761954,2.68254,48176833,48176833,1358533,0,
mcs10_b03_s40.A07,mcs10_b03_s40.B07,symsplit_valonly,30,24,715537175,59.5063,0,40,6836753,0.55246,509096039,509096039,6971566,0,
mcs10_b03_s40.A08,mcs10_b03_s40.B08,symsplit_valonly,31,27,77785231,6.35807,0,40,2551694,0.182644,55057242,55057242,1134829,0,
mcs10_b03_s40.A09,mcs10_b03_s40.B09,symsplit_valonly,31,28,71032030,6.30763,0,40,49554,0.00442265,51833065,51833065,2406969,0,
mcs10_b03_s50.A00,mcs10_b03_s50.B00,symsplit_valonly,39,28,5263479554,457.491,0,50,1267793530,106.064,3707472021,3707472021,111385489,0,
mcs10_b03_s50.A01,mcs10_b03_s50.B01,symsplit_valonly,40,29,1271844348,118.406,0,50,1119037350,103.791,874211920,874211920,26407750,0,
mcs10_b03_s50.A02,mcs10_b03_s50.B02,symsplit_valonly,40,30,3017399944,273.644,0,50,2729466553,246.916,2220186947,2220186947,69227873,0,
mcs10_b03_s50.A03,mcs10_b03_s50.B03,symsplit_valonly,40,31,2028042287,186.061,0,50,1995627299,182.989,1386873228,1386873228,41459536,0,
mcs10_b03_s50.A04,mcs10_b03_s50.B04,symsplit_valonly,39,32,2403543759,225.334,0,50,199533942,16.3945,1751502194,1751502194,54954094,0,
mcs10_b03_s50.A05,mcs10_b03_s50.B05,symsplit_valonly,39,35,2303827585,205.986,0,50,25571997,1.96336,1582659001,1582659001,41192994,0,
mcs10_b03_s50.A06,mcs10_b03_s50.B06,symsplit_valonly,39,31,11637768583,1000.01,1,50,3205193795,289.251,8513313271,8513313271,256786253,0,
mcs10_b03_s50.A07,mcs10_b03_s50.B07,symsplit_valonly,39,33,2917509877,256.656,0,50,266530892,20.0539,2148776794,2148776794,66005633,0,
mcs10_b03_s50.A08,mcs10_b03_s50.B08,symsplit_valonly,39,30,2249426655,208.551,0,50,469077097,42.2573,1646447019,1646447019,31398648,0,
mcs10_b03_s50.A09,mcs10_b03_s50.B09,symsplit_valonly,39,29,3142975914,292.586,0,50,207872156,18.4703,2285589805,2285589805,36972825,0,
mcs10_b03_s60.A00,mcs10_b03_s60.B00,symsplit_valonly,48,37,11056509093,1000.02,1,60,10114495250,909.352,7943801283,7943801283,276290729,0,
mcs10_b03_s60.A01,mcs10_b03_s60.B01,symsplit_valonly,46,44,10902289525,1000.01,1,60,1382319472,118.931,7701809436,7701809436,305585365,0,
mcs10_b03_s60.A02,mcs10_b03_s60.B02,symsplit_valonly,45,34,11493715246,1000.01,1,60,4522667268,382.961,8031778669,8031778669,257182391,0,
mcs10_b03_s60.A03,mcs10_b03_s60.B03,symsplit_valonly,46,41,10724644233,1000.01,1,60,258713055,21.157,7544935041,7544935041,229750226,0,
mcs10_b03_s60.A04,mcs10_b03_s60.B04,symsplit_valonly,47,36,10125225864,1000.01,1,60,3125290768,307.03,7170540190,7170540190,221830423,0,
mcs10_b03_s60.A05,mcs10_b03_s60.B05,symsplit_valonly,46,35,10759192477,1000.01,1,60,62304990,5.67441,7386575885,7386575885,270901832,0,
mcs10_b03_s60.A06,mcs10_b03_s60.B06,symsplit_valonly,48,35,10415557208,1000.01,1,60,3401802253,309.552,7347088869,7347088869,283742403,0,
mcs10_b03_s60.A07,mcs10_b03_s60.B07,symsplit_valonly,47,34,10300832859,1000.01,1,60,1375374667,110.718,7415681492,7415681492,378697072,0,
mcs10_b03_s60.A08,mcs10_b03_s60.B08,symsplit_valonly,45,41,12164709898,1000.01,1,60,42503930,3.04583,8439944314,8439944314,355001307,0,
mcs10_b03_s60.A09,mcs10_b03_s60.B09,symsplit_valonly,46,35,11877458862,1000.02,1,60,11580443092,971.118,8133769127,8133769127,183179789,0,
mcs10_b03_s70.A00,mcs10_b03_s70.B00,symsplit_valonly,50,38,11338218068,1000.01,1,70,10633808209,937.649,8525213801,8525213801,145488841,0,
mcs10_b03_s70.A01,mcs10_b03_s70.B01,symsplit_valonly,53,43,13365942304,1000.01,1,70,603986306,35.3854,9031403565,9031403565,360677597,0,
mcs10_b03_s70.A02,mcs10_b03_s70.B02,symsplit_valonly,52,39,22066509100,1000.02,1,70,743036393,56.4914,15195564101,15195564101,2960387087,0,
mcs10_b03_s70.A03,mcs10_b03_s70.B03,symsplit_valonly,51,46,14093230331,1000.01,1,70,10573316024,734.58,9573482861,9573482861,668093076,0,
mcs10_b03_s70.A04,mcs10_b03_s70.B04,symsplit_valonly,51,42,12323818162,1000.01,1,70,1557634649,113.482,8346632405,8346632405,411317452,0,
mcs10_b03_s70.A05,mcs10_b03_s70.B05,symsplit_valonly,52,39,10254605900,1000.02,1,70,2371748957,221.948,7182429622,7182429622,406379487,0,
mcs10_b03_s70.A06,mcs10_b03_s70.B06,symsplit_valonly,52,40,12950787233,1000.02,1,70,7608773078,538.987,8509331426,8509331426,243826809,0,
mcs10_b03_s70.A07,mcs10_b03_s70.B07,symsplit_valonly,54,42,12020611948,1000.01,1,70,4065835214,315.365,8240462559,8240462559,640633137,0,
mcs10_b03_s70.A08,mcs10_b03_s70.B08,symsplit_valonly,53,39,11675212987,1000.01,1,70,3965762804,320.465,8057335198,8057335198,348285268,0,
mcs10_b03_s70.A09,mcs10_b03_s70.B09,symsplit_valonly,51,41,10841563874,1000.02,1,70,249122017,22.0884,7707909840,7707909840,484652400,0,
mcs10_b03_s80.A00,mcs10_b03_s80.B00,symsplit_valonly,56,43,14405141643,1000.01,1,80,76799706,5.28589,9724791080,9724791080,451901069,0,
mcs10_b03_s80.A01,mcs10_b03_s80.B01,symsplit_valonly,59,43,12633277502,1000.02,1,80,2966235614,211.618,8421892992,8421892992,530937151,0,
mcs10_b03_s80.A02,mcs10_b03_s80.B02,symsplit_valonly,58,47,11489248530,1000.02,1,80,9765303860,847.147,7641949382,7641949382,432099723,0,
mcs10_b03_s80.A03,mcs10_b03_s80.B03,symsplit_valonly,57,47,11272251373,1000.02,1,80,2167283888,167.249,8393721166,8393721166,436402970,0,
mcs10_b03_s80.A04,mcs10_b03_s80.B04,symsplit_valonly,56,44,11548921428,1000.02,1,80,7763709970,621.462,8791161076,8791161076,1379201503,0,
