,,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size
algo,,dal,dsb,ll,mcsplit,rl,dal,dsb,ll,mcsplit,rl
instance_a,instance_b,,,,,,,,,,
001.txt,002.txt,610236.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
001.txt,003.txt,105.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
001.txt,004.txt,100.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
001.txt,008.txt,1278.0,,,,,17.0,15.0,15.0,15.0,15.0
001.txt,010.txt,2963.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
001.txt,012.txt,399.0,,,,,18.0,12.0,12.0,12.0,12.0
001.txt,014.txt,826888.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
001.txt,017.txt,183441540.0,,,,,27.0,26.0,26.0,26.0,26.0
001.txt,019.txt,51672546.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0,45.0
001.txt,021.txt,44571112.0,32.0,32.0,32.0,32.0,33.0,32.0,32.0,32.0,32.0
001.txt,022.txt,1363575053.0,,,,,32.0,,29.0,,29.0
001.txt,023.txt,862744259.0,,,,,29.0,29.0,29.0,29.0,29.0
001.txt,025.txt,711.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0
001.txt,026.txt,20386.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
001.txt,027.txt,649.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0
001.txt,029.txt,3704.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0
001.txt,031.txt,421.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
001.txt,032.txt,273567619.0,43.0,43.0,43.0,43.0,44.0,43.0,43.0,43.0,43.0
001.txt,033.txt,4376564.0,39.0,39.0,39.0,39.0,45.0,39.0,39.0,39.0,39.0
001.txt,034.txt,11221345.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0
001.txt,035.txt,1060486.0,,,,,23.0,19.0,19.0,19.0,19.0
001.txt,037.txt,187149.0,,,,,22.0,19.0,19.0,19.0,19.0
001.txt,038.txt,5138996.0,31.0,31.0,31.0,31.0,32.0,31.0,31.0,31.0,31.0
001.txt,041.txt,217733.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
001.txt,044.txt,1201.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,13.0,13.0
001.txt,045.txt,63.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
001.txt,046.txt,46706493.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
001.txt,049.txt,6169190.0,,,,,46.0,,,,
001.txt,053.txt,2366.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
001.txt,055.txt,4704033687.0,,,,,38.0,,,35.0,
001.txt,057.txt,73.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
001.txt,058.txt,256826.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
001.txt,059.txt,424.0,15.0,15.0,15.0,15.0,17.0,15.0,15.0,15.0,15.0
001.txt,061.txt,49433584.0,,,,,43.0,,,,
001.txt,062.txt,316.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
001.txt,063.txt,14629.0,21.0,,21.0,,22.0,21.0,21.0,21.0,21.0
001.txt,065.txt,138872.0,,,,,23.0,20.0,20.0,20.0,20.0
