instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
g10,g100,dal,23,25,821361837,1000.06,1,106253916,160.152,527417825,527417825,0,,,0,MISSING_DATA
g10,g101,dal,29,43,663093825,1000.03,1,30,0.000184636,566606924,566606924,0,,,0,MISSING_DATA
g10,g102,dal,30,45,590830299,1000.03,1,31,0.000190967,526668549,526668549,0,,,0,MISSING_DATA
g10,g103,dal,30,46,719534305,1000.04,1,637,0.00121596,630179766,630179766,0,,,0,MISSING_DATA
g10,g104,dal,30,42,9069122020,1000.05,1,121791951,184.123,7106250616,7106250616,0,,,0,MISSING_DATA
g10,g105,dal,30,36,1028364167,1000.09,1,877188243,768.664,826851868,826851868,0,,,0,MISSING_DATA
g10,g106,dal,27,35,440982911,1000.31,1,9163,0.0892794,332891648,332891648,0,,,0,MISSING_DATA
g10,g107,dal,27,38,969657878,1000.1,1,28631803,40.2147,695263922,695263922,0,,,0,MISSING_DATA
g10,g108,dal,27,31,451845041,1000.36,1,49,0.00041162,345244062,345244062,0,,,0,MISSING_DATA
g10,g109,dal,31,49,168212130,1000.14,1,9900,0.103871,150057610,150057610,0,,,0,MISSING_DATA
g10,g11,dal,27,37,6423907176,1000.02,1,935885780,140.469,4753726485,4753726485,0,,,0,MISSING_DATA
g10,g110,dal,32,49,341421438,1000.09,1,5324,0.0540857,320885425,320885425,0,,,0,MISSING_DATA
g10,g111,dal,27,35,396134031,1000.43,1,91905,0.278317,300016504,300016504,0,,,0,MISSING_DATA
g10,g112,dal,28,37,143167639,1000.48,1,9772694,48.3977,117475679,117475679,0,,,0,MISSING_DATA
g10,g12,dal,28,40,7778753624,1000.01,1,19209259,2.04087,6594676631,6594676631,0,,,0,MISSING_DATA
g10,g13,dal,27,31,6576967669,1000.02,1,1354109957,198.09,5647537871,5647537871,0,,,0,MISSING_DATA
g10,g14,dal,28,35,7020014085,1000.01,1,4708780540,662.099,5935551031,5935551031,0,,,0,MISSING_DATA
g10,g15,dal,25,31,9154715867,1000.01,1,8220697371,892.505,7992476110,7992476110,0,,,0,MISSING_DATA
g10,g16,dal,26,32,7327676598,1000.02,1,3991292814,523.068,5374716525,5374716525,0,,,0,MISSING_DATA
g10,g17,dal,32,52,2490854360,379.981,0,8092,0.00140624,1715094646,1715094646,0,32,789499528,123.103,PASS
g10,g18,dal,32,50,7249120975,1000.02,1,4210,0.000677998,4805046487,4805046487,0,32,2224856020,364.398,PASS
g10,g19,dal,32,51,6654169329,1000.02,1,68637265,10.0475,4768015154,4768015154,0,,,0,MISSING_DATA
g10,g20,dal,15,17,5421369291,1000.01,1,918500562,160.605,4263060920,4263060920,0,,,0,MISSING_DATA
g10,g21,dal,6,3,985695,0.122572,0,85270,0.00954929,803104,803104,0,6,1355413,0.199,PASS
g10,g22,dal,28,36,4370346912,1000.02,1,2019284,0.361915,3378364738,3378364738,0,,,0,MISSING_DATA
g10,g23,dal,26,32,9332114391,1000.02,1,13166012,1.40445,7974022193,7974022193,0,,,0,MISSING_DATA
g10,g24,dal,27,34,6421075247,1000.02,1,94516423,13.577,5612031645,5612031645,0,,,0,MISSING_DATA
g10,g25,dal,26,31,5870597142,1000.02,1,227577500,36.7928,5580804067,5580804067,0,,,0,MISSING_DATA
g10,g26,dal,28,33,8137477749,1000.02,1,623634691,75.2049,7043075083,7043075083,0,,,0,MISSING_DATA
g10,g27,dal,28,36,6322081031,1000.01,1,910662381,137.644,5332685807,5332685807,0,,,0,MISSING_DATA
g10,g28,dal,26,26,5618639637,1000.02,1,567660679,98.2336,5135261934,5135261934,0,,,0,MISSING_DATA
g10,g29,dal,28,44,6393828781,1000.01,1,4117034042,634.477,4537048016,4537048016,0,,,0,MISSING_DATA
g10,g30,dal,29,39,6060416706,1000.02,1,631391218,101.404,4343509824,4343509824,0,,,0,MISSING_DATA
g10,g31,dal,26,33,6377738671,1000.02,1,2619230602,398.54,4610456881,4610456881,0,,,0,MISSING_DATA
g10,g32,dal,3,0,164038,0.0467268,0,4,5.61E-06,162398,162398,0,3,1303541,0.389,PASS
g10,g33,dal,33,51,6083755681,1000.01,1,2952876,0.47538,4333916252,4333916252,0,,,0,MISSING_DATA
g10,g34,dal,32,48,6143175991,1000.02,1,88731,0.0151398,4146742523,4146742523,0,,,0,MISSING_DATA
g10,g35,dal,34,55,5368043277,1000.02,1,500957420,90.8937,3845612275,3845612275,0,,,0,MISSING_DATA
g10,g36,dal,35,57,5665808179,1000.02,1,4451095366,781.159,4019666592,4019666592,0,,,0,MISSING_DATA
g10,g37,dal,33,53,5832830912,1000.02,1,517977018,81.4791,4508474735,4508474735,0,,,0,MISSING_DATA
g10,g38,dal,21,18,4597592997,1000,1,22,2.44E-05,4538833121,4538833121,0,,,0,MISSING_DATA
g10,g39,dal,31,45,6991600785,1000.01,1,1268824741,182.783,4904570477,4904570477,0,,,0,MISSING_DATA
g10,g40,dal,12,11,8603951491,1000.02,1,2393124364,250.4,7478856637,7478856637,0,,,0,MISSING_DATA
g10,g41,dal,33,50,5620586003,1000.01,1,850113968,147.554,4035022592,4035022592,0,34,1880031221,399.042,FAIL
g10,g42,dal,33,52,5382226723,1000.02,1,2680338001,495.445,4188625381,4188625381,0,,,0,MISSING_DATA
g10,g43,dal,30,44,6317177573,1000.01,1,14859432,1.88388,5110511419,5110511419,0,,,0,MISSING_DATA
g10,g44,dal,32,43,5637492280,1000.02,1,15370974,2.44454,4059262043,4059262043,0,,,0,MISSING_DATA
g10,g45,dal,32,45,5689869290,1000.02,1,3917085,0.618362,4070511536,4070511536,0,,,0,MISSING_DATA
g10,g46,dal,33,58,6319402953,1000.02,1,3775691556,599.25,4390172996,4390172996,0,,,0,MISSING_DATA
g10,g47,dal,33,55,6348297535,1000.01,1,3958017165,624.869,4395364689,4395364689,0,,,0,MISSING_DATA
g10,g48,dal,33,54,5600714098,1000.02,1,768493963,136.825,3963901870,3963901870,0,,,0,MISSING_DATA
g10,g49,dal,29,39,6146370181,1000.02,1,3926411,0.541524,4865461892,4865461892,0,,,0,MISSING_DATA
g10,g50,dal,17,14,9020810753,1000.02,1,4059774240,437.108,7696526066,7696526066,0,,,0,MISSING_DATA
g10,g51,dal,28,40,5584070199,1000.02,1,1955397135,404.56,4906625526,4906625526,0,,,0,MISSING_DATA
g10,g52,dal,31,45,6226664807,1000.02,1,855465473,128.748,5728804668,5728804668,0,,,0,MISSING_DATA
g10,g53,dal,28,40,5669576029,1000.01,1,210900,0.0324798,4380693437,4380693437,0,,,0,MISSING_DATA
g10,g54,dal,29,32,5338799243,1000.02,1,10547635,1.93034,4163381079,4163381079,0,,,0,MISSING_DATA
g10,g55,dal,32,49,6278098536,1000.02,1,798036,0.13605,5006615660,5006615660,0,,,0,MISSING_DATA
g10,g56,dal,32,50,6650689965,1000.02,1,18697721,2.80257,4981376217,4981376217,0,,,0,MISSING_DATA
g10,g57,dal,21,16,2221421495,1000.02,1,184405631,87.5164,2034610527,2034610527,0,,,0,MISSING_DATA
g10,g58,dal,27,38,2587948837,1000.02,1,10602167,3.97866,2427892020,2427892020,0,,,0,MISSING_DATA
g10,g59,dal,30,39,2678033445,1000.02,1,13162419,4.82769,2454162941,2454162941,0,,,0,MISSING_DATA
g10,g60,dal,29,39,3279284315,1000.02,1,183350266,58.718,2950344200,2950344200,0,,,0,MISSING_DATA
g10,g61,dal,30,44,4117293130,1000.02,1,1640065,0.559307,2931813700,2931813700,0,,,0,MISSING_DATA
g10,g62,dal,27,35,2730327556,1000.01,1,159799,0.0562955,2475538498,2475538498,0,,,0,MISSING_DATA
