instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time,unified_aborted, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
001.txt,002.txt,dsb,46,68,42014,0.00562947,0,0.00552065,25261,25261,0,46,42014,0.00444806,PASS
001.txt,003.txt,dsb,9,5,198,9.89E-05,0,1.38E-05,178,178,0,9,50574,0.00271568,PASS
001.txt,004.txt,dsb,11,9,177,0.000129735,0,2.60E-05,155,155,0,11,32104,0.00197144,PASS
001.txt,007.txt,dsb,29,17,17305792440,1000.02,1,0.0739287,14775139211,14775139211,0,,,,MISSING_DATA
001.txt,008.txt,dsb,15,10,63847,0.0163341,0,1.98E-05,60215,60215,0,,,,MISSING_DATA
001.txt,009.txt,dsb,35,32,5585393189,1000.02,1,0.0757058,4692539805,4692539805,0,,,,MISSING_DATA
001.txt,010.txt,dsb,15,15,90481,0.0123628,0,0.00826138,56612,56612,0,15,624177,0.0523974,PASS
001.txt,011.txt,dsb,35,32,5574504268,1000.02,1,0.0762478,4683386243,4683386243,0,,,,MISSING_DATA
001.txt,012.txt,dsb,12,6,160635652,27.7733,0,1.67E-05,146496268,146496268,0,,,,MISSING_DATA
001.txt,013.txt,dsb,36,28,14248303808,1000.01,1,63.6526,12657604214,12657604214,0,,,,MISSING_DATA
001.txt,014.txt,dsb,46,68,2274288,0.590321,0,0.589232,1338086,1338086,0,46,2274288,0.445103,PASS
001.txt,015.txt,dsb,36,21,14382944515,1000.02,1,209.771,12655321932,12655321932,0,,,,MISSING_DATA
001.txt,017.txt,dsb,26,23,12580041,1.33508,0,0.0424956,9162262,9162262,0,,,,MISSING_DATA
001.txt,018.txt,dsb,40,34,5158571599,1000.01,1,0.265235,4630445210,4630445210,0,40,7271804985,931.918,PASS
001.txt,019.txt,dsb,45,62,1344499,0.332618,0,0.301271,843664,843664,0,45,1344499,0.206687,PASS
001.txt,021.txt,dsb,32,28,3481406,0.501881,0,0.00100145,2326659,2326659,0,32,109296518,17.7988,PASS
001.txt,022.txt,dsb,29,18,10114045672,1000.01,1,337.286,8649714626,8649714626,0,,,,MISSING_DATA
001.txt,023.txt,dsb,29,26,219620,0.0469665,0,0.0170945,185615,185615,0,,,,MISSING_DATA
001.txt,025.txt,dsb,10,8,455,0.000152971,0,8.48E-05,357,357,0,10,2008,0.000263997,PASS
001.txt,026.txt,dsb,24,25,194387,0.0364527,0,0.0363793,152882,152882,0,24,670602,0.044486,PASS
001.txt,027.txt,dsb,5,2,1188,0.000168122,0,1.07E-05,795,795,0,5,55374,0.00275695,PASS
