instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
g10,g100,dsb,18,11,898041652,1000.05,1,250890501,256.996,584369680,584369680,0,,,,MISSING_DATA
g10,g101,dsb,27,25,683691823,1000.04,1,30039357,24.2301,587060033,587060033,0,,,,MISSING_DATA
g10,g102,dsb,26,25,4504376626,1000.02,1,178978728,60.6618,3916696821,3916696821,0,,,,MISSING_DATA
g10,g103,dsb,27,27,751016248,1000.04,1,21298635,27.7802,680415555,680415555,0,,,,MISSING_DATA
g10,g104,dsb,29,36,1439537311,1000.04,1,61295759,23.0005,1182154350,1182154350,0,,,,MISSING_DATA
g10,g105,dsb,29,33,645607748,1000.04,1,36108633,6.8374,573047823,573047823,0,,,,MISSING_DATA
g10,g106,dsb,32,42,494583064,1000.06,1,3459540,7.53221,378995032,378995032,0,,,,MISSING_DATA
g10,g107,dsb,31,42,528540482,1000.06,1,214000191,420.598,383686345,383686345,0,,,,MISSING_DATA
g10,g108,dsb,31,43,501396314,1000.08,1,21646932,36.8735,359951102,359951102,0,,,,MISSING_DATA
g10,g109,dsb,29,34,392304974,1000.1,1,313020061,793.714,294172148,294172148,0,,,,MISSING_DATA
g10,g11,dsb,27,32,7307694567,1000.02,1,1157739556,148.057,5260591474,5260591474,0,,,,MISSING_DATA
g10,g110,dsb,32,43,278029461,1000.13,1,33,0.000199701,256642669,256642669,0,,,,MISSING_DATA
g10,g111,dsb,32,42,389951608,1000.09,1,3460804,9.13136,298792272,298792272,0,,,,MISSING_DATA
g10,g112,dsb,34,48,226821419,1000.13,1,2915192,10.9903,196477162,196477162,0,,,,MISSING_DATA
g10,g12,dsb,19,10,30594823799,1000.01,1,60003,0.00315448,23646229889,23646229889,0,,,,MISSING_DATA
g10,g13,dsb,23,14,20487061614,1000.02,1,10888303471,525.699,16652323913,16652323913,0,,,,MISSING_DATA
g10,g14,dsb,25,22,13918585568,1000.02,1,4109521874,270.194,11746666818,11746666818,0,,,,MISSING_DATA
g10,g15,dsb,22,15,12813740053,1000.01,1,304583832,24.3822,11590671100,11590671100,0,,,,MISSING_DATA
g10,g16,dsb,26,33,8942535858,1000.01,1,1667728212,171.216,6643367386,6643367386,0,,,,MISSING_DATA
g10,g17,dsb,32,35,1065728962,116.158,0,830161930,90.6338,756144806,756144806,0,32,1065728962,119.424,PASS
g10,g18,dsb,32,34,5972491851,584.735,0,4689028910,453.977,3978678176,3978678176,0,32,5972491851,577.259,PASS
g10,g19,dsb,31,39,8958213912,1000.02,1,563635315,68.6733,6604573325,6604573325,0,,,,MISSING_DATA
g10,g20,dsb,15,24,6534554740,1000.02,1,49157982,6.9225,4732662282,4732662282,0,,,,MISSING_DATA
g10,g21,dsb,6,9,1277443,0.126826,0,637,5.85E-05,1054680,1054680,0,6,1277443,0.146793,PASS
g10,g22,dsb,28,28,11954126144,1000.02,1,718776373,61.7499,9625123688,9625123688,0,,,,MISSING_DATA
g10,g23,dsb,27,28,15702992807,1000.01,1,5274196486,376.588,13141437220,13141437220,0,,,,MISSING_DATA
g10,g24,dsb,27,22,9522489928,1000.02,1,1441206025,148.858,8484229496,8484229496,0,,,,MISSING_DATA
g10,g25,dsb,16,10,10849483226,1000.02,1,888684928,78.8178,10601049183,10601049183,0,,,,MISSING_DATA
g10,g26,dsb,23,18,9911545219,1000.02,1,59421,0.00497348,9153020336,9153020336,0,,,,MISSING_DATA
g10,g27,dsb,28,30,11942416151,1000.02,1,3506251839,258.047,10465563930,10465563930,0,,,,MISSING_DATA
g10,g28,dsb,28,28,8481508308,1000.02,1,828109391,75.2779,7731574596,7731574596,0,,,,MISSING_DATA
g10,g29,dsb,28,33,7132029993,1000.01,1,455417375,56.5633,4993243871,4993243871,0,,,,MISSING_DATA
g10,g30,dsb,28,31,7022118205,1000.01,1,1121153601,153.273,4876572380,4876572380,0,,,,MISSING_DATA
g10,g31,dsb,27,33,6828116801,1000.02,1,2293304,0.27232,4716369219,4716369219,0,,,,MISSING_DATA
g10,g32,dsb,3,3,3284139,0.562408,0,4,3.87E-06,3251001,3251001,0,3,3284139,0.556492,PASS
g10,g33,dsb,33,38,8228336760,1000.02,1,130911371,12.5965,6187578450,6187578450,0,,,,MISSING_DATA
g10,g34,dsb,31,35,9112821820,1000.02,1,173023933,22.225,5849528835,5849528835,0,,,,MISSING_DATA
g10,g35,dsb,34,39,7149275575,1000.02,1,7033835706,981.373,5344152777,5344152777,0,,,,MISSING_DATA
g10,g36,dsb,33,39,6764258149,1000.02,1,1783557948,244.937,4949132217,4949132217,0,,,,MISSING_DATA
g10,g37,dsb,32,39,9539452574,1000.01,1,5889946316,564.3,7553246535,7553246535,0,,,,MISSING_DATA
g10,g38,dsb,18,10,8441527198,1000.02,1,19,1.49E-05,8300892545,8300892545,0,,,,MISSING_DATA
g10,g39,dsb,29,32,9167607401,1000.02,1,118398479,13.4776,6571214613,6571214613,0,,,,MISSING_DATA
g10,g40,dsb,12,15,9781220325,1000.02,1,4142759,0.299906,8166179227,8166179227,0,,,,MISSING_DATA
g10,g41,dsb,34,42,6883691662,975.61,0,6295455666,883.514,4892303147,4892303147,0,34,6883691662,987.748,PASS
g10,g42,dsb,31,39,6687339542,1000.01,1,3299611310,490.241,5210912430,5210912430,0,,,,MISSING_DATA
g10,g43,dsb,27,30,8870123207,1000.02,1,2389567,0.247874,7333304269,7333304269,0,,,,MISSING_DATA
g10,g44,dsb,31,33,10053256022,1000.02,1,8069862075,794.396,9120036901,9120036901,0,,,,MISSING_DATA
g10,g45,dsb,31,34,9990816023,1000.02,1,7690809037,756.644,9056090828,9056090828,0,,,,MISSING_DATA
g10,g46,dsb,33,43,6934176771,1000.02,1,54097643,6.66606,5088127297,5088127297,0,,,,MISSING_DATA
g10,g47,dsb,33,42,6864466603,1000.02,1,468563739,61.7909,5001300505,5001300505,0,,,,MISSING_DATA
g10,g48,dsb,33,41,7127427378,1000.02,1,4182921014,575.696,5138372265,5138372265,0,,,,MISSING_DATA
g10,g49,dsb,30,39,10046692044,1000.02,1,162610841,22.7769,7902029798,7902029798,0,,,,MISSING_DATA
g10,g50,dsb,17,19,9403580029,1000.01,1,1104492194,102.146,8184406613,8184406613,0,,,,MISSING_DATA
g10,g51,dsb,29,32,7557213493,1000.01,1,2852950944,346.201,6813702227,6813702227,0,,,,MISSING_DATA
g10,g52,dsb,27,27,9671377570,1000.02,1,255414261,26.1149,9293405882,9293405882,0,,,,MISSING_DATA
g10,g53,dsb,25,29,11396117324,1000.02,1,28345848,3.51472,8330065578,8330065578,0,,,,MISSING_DATA
g10,g54,dsb,32,42,5365923903,1000.02,1,2147576319,367.358,4211845871,4211845871,0,,,,MISSING_DATA
g10,g55,dsb,30,35,5990417316,1000.02,1,64393269,9.79605,4744891678,4744891678,0,,,,MISSING_DATA
g10,g56,dsb,32,41,5350110512,1000.02,1,1342682,0.202178,4196931809,4196931809,0,,,,MISSING_DATA
g10,g57,dsb,21,13,3019243408,1000.02,1,476008676,139.699,2789966143,2789966143,0,,,,MISSING_DATA
g10,g58,dsb,28,30,4162874323,1000.02,1,22612090,5.38895,3875335023,3875335023,0,,,,MISSING_DATA
g10,g59,dsb,27,27,3837657058,1000.02,1,122567879,29.9115,3650651785,3650651785,0,,,,MISSING_DATA
g10,g60,dsb,28,30,5867627873,1000.02,1,2189907603,372.957,5171575345,5171575345,0,,,,MISSING_DATA
g10,g61,dsb,29,32,4594170310,1000.02,1,1173809056,230.205,3463788254,3463788254,0,,,,MISSING_DATA
g10,g62,dsb,29,32,4769817770,1000.02,1,1206847145,225.248,4645675526,4645675526,0,,,,MISSING_DATA
g10,g63,dsb,35,53,4594957514,1000.02,1,325227567,67.7559,3157533792,3157533792,0,,,,MISSING_DATA
g10,g64,dsb,31,38,15317498480,1000.02,1,13873685264,866.911,12350638968,12350638968,0,,,,MISSING_DATA
g10,g65,dsb,32,43,3660394372,1000.02,1,2840364474,750.819,2988929005,2988929005,0,,,,MISSING_DATA
g10,g66,dsb,31,37,4760932142,1000.02,1,256447292,50.5086,3725622535,3725622535,0,,,,MISSING_DATA
g10,g67,dsb,27,25,3198243965,1000.02,1,22896637,2.05116,2732095422,2732095422,0,,,,MISSING_DATA
g10,g68,dsb,37,64,3019489478,1000.02,1,5163,0.00171999,2002946720,2002946720,0,,,,MISSING_DATA
g10,g69,dsb,33,42,3023539397,1000.02,1,12992028,3.76869,2284126197,2284126197,0,,,,MISSING_DATA
g10,g70,dsb,32,41,2233463658,1000.02,1,41706717,17.8384,1840769196,1840769196,0,,,,MISSING_DATA
g10,g71,dsb,33,43,3373511558,1000.02,1,107752284,33.0242,2494350075,2494350075,0,,,,MISSING_DATA
g10,g72,dsb,25,22,1465627249,1000.02,1,392343,0.274887,1449367249,1449367249,0,,,,MISSING_DATA
g10,g73,dsb,28,33,1856996558,1000.02,1,233297274,125.427,1744830821,1744830821,0,,,,MISSING_DATA
g10,g74,dsb,22,18,2468073298,1000.02,1,23,2.42E-05,2459474998,2459474998,0,,,,MISSING_DATA
g10,g75,dsb,25,23,2811452343,1000.01,1,7308,0.00221996,2675942864,2675942864,0,,,,MISSING_DATA
g10,g76,dsb,18,10,5435076232,1000.02,1,35715288,6.64306,5346028359,5346028359,0,,,,MISSING_DATA
g10,g77,dsb,12,0,2974507099,1000.01,1,13,1.37E-05,2962113526,2962113526,0,,,,MISSING_DATA
g10,g78,dsb,31,45,3108507024,1000.02,1,93122560,31.6679,2517665915,2517665915,0,,,,MISSING_DATA
g10,g79,dsb,32,43,2860990387,1000.02,1,33,3.76E-05,2388028199,2388028199,0,,,,MISSING_DATA
g10,g80,dsb,29,33,1004425799,1000.02,1,17473333,19.2302,917056602,917056602,0,,,,MISSING_DATA
g10,g81,dsb,29,35,932394113,1000.02,1,315132204,269.463,805649293,805649293,0,,,,MISSING_DATA
g10,g82,dsb,29,35,1853868088,1000.02,1,315132204,127.99,1603557969,1603557969,0,,,,MISSING_DATA
g10,g83,dsb,31,39,2143434131,1000.02,1,3290784,1.27044,1568994301,1568994301,0,,,,MISSING_DATA
g10,g84,dsb,29,38,14735851647,1000.03,1,330327597,37.717,13953341258,13953341258,0,,,,MISSING_DATA
g10,g85,dsb,27,26,995163433,1000.02,1,251178,0.134275,844897859,844897859,0,,,,MISSING_DATA
g10,g86,dsb,27,26,866047527,1000.02,1,250408,0.160823,717891730,717891730,0,,,,MISSING_DATA
g10,g87,dsb,30,36,2170969071,1000.02,1,48995987,13.6091,1760751061,1760751061,0,,,,MISSING_DATA
g10,g88,dsb,32,42,2084072242,1000.02,1,655835,0.263294,1712967382,1712967382,0,,,,MISSING_DATA
g10,g89,dsb,28,27,1922045102,1000.03,1,1007708,0.48373,1387811702,1387811702,0,,,,MISSING_DATA
g10,g90,dsb,32,43,1517995394,1000.03,1,1474368492,971.271,1122557828,1122557828,0,,,,MISSING_DATA
g10,g91,dsb,32,40,1167628410,1000.02,1,47933832,39.3865,948053161,948053161,0,,,,MISSING_DATA
g10,g92,dsb,34,47,986677036,1000.02,1,56253,0.0465338,792902722,792902722,0,,,,MISSING_DATA
g10,g93,dsb,38,65,4304789506,1000.04,1,2695473216,566.219,3209695232,3209695232,0,,,,MISSING_DATA
g10,g94,dsb,31,39,933229445,1000.02,1,13569,0.010042,772820951,772820951,0,,,,MISSING_DATA
g10,g95,dsb,30,37,445762557,1000.03,1,219967,0.376758,394013000,394013000,0,,,,MISSING_DATA
g10,g96,dsb,31,39,590875067,1000.03,1,238668422,385.472,500128903,500128903,0,,,,MISSING_DATA
g10,g97,dsb,31,38,612548357,1000.02,1,198362240,321.488,492027751,492027751,0,,,,MISSING_DATA
g10,g98,dsb,31,38,730993462,1000.03,1,704119733,958.702,580659259,580659259,0,,,,MISSING_DATA
g10,g99,dsb,30,34,503854282,1000.03,1,381374,0.40569,400839932,400839932,0,,,,MISSING_DATA
g100,g101,dsb,755,429,7078732820,1000.64,1,9935,0.00892721,4691458983,4691458983,0,,,,MISSING_DATA
g100,g102,dsb,636,377,7092883898,1000.55,1,869,0.00219904,4382089371,4382089371,0,,,,MISSING_DATA
g100,g103,dsb,503,280,5185704890,1000.36,1,2154,0.00293362,3287191574,3287191574,0,,,,MISSING_DATA
g100,g104,dsb,1288,683,1483401681,1002.42,1,1289,0.00514182,1480354411,1480354411,0,,,,MISSING_DATA
g100,g105,dsb,1296,696,1485956331,1002.46,1,1297,0.0053766,1482903807,1482903807,0,,,,MISSING_DATA
g100,g106,dsb,1436,910,1794254626,1004.15,1,120370182,67.8182,1733647345,1733647345,0,,,,MISSING_DATA
g100,g107,dsb,1417,884,696019041,1005.7,1,76799,0.116161,689260679,689260679,0,,,,MISSING_DATA
g100,g108,dsb,1412,876,632068412,1006.35,1,104416,0.178053,611037745,611037745,0,,,,MISSING_DATA
g100,g109,dsb,1704,1382,3936877366,1011.37,1,416195,0.278151,2886272030,2886272030,0,,,,MISSING_DATA
g100,g110,dsb,1292,649,22136683443,1003.45,1,82370,0.0443653,15343487196,15343487196,0,,,,MISSING_DATA
g100,g111,dsb,1464,958,526309582,1009.61,1,113874,0.258027,483428823,483428823,0,,,,MISSING_DATA
g100,g112,dsb,1497,1001,1121364247,1007.48,1,243045,0.270967,1019819081,1019819081,0,,,,MISSING_DATA
g101,g102,dsb,833,802,4403446317,1000.03,1,1117898776,230.997,2414899045,2414899045,0,,,,MISSING_DATA
g101,g103,dsb,648,651,3805421728,1000.04,1,734336939,190.174,1928489454,1928489454,0,,,,MISSING_DATA
g101,g104,dsb,905,821,452721850,1000.32,1,66442564,173.384,331757530,331757530,0,,,,MISSING_DATA
g101,g105,dsb,881,796,410326280,1000.35,1,173785,0.715034,310187217,310187217,0,,,,MISSING_DATA
g101,g106,dsb,921,856,863449325,1000.08,1,305340,1.26936,702304198,702304198,0,,,,MISSING_DATA
g101,g107,dsb,908,837,932871045,1000.09,1,818044875,876.806,640349540,640349540,0,,,,MISSING_DATA
g101,g108,dsb,918,858,834125064,1000.09,1,260765211,318.846,552451550,552451550,0,,,,MISSING_DATA
g101,g109,dsb,983,953,820557053,1000.1,1,832825,4.38384,578463740,578463740,0,,,,MISSING_DATA
g101,g110,dsb,982,954,1703451514,1000.11,1,144281,0.154305,1403949682,1403949682,0,,,,MISSING_DATA
g101,g111,dsb,921,856,573545309,1000.12,1,681537,4.55245,467832093,467832093,0,,,,MISSING_DATA
g101,g112,dsb,931,859,462488970,1000.16,1,410031838,896.912,377197116,377197116,0,,,,MISSING_DATA
g102,g103,dsb,639,654,9059779465,1000.03,1,7106763133,783.146,4653306983,4653306983,0,,,,MISSING_DATA
g102,g104,dsb,777,714,1071384801,1000.05,1,1058411648,988.436,766527810,766527810,0,,,,MISSING_DATA
