instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time,unified_aborted, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
001.txt,002.txt,ll,46,68,37905,0.00785617,0,0.0076831,22855,22855,0,46,37905,0.005,PASS
001.txt,003.txt,ll,9,5,198,0.000120141,0,1.57E-05,178,178,0,9,40944,0.004,PASS
001.txt,004.txt,ll,11,9,177,0.000144307,0,1.93E-05,155,155,0,11,26947,0.003,PASS
001.txt,007.txt,ll,29,17,20032342838,1000.02,1,0.129918,16988976056,16988976056,0,,,0,MISSING_DATA
001.txt,008.txt,ll,15,10,35192,0.00769163,0,2.78E-05,33032,33032,0,,,0,MISSING_DATA
001.txt,009.txt,ll,35,32,7036490776,1000.01,1,0.0133636,6449659829,6449659829,0,,,0,MISSING_DATA
001.txt,010.txt,ll,15,14,16824,0.00370623,0,0.00246292,15444,15444,0,15,433950,0.08,PASS
001.txt,011.txt,ll,35,32,7023874214,1000.01,1,0.0134474,6438278046,6438278046,0,,,0,MISSING_DATA
001.txt,012.txt,ll,12,6,7735643,1.40455,0,1.36E-05,6724834,6724834,0,,,0,MISSING_DATA
001.txt,013.txt,ll,36,26,18420121810,1000.01,1,2.35706,16136700214,16136700214,0,,,0,MISSING_DATA
001.txt,014.txt,ll,46,68,2266910,0.53273,0,0.531561,1334840,1334840,0,46,2266910,0.528,PASS
001.txt,015.txt,ll,35,23,11919367888,1000.01,1,0.0694473,10522750276,10522750276,0,,,0,MISSING_DATA
001.txt,017.txt,ll,26,23,1717198,0.225719,0,0.0130148,1218774,1218774,0,,,0,MISSING_DATA
001.txt,018.txt,ll,40,36,974633563,176.129,0,0.0506312,851042766,851042766,0,40,797651114,170.769,PASS
001.txt,019.txt,ll,45,62,870340,0.169349,0,0.141795,530963,530963,0,45,870340,0.19,PASS
001.txt,021.txt,ll,32,28,1013168,0.201027,0,0.000549543,862005,862005,0,32,1640776904,350.921,PASS
001.txt,022.txt,ll,29,20,1986355500,294.595,0,136.246,1742556521,1742556521,0,,,0,MISSING_DATA
001.txt,023.txt,ll,29,26,212887,0.0396963,0,0.00946546,176367,176367,0,,,0,MISSING_DATA
001.txt,025.txt,ll,10,8,444,0.0001468,0,6.06E-05,336,336,0,10,1677,0,PASS
001.txt,026.txt,ll,24,25,167598,0.0391193,0,0.0388605,138759,138759,0,24,501734,0.06,PASS
001.txt,027.txt,ll,5,2,1006,0.000271168,0,1.63E-05,693,693,0,5,162256,0.013,PASS
001.txt,028.txt,ll,35,33,151746494,30.3814,0,26.1083,116020047,116020047,0,35,612166376,122.789,PASS
001.txt,029.txt,ll,7,0,7019,0.0016832,0,0.000114713,6567,6567,0,7,68194408,5.623,PASS
001.txt,030.txt,ll,33,25,6436058545,1000.01,1,16.3494,5375089602,5375089602,0,,,0,MISSING_DATA
001.txt,031.txt,ll,6,2,1060,0.000201845,0,1.85E-05,745,745,0,6,3853334,0.284,PASS
001.txt,032.txt,ll,43,48,20516062,4.66951,0,4.64982,16915933,16915933,0,43,20516069,4.659,PASS
001.txt,033.txt,ll,39,26,106788541,27.8892,0,25.3609,97184985,97184985,0,39,126536882,30.114,PASS
001.txt,034.txt,ll,25,21,379079,0.0533924,0,0.0163948,310300,310300,0,25,109998913,14.237,PASS
001.txt,035.txt,ll,19,20,142994530,23.6566,0,1.84E-05,124331963,124331963,0,,,0,MISSING_DATA
001.txt,037.txt,ll,19,15,1085246,0.19821,0,1.92E-05,902614,902614,0,,,0,MISSING_DATA
001.txt,038.txt,ll,31,40,3700326,0.485435,0,3.76E-05,2370658,2370658,0,31,103563195,20.507,PASS
001.txt,041.txt,ll,23,24,20687,0.00309301,0,0.00265056,12540,12540,0,23,2504634,0.402,PASS
001.txt,042.txt,ll,36,18,10987708729,1000.01,1,3.97155,9415241534,9415241534,0,,,0,MISSING_DATA
001.txt,044.txt,ll,13,12,287,0.000115355,0,3.23E-05,252,252,0,13,528753,0.068,PASS
001.txt,045.txt,ll,10,12,72,5.94E-05,0,1.07E-05,62,62,0,10,33,0,PASS
001.txt,046.txt,ll,25,23,1501606,0.224552,0,0.223683,1111498,1111498,0,25,2667556319,472.864,PASS
001.txt,048.txt,ll,40,46,6102606486,1000.01,1,0.044413,5479273159,5479273159,0,,,0,MISSING_DATA
001.txt,049.txt,ll,42,44,4356472449,1000.03,1,366.402,2831014554,2831014554,0,,,0,MISSING_DATA
001.txt,051.txt,ll,43,50,1916228,0.25875,0,0.192934,1349636,1349636,0,43,2981077,0.394,PASS
001.txt,053.txt,ll,16,13,1969,0.000734355,0,0.000647124,1524,1524,0,16,34928,0.005,PASS
001.txt,055.txt,ll,32,25,10360990057,1000.02,1,235.073,9126095385,9126095385,0,,,0,MISSING_DATA
001.txt,056.txt,ll,41,36,10341414,3.04214,0,2.48393,8467753,8467753,0,41,10341323,3.037,PASS
001.txt,057.txt,ll,16,20,85,6.70E-05,0,1.56E-05,69,69,0,16,51,0,PASS
001.txt,058.txt,ll,15,14,11556,0.00342938,0,0.00255492,10637,10637,0,15,146776305,11.329,PASS
001.txt,059.txt,ll,15,9,18244,0.00301373,0,0.00292783,13267,13267,0,15,3676771556,249.532,PASS
001.txt,061.txt,ll,41,44,9763106588,1000.02,1,3.19746,6802343274,6802343274,0,,,0,MISSING_DATA
001.txt,062.txt,ll,9,4,365,0.000173511,0,6.02E-05,326,326,0,9,345106,0.032,PASS
001.txt,063.txt,ll,21,12,5903,0.00162089,0,0.00149288,5042,5042,0,,,0,MISSING_DATA
001.txt,064.txt,ll,36,32,7139256579,1000.01,1,0.0416762,6629574708,6629574708,0,,,0,MISSING_DATA
001.txt,065.txt,ll,20,12,483475,0.0739129,0,0.0700684,382862,382862,0,,,0,MISSING_DATA
001.txt,066.txt,ll,18,16,132430,0.0247358,0,0.0117244,107232,107232,0,,,0,MISSING_DATA
001.txt,067.txt,ll,20,17,104661,0.0174047,0,0.00797991,83162,83162,0,20,5946767754,737.345,PASS
001.txt,068.txt,ll,11,4,947,0.000316066,0,6.54E-05,748,748,0,11,264188615,21.336,PASS
001.txt,069.txt,ll,20,22,546,0.000222715,0,0.000111198,408,408,0,20,809839,0.124,PASS
001.txt,070.txt,ll,43,50,621293302,98.7512,0,98.7285,448196402,448196402,0,43,619065732,99.456,PASS
001.txt,071.txt,ll,32,35,96089747,13.9366,0,13.4702,72616759,72616759,0,,,0,MISSING_DATA
001.txt,072.txt,ll,13,12,428,0.000143206,0,1.54E-05,312,312,0,13,345921,0.046,PASS
001.txt,073.txt,ll,39,32,736473363,159.57,0,132.432,666203438,666203438,0,,,0,MISSING_DATA
001.txt,074.txt,ll,40,30,924895958,228.397,0,227.104,843360947,843360947,0,40,928945523,176.287,PASS
001.txt,075.txt,ll,22,22,84613,0.0140359,0,4.02E-05,62833,62833,0,,,0,MISSING_DATA
001.txt,077.txt,ll,12,13,18038,0.00362505,0,1.53E-05,14573,14573,0,12,3241056,0.356,PASS
001.txt,078.txt,ll,39,32,736473363,128.95,0,106.982,666203438,666203438,0,,,0,MISSING_DATA
001.txt,079.txt,ll,8,5,8479,0.00256354,0,0.000601081,7924,7924,0,8,337221,0.042,PASS
001.txt,080.txt,ll,17,18,29866,0.00333209,0,0.000912528,19489,19489,0,17,566352,0.116,PASS
001.txt,081.txt,ll,38,36,6755184417,1000.01,1,0.0202595,6056156793,6056156793,0,,,0,MISSING_DATA
001.txt,082.txt,ll,17,18,29866,0.00319761,0,0.000897831,19489,19489,0,17,566352,0.116,PASS
