instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
g10,g100,ll,18,12,692593133,1000.04,1,228067394,255.893,477800989,477800989,0,,,0,MISSING_DATA
g10,g101,ll,27,25,973464560,1000.03,1,46134263,39.1613,824830410,824830410,0,,,0,MISSING_DATA
g10,g102,ll,26,25,3788543137,1000.02,1,162864318,77.7902,3294410797,3294410797,0,,,0,MISSING_DATA
g10,g103,ll,27,27,899438298,1000.03,1,21399559,23.7496,814954023,814954023,0,,,0,MISSING_DATA
g10,g104,ll,29,38,674166131,1000.06,1,21290154,39.3444,554777730,554777730,0,,,0,MISSING_DATA
g10,g105,ll,29,33,330302972,1000.08,1,44537045,44.849,293377502,293377502,0,,,0,MISSING_DATA
g10,g106,ll,32,42,235002993,1000.11,1,1686337,7.37908,182126424,182126424,0,,,0,MISSING_DATA
g10,g107,ll,31,42,286044431,1000.11,1,235170003,799.161,201845348,201845348,0,,,0,MISSING_DATA
g10,g108,ll,31,43,351902771,1000.11,1,17684532,48.3999,252499625,252499625,0,,,0,MISSING_DATA
g10,g109,ll,30,35,346862639,1000.11,1,282467647,811.977,258689449,258689449,0,,,0,MISSING_DATA
g10,g11,ll,27,32,7277007062,1000.01,1,802712446,104.296,5308714897,5308714897,0,,,0,MISSING_DATA
g10,g110,ll,32,43,277413775,1000.13,1,33,0.00050987,256074602,256074602,0,,,0,MISSING_DATA
g10,g111,ll,32,42,312571447,1000.15,1,1687601,5.72378,242246251,242246251,0,,,0,MISSING_DATA
g10,g112,ll,34,48,103533637,1000.21,1,3965640,23.4214,87300535,87300535,0,,,0,MISSING_DATA
g10,g12,ll,23,16,8549447670,1000,1,4156567825,430.145,7031610430,7031610430,0,,,0,MISSING_DATA
g10,g13,ll,24,15,7452541078,1000.01,1,876794725,111.007,6481726512,6481726512,0,,,0,MISSING_DATA
g10,g14,ll,25,22,7151042148,1000.02,1,943342109,125.341,6184604570,6184604570,0,,,0,MISSING_DATA
g10,g15,ll,23,17,8773396459,1000.01,1,1958140051,220.964,7740941992,7740941992,0,,,0,MISSING_DATA
g10,g16,ll,26,33,6246140979,1000.02,1,1671815036,250.424,4578636760,4578636760,0,,,0,MISSING_DATA
g10,g17,ll,32,33,728313044,136.579,0,637452120,121.773,539380056,539380056,0,32,728313044,129.97,PASS
g10,g18,ll,32,34,4949951318,786.736,0,4643488531,740.127,3172672224,3172672224,0,32,4949951318,609.483,PASS
g10,g19,ll,31,39,6034596646,1000,1,774974150,131.28,4382548829,4382548829,0,,,0,MISSING_DATA
g10,g20,ll,15,24,5811431784,1000.02,1,17745300,2.8238,4427307683,4427307683,0,,,0,MISSING_DATA
g10,g21,ll,6,9,1341072,0.15309,0,2445,0.000231691,1116323,1116323,0,6,1341072,0.146,PASS
g10,g22,ll,28,28,8882017087,1000.02,1,565233541,60.0221,7036508843,7036508843,0,,,0,MISSING_DATA
g10,g23,ll,26,26,11724189903,1000.02,1,398005513,42.7371,9983076432,9983076432,0,,,0,MISSING_DATA
g10,g24,ll,27,21,7201938880,1000.02,1,1407056495,195.401,6285908381,6285908381,0,,,0,MISSING_DATA
g10,g25,ll,21,12,6575012166,1000.02,1,1219556267,183.056,6362732611,6362732611,0,,,0,MISSING_DATA
g10,g26,ll,23,18,8040863316,1000.01,1,1146201,0.103867,7525248775,7525248775,0,,,0,MISSING_DATA
g10,g27,ll,27,25,7981408614,1000.01,1,3580339962,420.614,6898489989,6898489989,0,,,0,MISSING_DATA
g10,g28,ll,28,28,2938604774,1000.01,1,47895935,12.4139,2679229755,2679229755,0,,,0,MISSING_DATA
g10,g29,ll,28,33,3312638957,1000.02,1,595418651,165.721,2309537468,2309537468,0,,,0,MISSING_DATA
g10,g30,ll,28,31,6596125098,1000.01,1,936841341,137.828,4602172090,4602172090,0,,,0,MISSING_DATA
