,,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size,unified_size
algo,,dal,dsb,ll,mcsplit,rl,dal,dsb,ll,mcsplit,rl,rrsplit
instance_a,instance_b,,,,,,,,,,,
g12,g45,,35.0,,35.0,35.0,36.0,35.0,,35.0,35.0,36.0
g21,g66,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
g29,g30,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,94.0
g44,g45,,114.0,114.0,114.0,114.0,,114.0,114.0,114.0,114.0,122.0
g46,g47,123.0,123.0,123.0,123.0,123.0,124.0,123.0,123.0,123.0,123.0,126.0
g6,g30,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0
g6,g45,18.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0,19.0
g6,g66,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0
g65,g66,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,435.0
g8,g45,,25.0,25.0,25.0,25.0,,25.0,25.0,25.0,25.0,26.0
g8,g47,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0
g85,g86,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1050.0
