instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time,unified_aborted, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
001.txt,002.txt,mcsplit,46,68,42058,0.0050187,0,0.00488691,25283,25283,0,46,42058,0.003,PASS
001.txt,003.txt,mcsplit,9,5,198,5.69E-05,0,7.30E-06,178,178,0,9,61523,0.002,PASS
001.txt,004.txt,mcsplit,11,9,177,5.65E-05,0,9.08E-06,155,155,0,11,37709,0.001,PASS
001.txt,007.txt,mcsplit,29,17,29810950933,1000.01,1,0.61428,25436065812,25436065812,0,,,0,MISSING_DATA
001.txt,008.txt,mcsplit,15,10,63847,0.0105444,0,8.21E-06,60215,60215,0,,,0,MISSING_DATA
001.txt,009.txt,mcsplit,35,32,8917077598,1000.01,1,0.0439632,7500692208,7500692208,0,,,0,MISSING_DATA
001.txt,010.txt,mcsplit,15,15,90481,0.00769845,0,0.00519968,56612,56612,0,15,672190,0.048,PASS
001.txt,011.txt,mcsplit,35,32,8885280487,1000.02,1,0.044797,7474067271,7474067271,0,,,0,MISSING_DATA
001.txt,012.txt,mcsplit,12,6,160635652,17.8524,0,1.00E-05,146496268,146496268,0,,,0,MISSING_DATA
001.txt,013.txt,mcsplit,36,28,25277186707,1000.02,1,39.0972,22585072644,22585072644,0,,,0,MISSING_DATA
001.txt,014.txt,mcsplit,46,68,2274288,0.428968,0,0.428151,1338086,1338086,0,46,2274288,0.544,PASS
001.txt,015.txt,mcsplit,35,23,21509570091,1000.02,1,0.256693,19348885480,19348885480,0,,,0,MISSING_DATA
001.txt,017.txt,mcsplit,26,23,12580747,0.936403,0,0.0292556,9162688,9162688,0,,,0,MISSING_DATA
001.txt,018.txt,mcsplit,40,34,7271804997,868.887,0,0.165582,6354602258,6354602258,0,40,7271805075,989.637,PASS
001.txt,019.txt,mcsplit,45,62,1344499,0.206671,0,0.186783,843664,843664,0,45,1344499,0.285,PASS
001.txt,021.txt,mcsplit,32,28,3481516,0.304454,0,0.00058693,2326756,2326756,0,32,109646832,11.442,PASS
001.txt,022.txt,mcsplit,29,18,19084375516,1000.01,1,198.54,16663127438,16663127438,0,,,0,MISSING_DATA
001.txt,023.txt,mcsplit,29,26,219676,0.0293714,0,0.0102448,185655,185655,0,,,0,MISSING_DATA
001.txt,025.txt,mcsplit,10,8,455,9.62E-05,0,5.08E-05,357,357,0,10,2021,0,PASS
001.txt,026.txt,mcsplit,24,25,194387,0.0325208,0,0.0324468,152882,152882,0,24,746552,0.041,PASS
001.txt,027.txt,mcsplit,5,2,1188,0.000154784,0,7.74E-06,795,795,0,5,168276,0.007,PASS
001.txt,028.txt,mcsplit,35,33,102015106,10.5589,0,7.5746,80064161,80064161,0,35,437218490,41.959,PASS
001.txt,029.txt,mcsplit,7,0,80317,0.0130555,0,0.000195055,77768,77768,0,7,67023137,2.206,PASS
001.txt,030.txt,mcsplit,33,25,10509440829,1000.02,1,1.76738,8674287697,8674287697,0,,,0,MISSING_DATA
001.txt,031.txt,mcsplit,6,2,1242,0.000160663,0,1.20E-05,847,847,0,6,2952229,0.074,PASS
001.txt,032.txt,mcsplit,43,48,41650866,4.58076,0,4.55866,29163416,29163416,0,43,41650873,5.19,PASS
001.txt,033.txt,mcsplit,39,26,326111227,54.831,0,36.501,286288826,286288826,0,39,373980254,69.018,PASS
001.txt,034.txt,mcsplit,25,21,947785,0.0694109,0,0.0447631,753423,753423,0,25,49190028,3.82,PASS
001.txt,035.txt,mcsplit,19,20,60096673,6.54158,0,1.34E-05,51634231,51634231,0,,,0,MISSING_DATA
001.txt,037.txt,mcsplit,19,15,7619677,0.781054,0,1.27E-05,6098357,6098357,0,,,0,MISSING_DATA
001.txt,038.txt,mcsplit,31,40,19677075,1.67603,0,2.17E-05,12760877,12760877,0,31,152890066,15.585,PASS
001.txt,041.txt,mcsplit,23,26,26706,0.00304032,0,0.00211387,15968,15968,0,23,2864108,0.243,PASS
001.txt,042.txt,mcsplit,33,18,34361291745,1000.02,1,6.808,27491246014,27491246014,0,,,0,MISSING_DATA
001.txt,044.txt,mcsplit,13,12,287,7.69E-05,0,2.05E-05,252,252,0,13,1256593,0.06,PASS
001.txt,045.txt,mcsplit,10,12,72,4.39E-05,0,8.74E-06,62,62,0,10,33,0,PASS
001.txt,046.txt,mcsplit,25,23,1810448,0.208783,0,0.20873,1422422,1422422,0,25,3193177162,321.802,PASS
001.txt,048.txt,mcsplit,40,46,10081050909,1000.02,1,0.19221,8418959205,8418959205,0,,,0,MISSING_DATA
001.txt,049.txt,mcsplit,42,44,6676701242,1000.01,1,641.129,4160685778,4160685778,0,,,0,MISSING_DATA
001.txt,051.txt,mcsplit,43,50,1283959,0.135697,0,0.0937031,851302,851302,0,43,4290994,0.361,PASS
001.txt,053.txt,mcsplit,16,13,996,0.000151719,0,0.000108244,718,718,0,16,28709,0.002,PASS
001.txt,055.txt,mcsplit,35,24,19613572926,728.819,0,684.096,16916346069,16916346069,0,,,0,MISSING_DATA
001.txt,056.txt,mcsplit,41,34,103090928,18.9201,0,18.6496,81786518,81786518,0,41,103090938,21.982,PASS
001.txt,057.txt,mcsplit,16,20,85,5.06E-05,0,1.05E-05,69,69,0,16,51,0,PASS
