instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
g10,g100,mcsplit,18,11,909557025,1000.04,1,250890501,256.036,591574955,591574955,0,,,0,MISSING_DATA
g10,g101,mcsplit,27,25,725405443,1000.04,1,30039357,23.8724,623412041,623412041,0,,,0,MISSING_DATA
g10,g102,mcsplit,26,25,4537052120,1000.02,1,178979060,59.2069,3944829301,3944829301,0,,,0,MISSING_DATA
g10,g103,mcsplit,27,27,928176728,1000.03,1,21299832,23.0034,841174785,841174785,0,,,0,MISSING_DATA
g10,g104,mcsplit,29,36,1442337136,1000.04,1,61295764,22.7432,1184230129,1184230129,0,,,0,MISSING_DATA
g10,g105,mcsplit,29,33,647176294,1000.05,1,36108633,6.6586,574439371,574439371,0,,,0,MISSING_DATA
g10,g106,mcsplit,32,42,498322606,1000.07,1,3459903,7.13247,381856412,381856412,0,,,0,MISSING_DATA
g10,g107,mcsplit,31,42,528162223,1000.07,1,214085717,421.11,383445369,383445369,0,,,0,MISSING_DATA
g10,g108,mcsplit,31,43,501745640,1000.07,1,21700344,36.7219,360253269,360253269,0,,,0,MISSING_DATA
g10,g109,mcsplit,29,34,469455512,1000.06,1,313042795,657.502,354470205,354470205,0,,,0,MISSING_DATA
g10,g11,mcsplit,27,32,9550140714,1000.02,1,1157741594,108.333,6859842067,6859842067,0,,,0,MISSING_DATA
g10,g110,mcsplit,32,43,360482995,1000.08,1,33,0.000150948,332793349,332793349,0,,,0,MISSING_DATA
g10,g111,mcsplit,32,42,389556520,1000.08,1,3461167,9.14952,298490972,298490972,0,,,0,MISSING_DATA
g10,g112,mcsplit,34,48,221681255,1000.11,1,2915330,10.6494,192030437,192030437,0,,,0,MISSING_DATA
g10,g12,mcsplit,19,10,35301176254,1000.02,1,749848,0.0219727,27283694787,27283694787,0,,,0,MISSING_DATA
g10,g13,mcsplit,22,12,36578430382,1000.01,1,27954568090,765.887,27787954941,27787954941,0,,,0,MISSING_DATA
g10,g14,mcsplit,25,22,17592769393,1000.02,1,11236667135,564.983,14934229167,14934229167,0,,,0,MISSING_DATA
g10,g15,mcsplit,21,15,29171372465,1000.01,1,89170280,3.76825,24836580392,24836580392,0,,,0,MISSING_DATA
g10,g16,mcsplit,26,33,8976865494,1000.01,1,1667730138,170.084,6668981080,6668981080,0,,,0,MISSING_DATA
g10,g17,mcsplit,32,35,1065801769,107.571,0,830234737,84.1893,756192425,756192425,0,32,1065801769,112.314,PASS
g10,g18,mcsplit,32,34,5972495577,529.657,0,4689032634,411.556,3978680555,3978680555,0,32,5972495577,487.459,PASS
g10,g19,mcsplit,31,39,10626752232,1000.02,1,716137140,69.6332,7740311433,7740311433,0,,,0,MISSING_DATA
g10,g20,mcsplit,15,24,7504571480,1000.02,1,49930240,6.06989,5483548425,5483548425,0,,,0,MISSING_DATA
g10,g21,mcsplit,6,9,1980122,0.17453,0,673,5.79E-05,1644549,1644549,0,6,928173,0.053,PASS
g10,g22,mcsplit,28,28,13469793794,1000.02,1,721332716,55.777,10842956260,10842956260,0,,,0,MISSING_DATA
g10,g23,mcsplit,27,28,17383348053,1000.02,1,5282764215,347.709,14632416681,14632416681,0,,,0,MISSING_DATA
g10,g24,mcsplit,27,22,9913704400,1000.01,1,1442933969,143.752,8825657593,8825657593,0,,,0,MISSING_DATA
g10,g25,mcsplit,16,10,11145432421,1000.02,1,888684928,77.1381,10890163718,10890163718,0,,,0,MISSING_DATA
g10,g26,mcsplit,23,18,28235012857,1000.01,1,429100733,11.9974,25093943012,25093943012,0,,,0,MISSING_DATA
g10,g27,mcsplit,28,30,12791758829,1000.01,1,3554003727,240.288,11196224037,11196224037,0,,,0,MISSING_DATA
g10,g28,mcsplit,28,28,8781712586,1000.01,1,863677047,74.0394,8004299876,8004299876,0,,,0,MISSING_DATA
g10,g29,mcsplit,28,33,8062460685,1000.03,1,455419701,49.2216,5659320297,5659320297,0,,,0,MISSING_DATA
g10,g30,mcsplit,28,31,8156350344,1000.01,1,1121154435,131.176,5667020305,5667020305,0,,,0,MISSING_DATA
g10,g31,mcsplit,27,33,7888335013,1000.02,1,2293867,0.234156,5448335053,5448335053,0,,,0,MISSING_DATA
g10,g32,mcsplit,3,3,3284139,0.58098,0,4,3.04E-06,3251001,3251001,0,3,1094238,0.18,PASS
g10,g33,mcsplit,33,38,8869148563,1000.02,1,131174228,11.6696,6655339508,6655339508,0,,,0,MISSING_DATA
g10,g34,mcsplit,31,35,9948510922,1000.02,1,173028275,20.6956,6385040891,6385040891,0,,,0,MISSING_DATA
g10,g35,mcsplit,34,39,7423187751,985.939,0,7043065990,927.234,5543770038,5543770038,0,,,0,MISSING_DATA
g10,g36,mcsplit,33,39,7260024442,1000,1,1783558570,224.853,5315526962,5315526962,0,,,0,MISSING_DATA
g10,g37,mcsplit,32,39,10273934551,1000.02,1,5891791646,506.851,8115221135,8115221135,0,,,0,MISSING_DATA
g10,g38,mcsplit,18,10,8603559706,1000.02,1,19,1.05E-05,8460225275,8460225275,0,,,0,MISSING_DATA
g10,g39,mcsplit,29,32,9574022042,1000.02,1,147281619,15.3915,6847114976,6847114976,0,,,0,MISSING_DATA
g10,g40,mcsplit,12,15,13854416634,1000.01,1,5022930,0.319994,11694058663,11694058663,0,,,0,MISSING_DATA
g10,g41,mcsplit,34,42,6883766791,918.122,0,6295530795,830.921,4892354166,4892354166,0,34,6883766791,924.377,PASS
g10,g42,mcsplit,31,39,7182009752,1000.02,1,3299620019,457.473,5586447000,5586447000,0,,,0,MISSING_DATA
g10,g43,mcsplit,27,30,9379156351,1000.01,1,2422942,0.234498,7753201063,7753201063,0,,,0,MISSING_DATA
g10,g44,mcsplit,31,33,10715227861,1000.02,1,8524873924,786.303,9693600374,9693600374,0,,,0,MISSING_DATA
g10,g45,mcsplit,31,34,10502193069,1000.02,1,7815228330,730.343,9507796773,9507796773,0,,,0,MISSING_DATA
g10,g46,mcsplit,33,43,7854420568,1000.02,1,54693664,5.93296,5762126275,5762126275,0,,,0,MISSING_DATA
