instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts, ref_size, ref_nodes, ref_time, match
001.txt,002.txt,dsb,46,68,1328850,0.0993559,0,46,1328734,0.0992275,821303,821303,0,0,46,1328850,0.105213,PASS
001.txt,003.txt,dsb,10,8,125,5.44E-05,0,10,11,8.96E-06,115,115,0,0,10,37,0.000113331,PASS
001.txt,004.txt,dsb,12,12,121,6.47E-05,0,12,13,1.18E-05,109,109,0,0,12,44,0.000118789,PASS
001.txt,007.txt,dsb,34,26,11065656038,1000,1,42,88765664,6.50397,9527151249,9527151249,0,0,,,,MISSING_DATA
001.txt,008.txt,dsb,17,16,186,9.56E-05,0,18,18,1.72E-05,162,162,0,0,17,798828,0.0444746,PASS
001.txt,009.txt,dsb,36,36,16156931027,1000,1,46,7915324,0.453084,11610717309,11610717309,0,0,,,,MISSING_DATA
001.txt,010.txt,dsb,16,17,35370,0.00238196,0,18,32158,0.00214152,25428,25428,0,0,16,82852,0.00510143,PASS
001.txt,011.txt,dsb,36,36,16687401652,1000.02,1,46,7915324,0.447188,11990440866,11990440866,0,0,,,,MISSING_DATA
001.txt,012.txt,dsb,18,18,252,7.87E-05,0,18,167,2.99E-05,195,195,0,0,18,140,5.08E-05,PASS
001.txt,013.txt,dsb,35,32,22442471134,1000.01,1,46,2716589598,120.402,19732803093,19732803093,0,0,,,,MISSING_DATA
001.txt,014.txt,dsb,46,68,17484840,2.64826,0,46,17484286,2.64747,10841655,10841655,0,0,46,17484840,2.64458,PASS
001.txt,015.txt,dsb,36,24,15730829462,1000.02,1,46,30239045,1.93446,14398431653,14398431653,0,0,,,,MISSING_DATA
001.txt,017.txt,dsb,27,25,50103071,2.52079,0,32,45388268,2.26769,34530038,34530038,0,0,,,,MISSING_DATA
001.txt,018.txt,dsb,38,27,9539511738,1000.01,1,46,2150339,0.270177,8569977240,8569977240,0,0,,,,MISSING_DATA
001.txt,019.txt,dsb,46,68,198863934,26.0117,0,46,198863463,26.0111,134091260,134091260,0,0,46,198863934,25.1666,PASS
001.txt,021.txt,dsb,33,33,50322377,3.54322,0,36,15872,0.000920445,34471426,34471426,0,0,33,558032835,36.3635,PASS
001.txt,022.txt,dsb,32,29,3263609361,145.255,0,38,10194983,0.604047,2515739261,2515739261,0,0,,,,MISSING_DATA
001.txt,023.txt,dsb,29,24,19261132,1.62687,0,35,4378792,0.288293,15575171,15575171,0,0,,,,MISSING_DATA
001.txt,025.txt,dsb,11,12,2341,0.000528231,0,12,2263,0.000486568,1627,1627,0,0,11,4881,0.000382894,PASS
001.txt,026.txt,dsb,24,25,601227,0.035633,0,27,601103,0.0355817,361771,361771,0,0,24,1170317,0.0620222,PASS
001.txt,027.txt,dsb,7,8,397,0.000110095,0,9,55,1.82E-05,346,346,0,0,7,4365,0.000477506,PASS
001.txt,028.txt,dsb,35,33,10758453919,773.499,0,43,556650111,35.703,8296154585,8296154585,0,0,,,,MISSING_DATA
001.txt,029.txt,dsb,9,10,12855,0.00077524,0,13,8695,0.000557675,8409,8409,0,0,9,41813,0.0024772,PASS
001.txt,030.txt,dsb,37,41,11635906722,1000.01,1,46,177646225,14.6916,8980762028,8980762028,0,0,,,,MISSING_DATA
001.txt,031.txt,dsb,8,8,411,8.84E-05,0,10,65,1.51E-05,357,357,0,0,8,23118,0.00161696,PASS
