instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts, ref_size, ref_nodes, ref_time, match
001.txt,002.txt,ll,46,68,846732,0.07855,0,46,846617,0.0784497,523413,523413,0,221972,46,846732,0.085,PASS
001.txt,003.txt,ll,10,8,125,0.000106831,0,10,11,1.86E-05,115,115,0,40,10,37,0,PASS
001.txt,004.txt,ll,12,12,121,7.49E-05,0,12,13,1.81E-05,109,109,0,38,12,44,0,PASS
001.txt,007.txt,ll,34,26,7691566452,1000.02,1,42,70030790,7.49392,6337267846,6337267846,0,5281532739,,,0,MISSING_DATA
001.txt,008.txt,ll,17,16,186,0.000126691,0,18,18,2.02E-05,162,162,0,102,17,474871,0.059,PASS
001.txt,009.txt,ll,36,36,9812914843,1000.01,1,46,575956,0.0552503,7823525179,7823525179,0,6044788304,,,0,MISSING_DATA
001.txt,010.txt,ll,16,17,37869,0.00411973,0,18,37708,0.00403095,27086,27086,0,18242,16,82531,0.01,PASS
001.txt,011.txt,ll,36,36,12289254508,1000.01,1,46,575956,0.0438205,9805245138,9805245138,0,7582755412,,,0,MISSING_DATA
001.txt,012.txt,ll,18,18,298,0.000126591,0,18,215,4.81E-05,225,225,0,62,18,140,0,PASS
001.txt,013.txt,ll,35,32,15577142331,1000.01,1,46,4409292905,286.734,13117436961,13117436961,0,10862958004,,,0,MISSING_DATA
001.txt,014.txt,ll,46,68,17136798,3.96972,0,46,17136247,3.96817,10697742,10697742,0,4257631,46,17136798,3.657,PASS
001.txt,015.txt,ll,35,24,13073291500,1000.02,1,46,22085621,2.21297,10965655758,10965655758,0,8975014385,,,0,MISSING_DATA
001.txt,017.txt,ll,27,25,29182970,2.30039,0,32,26968671,2.04145,20199939,20199939,0,11490555,,,0,MISSING_DATA
001.txt,018.txt,ll,38,24,5573376356,1000,1,46,1989949,0.475012,5144355895,5144355895,0,4730292210,,,0,MISSING_DATA
001.txt,019.txt,ll,46,68,211185445,32.3,0,46,211184974,32.2989,141738415,141738415,0,72291126,46,211185445,35.863,PASS
001.txt,021.txt,ll,33,33,54220387,6.17417,0,36,22145,0.00191693,37244595,37244595,0,20645180,33,598921340,75.666,PASS
001.txt,022.txt,ll,32,29,1197963044,135.258,0,38,4767865,0.542099,945757014,945757014,0,712981418,,,0,MISSING_DATA
001.txt,023.txt,ll,29,24,26928381,4.98141,0,35,4381762,0.406238,22796779,22796779,0,19003434,,,0,MISSING_DATA
001.txt,025.txt,ll,11,12,890,0.000239401,0,12,808,0.000136677,641,641,0,445,11,4000,0,PASS
001.txt,026.txt,ll,24,25,949732,0.076102,0,27,946329,0.0756176,583073,583073,0,226690,24,665246,0.06,PASS
001.txt,027.txt,ll,7,8,397,0.000171781,0,9,55,2.94E-05,346,346,0,278,7,3088,0,PASS
001.txt,028.txt,ll,35,30,6559312407,886.6,0,43,223407360,26.6971,4877930641,4877930641,0,3398806460,,,0,MISSING_DATA
001.txt,029.txt,ll,9,10,9909,0.00094803,0,13,3282,0.000336972,6218,6218,0,3641,9,39857,0.003,PASS
001.txt,030.txt,ll,37,41,6520233032,1000.02,1,46,377508675,49.1467,5009806897,5009806897,0,4014116323,,,0,MISSING_DATA
001.txt,031.txt,ll,8,8,411,0.000166311,0,10,65,3.90E-05,357,357,0,279,8,29147,0.003,PASS
001.txt,032.txt,ll,44,54,262997004,24.5391,0,46,260504381,24.3014,175459461,175459461,0,88591696,44,262997004,25.092,PASS
001.txt,033.txt,ll,45,60,16680863,1.17441,0,46,16676055,1.1738,10364421,10364421,0,4069261,45,16680863,1.198,PASS
001.txt,034.txt,ll,26,23,11524182,0.655141,0,27,97348,0.0101301,9571809,9571809,0,7619551,26,58092256,3.277,PASS
001.txt,035.txt,ll,23,23,1680566,0.114298,0,26,650756,0.0490949,1054017,1054017,0,470908,23,14960668,1.646,PASS
001.txt,037.txt,ll,22,19,218543,0.0292596,0,24,45100,0.00390946,182864,182864,0,147482,22,196353823,19.3,PASS
001.txt,038.txt,ll,32,40,7900111,1.06682,0,37,680319,0.0858219,5877012,5877012,0,4223196,32,118721971,17.35,PASS
001.txt,041.txt,ll,23,26,244185,0.0246943,0,27,1201,0.000173551,155197,155197,0,71464,23,18656714,2.203,PASS
001.txt,042.txt,ll,36,20,10460607473,1000.02,1,46,5354530132,543.224,8979998740,8979998740,0,7714993630,,,0,MISSING_DATA
001.txt,044.txt,ll,14,12,770,0.000179811,0,15,678,9.51E-05,518,518,0,290,14,7130,0,PASS
001.txt,045.txt,ll,10,12,81,0.000121424,0,10,11,2.25E-05,71,71,0,38,10,39,0,PASS
001.txt,046.txt,ll,25,23,56539100,5.77737,0,31,56178619,5.73379,39605055,39605055,0,24168221,,,0,MISSING_DATA
001.txt,048.txt,ll,41,54,5163286511,1000.02,1,46,1329560924,195.725,4808394323,4808394323,0,4468712220,,,0,MISSING_DATA
001.txt,049.txt,ll,44,60,4800154450,1000.02,1,46,1798058,0.402925,3404557643,3404557643,0,2008959418,,,0,MISSING_DATA
001.txt,051.txt,ll,44,54,9307344585,671.452,0,46,9295446281,670.323,6645816370,6645816370,0,3985340347,44,9307344585,595.153,PASS
001.txt,053.txt,ll,16,13,7998,0.000908788,0,18,7810,0.000814315,5125,5125,0,2660,16,160500,0.016,PASS
001.txt,055.txt,ll,38,30,333165176,41.7601,0,44,234003437,28.4761,257970411,257970411,0,191117059,38,85752943,11.911,PASS
001.txt,056.txt,ll,42,42,11430280950,1000.01,1,46,105502539,10.3851,8324372109,8324372109,0,5218724972,,,0,MISSING_DATA
001.txt,057.txt,ll,16,20,97,7.94E-05,0,16,17,1.70E-05,81,81,0,38,16,59,0,PASS
001.txt,058.txt,ll,15,14,192048,0.0154345,0,18,481,7.36E-05,155700,155700,0,120179,15,247969876,28.183,PASS
001.txt,059.txt,ll,17,16,126,7.12E-05,0,17,18,1.25E-05,109,109,0,44,17,66,0,PASS
001.txt,061.txt,ll,41,44,18620594516,1000.02,1,46,18087219,1.33458,13144970852,13144970852,0,7669528744,,,0,MISSING_DATA
001.txt,062.txt,ll,10,10,217,7.39E-05,0,11,85,1.94E-05,194,194,0,91,10,3346,0,PASS
001.txt,063.txt,ll,22,22,174999,0.0200713,0,25,116217,0.0105327,138393,138393,0,102490,22,855674328,85.042,PASS
001.txt,064.txt,ll,35,30,7182623454,1000.02,1,46,601310831,61.0197,6002772584,6002772584,0,4996013201,,,0,MISSING_DATA
001.txt,065.txt,ll,23,20,201851,0.0194918,0,25,82981,0.00733692,129773,129773,0,60976,23,1879257,0.173,PASS
001.txt,066.txt,ll,18,20,1304756,0.167467,0,25,672526,0.0827292,979500,979500,0,761376,,,0,MISSING_DATA
001.txt,067.txt,ll,22,23,11101,0.00179232,0,24,200,6.82E-05,7503,7503,0,4014,22,2440746,0.283,PASS
001.txt,068.txt,ll,12,10,43309,0.00490481,0,15,42811,0.00479599,30017,30017,0,17126,12,10344774,1.029,PASS
001.txt,069.txt,ll,21,24,13652,0.00150708,0,22,13537,0.00143895,9201,9201,0,6012,21,94089,0.011,PASS
001.txt,070.txt,ll,44,56,8311741680,817.413,0,46,468321763,40.5901,5639215231,5639215231,0,2967402321,44,8311741680,722.782,PASS
001.txt,071.txt,ll,31,34,10267115058,1000.01,1,39,40292964,3.54885,7661978593,7661978593,0,5329146487,,,0,MISSING_DATA
001.txt,072.txt,ll,13,12,444822,0.0382924,0,15,42,2.47E-05,279264,279264,0,113815,13,8867333,0.743,PASS
001.txt,073.txt,ll,40,30,6635555713,1000.02,1,46,881950584,127.505,6106915701,6106915701,0,5609748615,,,0,MISSING_DATA
001.txt,074.txt,ll,40,30,5518305216,1000,1,46,832161907,142.581,5108649038,5108649038,0,4715548302,,,0,MISSING_DATA
001.txt,075.txt,ll,23,24,6149,0.000927746,0,27,245,7.15E-05,4181,4181,0,3421,23,3455939610,419.908,PASS
001.txt,077.txt,ll,13,15,6499,0.000672732,0,15,14,1.98E-05,4416,4416,0,2480,13,1170313,0.098,PASS
001.txt,078.txt,ll,40,30,6637727813,1000.02,1,46,881950584,127.493,6108960168,6108960168,0,5611666147,,,0,MISSING_DATA
001.txt,079.txt,ll,9,10,2262,0.000309358,0,11,42,2.17E-05,1572,1572,0,999,9,24497,0.002,PASS
001.txt,080.txt,ll,18,20,261487,0.0294624,0,20,261395,0.0294056,206138,206138,0,163308,18,377866,0.034,PASS
001.txt,081.txt,ll,39,42,9300202693,1000.01,1,46,287148592,23.1414,7416184755,7416184755,0,5666089342,,,0,MISSING_DATA
001.txt,082.txt,ll,18,20,261487,0.0293905,0,20,261395,0.0293176,206138,206138,0,163308,18,377866,0.034,PASS
001.txt,083.txt,ll,40,30,5480939161,1000,1,46,832161907,142.888,5073192364,5073192364,0,4681991550,,,0,MISSING_DATA
001.txt,084.txt,ll,19,22,4375936,0.398905,0,22,20,1.58E-05,3303206,3303206,0,2232375,19,548151431,38.849,PASS
001.txt,085.txt,ll,42,48,94693972,8.72053,0,46,60241819,5.21354,63993047,63993047,0,35180960,42,94693972,7.233,PASS
001.txt,086.txt,ll,46,68,4435701413,404.03,0,46,4435701279,404.03,2888996033,2888996033,0,1373037191,46,4435701413,329.694,PASS
001.txt,087.txt,ll,39,34,3797807874,1000.02,1,46,65340151,16.5934,3451256548,3451256548,0,3135821005,,,0,MISSING_DATA
001.txt,088.txt,ll,44,58,6782820892,1000.03,1,46,477910525,92.4688,4072329701,4072329701,0,1361895769,,,0,MISSING_DATA
001.txt,089.txt,ll,39,26,740246254,142.381,0,46,736956178,141.691,666471194,666471194,0,603919085,39,740246254,120.155,PASS
001.txt,090.txt,ll,32,26,12053228964,1000.02,1,46,431,8.84E-05,10431435398,10431435398,0,8864200399,,,0,MISSING_DATA
001.txt,091.txt,ll,32,34,4210859083,499.812,0,39,2645878,0.227392,3336940953,3336940953,0,2561346169,,,0,MISSING_DATA
001.txt,092.txt,ll,8,8,2770,0.000381416,0,10,1648,0.000190688,1762,1762,0,1027,8,5400,0,PASS
001.txt,093.txt,ll,38,31,4912410161,1000.01,1,46,239537,0.0574347,4472852048,4472852048,0,4076217191,,,0,MISSING_DATA
001.txt,094.txt,ll,38,31,4857307222,1000.02,1,46,183146,0.0475839,4436833914,4436833914,0,4062650637,,,0,MISSING_DATA
