instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts, ref_size, ref_nodes, ref_time, match
001.txt,002.txt,rl,46,68,974128,0.0974059,0,46,974027,0.0973204,595404,595404,0,243120,46,974128,0.072,PASS
001.txt,003.txt,rl,10,8,125,7.65E-05,0,10,11,2.06E-05,115,115,0,40,10,37,0,PASS
001.txt,004.txt,rl,12,12,121,7.44E-05,0,12,13,1.88E-05,109,109,0,38,12,44,0,PASS
001.txt,007.txt,rl,34,26,8072261539,1000.01,1,42,85262575,7.48493,6791515027,6791515027,0,5782874201,,,0,MISSING_DATA
001.txt,008.txt,rl,17,16,186,0.000121994,0,18,18,3.75E-05,162,162,0,102,17,475850,0.041,PASS
001.txt,009.txt,rl,36,36,14063219342,1000.02,1,46,717813,0.0533197,10805097551,10805097551,0,7801968496,,,0,MISSING_DATA
001.txt,010.txt,rl,16,17,33017,0.0030385,0,18,32858,0.00298726,23786,23786,0,16192,16,118626,0.01,PASS
001.txt,011.txt,rl,36,36,15022565302,1000.01,1,46,717813,0.0522889,11545190710,11545190710,0,8340072475,,,0,MISSING_DATA
001.txt,012.txt,rl,18,18,298,8.74E-05,0,18,215,4.77E-05,225,225,0,62,18,140,0,PASS
001.txt,013.txt,rl,35,34,17971908953,1000.02,1,46,6509234571,360.39,14618981574,14618981574,0,11649790184,,,0,MISSING_DATA
001.txt,014.txt,rl,46,68,22476279,4.41165,0,46,22475713,4.41072,14170189,14170189,0,5863029,46,22476279,4.956,PASS
001.txt,015.txt,rl,36,29,18319630853,1000.01,1,46,2710877611,138.142,14299915062,14299915062,0,10334761290,,,0,MISSING_DATA
001.txt,017.txt,rl,27,24,31972716,2.37498,0,32,20683536,1.25004,22362951,22362951,0,13664864,,,0,MISSING_DATA
001.txt,018.txt,rl,38,27,6747197568,1000.02,1,46,1986312,0.366198,6212987443,6212987443,0,5729104214,,,0,MISSING_DATA
001.txt,019.txt,rl,46,68,216527501,40.7468,0,46,216527036,40.7459,145553264,145553264,0,74578772,46,216527501,36.807,PASS
001.txt,021.txt,rl,33,31,60816103,5.98933,0,36,22066,0.00171624,41064845,41064845,0,21673553,33,579393970,60.358,PASS
001.txt,022.txt,rl,32,27,937081932,100.77,0,38,12452738,1.03777,709198116,709198116,0,497947993,,,0,MISSING_DATA
001.txt,023.txt,rl,29,24,8543503,1.49757,0,35,1024033,0.147195,7305675,7305675,0,6181591,,,0,MISSING_DATA
001.txt,025.txt,rl,11,12,884,0.00016543,0,12,808,0.000120392,635,635,0,445,11,4000,0,PASS
001.txt,026.txt,rl,24,25,1004655,0.0796847,0,27,1001249,0.0792728,616644,616644,0,239897,24,686652,0.055,PASS
001.txt,027.txt,rl,7,8,397,0.00010603,0,9,55,2.03E-05,346,346,0,278,7,3150,0,PASS
001.txt,028.txt,rl,34,42,8345935578,1000.02,1,43,82761575,9.70456,6432460183,6432460183,0,4780087754,,,0,MISSING_DATA
001.txt,029.txt,rl,9,10,9909,0.000937198,0,13,3282,0.000333675,6218,6218,0,3641,9,33303,0.002,PASS
001.txt,030.txt,rl,37,41,6753451348,1000.02,1,46,383530637,62.3966,5168370470,5168370470,0,4115522131,,,0,MISSING_DATA
001.txt,031.txt,rl,8,8,411,0.000250789,0,10,65,6.06E-05,357,357,0,279,8,27933,0.003,PASS
001.txt,032.txt,rl,44,54,55577120,5.8907,0,46,39671656,4.16084,36671847,36671847,0,17878257,44,55577120,4.983,PASS
001.txt,033.txt,rl,45,60,4954806,0.498262,0,46,4943290,0.496583,3300996,3300996,0,1664687,45,4954806,0.356,PASS
001.txt,034.txt,rl,26,22,11958388,0.88081,0,27,519753,0.046468,9869994,9869994,0,7781682,26,61786189,3.172,PASS
001.txt,035.txt,rl,23,23,2008315,0.174309,0,26,789504,0.0818999,1259750,1259750,0,533862,23,208215937,15.613,PASS
001.txt,037.txt,rl,22,19,220687,0.0306222,0,24,43521,0.0039984,183411,183411,0,146293,22,164569135,13.727,PASS
