instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts, ref_size, ref_nodes, ref_time, match
001.txt,002.txt,rrsplit,46,68,12087,0.00255602,0,46,12087,0.00250295,18027,18027,8404,0,46,9619,0.002,PASS
001.txt,003.txt,rrsplit,10,8,10,0.00011931,0,10,10,6.70E-05,11,11,13,0,10,10,0,PASS
001.txt,004.txt,rrsplit,12,12,12,9.11E-05,0,12,12,5.48E-05,13,13,16,0,12,12,0,PASS
001.txt,007.txt,rrsplit,34,26,2222940956,1000.02,1,42,380304,0.144441,10100819335,10100819335,788967854,0,,,0,MISSING_DATA
001.txt,008.txt,rrsplit,17,16,24,0.00035744,0,18,17,7.32E-05,114,114,27,0,17,24,0,PASS
001.txt,009.txt,rrsplit,37,34,2438690760,1000.02,1,46,90599719,32.9102,8368148396,8368148396,1846978999,0,37,2329314452,841.264,PASS
001.txt,010.txt,rrsplit,16,17,9942,0.00227528,0,18,8917,0.00205358,25409,25409,652,0,16,9874,0.002,PASS
001.txt,011.txt,rrsplit,37,34,2454064329,1000.02,1,46,90599719,32.8773,8426570180,8426570180,1859154285,0,37,2323604252,845.819,PASS
001.txt,012.txt,rrsplit,18,18,57,0.000135584,0,18,57,9.19E-05,66,66,41,0,18,57,0,PASS
001.txt,013.txt,rrsplit,40,33,791498179,356.666,0,46,787625852,355.157,2652579360,2652579360,682845312,0,40,359830169,152.361,PASS
001.txt,014.txt,rrsplit,46,68,11874,0.00442251,0,46,11874,0.00371054,24105,24105,5485,0,46,11874,0.004,PASS
001.txt,015.txt,rrsplit,39,24,1979804586,899.015,0,46,1963868049,892.522,8079455250,8079455250,1508195057,0,39,1050649986,551.718,PASS
001.txt,017.txt,rrsplit,27,25,5418499,0.768426,0,32,5153006,0.725491,10975044,10975044,1339608,0,27,5418026,0.796,PASS
001.txt,018.txt,rrsplit,38,27,1579403987,1000.02,1,46,5568,0.00355164,10041134788,10041134788,735935144,0,,,0,MISSING_DATA
001.txt,019.txt,rrsplit,46,68,14787,0.00437578,0,46,14787,0.00381943,27808,27808,6879,0,46,14787,0.003,PASS
001.txt,021.txt,rrsplit,33,33,847845,0.168463,0,36,826,0.000265728,1784926,1784926,322882,0,33,789425,0.171,PASS
001.txt,022.txt,rrsplit,32,29,10619529,2.27582,0,38,1087220,0.198158,27156140,27156140,4319944,0,32,9832533,2.183,PASS
001.txt,023.txt,rrsplit,29,24,27810,0.00806585,0,35,10344,0.00222963,86906,86906,24083,0,29,24543,0.009,PASS
001.txt,025.txt,rrsplit,11,12,256,0.000208312,0,12,256,0.000147161,566,566,81,0,11,256,0,PASS
001.txt,026.txt,rrsplit,24,25,29704,0.0042443,0,27,29704,0.00418113,42159,42159,13422,0,24,28755,0.005,PASS
001.txt,027.txt,rrsplit,7,8,36,0.000147121,0,9,13,8.55E-05,194,194,23,0,7,36,0,PASS
001.txt,028.txt,rrsplit,35,33,26593342,6.60743,0,43,5165594,0.883757,69529638,69529638,11868140,0,35,20051339,6.293,PASS
001.txt,029.txt,rrsplit,9,10,796,0.000242695,0,13,405,0.000156686,1387,1387,381,0,9,788,0,PASS
001.txt,030.txt,rrsplit,37,41,3048968371,989.992,0,46,718641,0.216567,10477566287,10477566287,2196967134,0,37,1553968600,607.554,PASS
001.txt,031.txt,rrsplit,8,8,39,0.000127632,0,10,16,7.70E-05,197,197,25,0,8,39,0,PASS
001.txt,032.txt,rrsplit,44,54,3304495,0.620946,0,46,3230741,0.606415,6667321,6667321,1378101,0,44,3268155,0.623,PASS
001.txt,033.txt,rrsplit,45,60,7598,0.00187728,0,46,7295,0.00169984,11393,11393,5019,0,45,5910,0.001,PASS
001.txt,034.txt,rrsplit,26,23,287970,0.0611104,0,27,1073,0.000640291,1048919,1048919,57363,0,26,287964,0.062,PASS
001.txt,035.txt,rrsplit,23,22,259034,0.0333888,0,26,71378,0.0101138,419154,419154,56396,0,23,252226,0.033,PASS
001.txt,037.txt,rrsplit,22,19,16922,0.00671945,0,24,4454,0.000916756,87099,87099,1276,0,22,16922,0.008,PASS
001.txt,038.txt,rrsplit,32,40,1554305,0.294375,0,37,43425,0.00819794,2830422,2830422,1053944,0,32,1343270,0.288,PASS
001.txt,041.txt,rrsplit,23,26,18827,0.00329145,0,27,148,0.000113319,27310,27310,11893,0,23,16586,0.002,PASS
001.txt,042.txt,rrsplit,38,20,715324747,373.848,0,46,713704896,373.161,3632504090,3632504090,628372490,0,38,239037101,125.59,PASS
001.txt,044.txt,rrsplit,14,12,196,0.00012661,0,15,196,9.49E-05,330,330,27,0,14,196,0,PASS
001.txt,045.txt,rrsplit,10,12,10,8.19E-05,0,10,10,5.26E-05,11,11,13,0,10,10,0,PASS
001.txt,046.txt,rrsplit,25,23,13453580,3.08105,0,31,13397816,3.07081,36804221,36804221,1006607,0,25,13319690,3.154,PASS
001.txt,048.txt,rrsplit,42,44,1237157260,322.131,0,46,1226073981,317.869,3240462567,3240462567,854811240,0,42,1087682703,321.296,PASS
001.txt,049.txt,rrsplit,46,68,2609925,0.568567,0,46,2609925,0.568048,5714907,5714907,775600,0,46,2609800,0.692,PASS
001.txt,051.txt,rrsplit,44,54,4323667,0.933325,0,46,4273734,0.921185,10808004,10808004,2535103,0,44,4275966,1.094,PASS
001.txt,053.txt,rrsplit,16,14,3186,0.000557875,0,18,3003,0.000484055,5015,5015,807,0,16,3026,0.001,PASS
001.txt,055.txt,rrsplit,38,30,11404625,3.78105,0,44,5050888,1.58252,37850966,37850966,3648439,0,38,10113925,4.402,PASS
001.txt,056.txt,rrsplit,42,42,435239989,78.3373,0,46,534085,0.0918885,928112087,928112087,313775350,0,42,434399429,90.459,PASS
001.txt,057.txt,rrsplit,16,20,16,9.05E-05,0,16,16,5.94E-05,17,17,21,0,16,16,0,PASS
001.txt,058.txt,rrsplit,15,14,3423,0.000923694,0,18,72,7.93E-05,10632,10632,1528,0,15,3423,0,PASS
