instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts, ref_size, ref_nodes, ref_time, match
001.txt,002.txt,symsplit,46,68,10103,0.0011241,0,46,10102,0.00101877,4953,4953,6440,0,46,10103,0.00105484,PASS
001.txt,003.txt,symsplit,10,8,11,5.58E-05,0,10,10,4.83E-06,1,1,13,0,10,11,5.69E-05,PASS
001.txt,004.txt,symsplit,12,12,13,5.73E-05,0,12,12,8.76E-06,1,1,16,0,12,13,4.56E-05,PASS
001.txt,007.txt,symsplit,35,24,308588468,34.0845,0,42,202524708,21.9999,224207186,224207186,146647981,0,35,308588468,34.4522,PASS
001.txt,008.txt,symsplit,17,16,80,7.79E-05,0,18,17,1.01E-05,56,56,70,0,17,80,9.58E-05,PASS
001.txt,009.txt,symsplit,37,34,348990127,36.9465,0,46,10468308,1.01837,247467258,247467258,153447607,0,37,348990127,36.8204,PASS
001.txt,010.txt,symsplit,16,17,5417,0.000433429,0,18,4734,0.000335232,3137,3137,2095,0,16,5417,0.000428683,PASS
001.txt,011.txt,symsplit,37,34,348716922,36.7437,0,46,10468308,1.01483,247275632,247275632,153335056,0,37,348716922,36.8523,PASS
001.txt,012.txt,symsplit,18,18,60,7.91E-05,0,18,59,1.89E-05,11,11,46,0,18,60,7.06E-05,PASS
001.txt,013.txt,symsplit,40,33,200195459,21.5045,0,46,197800681,21.2608,142366718,142366718,76836057,0,40,200195459,21.8736,PASS
001.txt,014.txt,symsplit,46,68,20845,0.00329198,0,46,20844,0.00239458,12725,12725,8293,0,46,20845,0.00307838,PASS
001.txt,015.txt,symsplit,39,24,2517083306,257.3,0,46,2487638344,254.487,1987170547,1987170547,489783317,0,39,2517083306,261.794,PASS
001.txt,017.txt,symsplit,27,25,436315,0.02888,0,32,407391,0.0266672,260618,260618,186709,0,27,436315,0.0285787,PASS
001.txt,018.txt,symsplit,38,27,9802323413,1000.02,1,46,5418,0.000643447,8551395278,8551395278,1502407222,0,,,,MISSING_DATA
001.txt,019.txt,symsplit,46,68,10349,0.00202789,0,46,10348,0.00132388,5822,5822,4967,0,46,10349,0.00193446,PASS
001.txt,021.txt,symsplit,33,33,116640,0.0115626,0,36,337,6.56E-05,68340,68340,60313,0,33,116640,0.0112495,PASS
001.txt,022.txt,symsplit,32,29,949891,0.0804966,0,38,221787,0.0152988,574456,574456,509763,0,32,949891,0.0804753,PASS
001.txt,023.txt,symsplit,29,24,17566,0.00192128,0,35,5423,0.000536218,11601,11601,13213,0,29,17566,0.00190359,PASS
001.txt,025.txt,symsplit,11,12,236,7.95E-05,0,12,235,3.20E-05,146,146,148,0,11,236,7.77E-05,PASS
001.txt,026.txt,symsplit,24,25,12889,0.00160788,0,27,12888,0.00155055,6430,6430,6729,0,24,12889,0.000971926,PASS
001.txt,027.txt,symsplit,7,8,138,7.59E-05,0,9,17,5.64E-06,102,102,108,0,7,138,0.000373039,PASS
001.txt,028.txt,symsplit,35,33,4076035,0.438725,0,43,658526,0.0567585,2690536,2690536,2207927,0,35,4076035,0.439224,PASS
001.txt,029.txt,symsplit,9,10,841,0.000153201,0,13,386,4.62E-05,478,478,490,0,9,841,0.000123725,PASS
001.txt,030.txt,symsplit,37,41,148149331,14.6223,0,46,498936,0.0502141,103164932,103164932,70484951,0,37,148149331,14.785,PASS
001.txt,031.txt,symsplit,8,8,142,6.88E-05,0,10,21,6.06E-06,103,103,110,0,8,142,6.19E-05,PASS
001.txt,032.txt,symsplit,44,54,113581,0.0101088,0,46,90519,0.00757917,62181,62181,59569,0,44,113581,0.0102473,PASS
001.txt,033.txt,symsplit,45,60,3421,0.000573213,0,46,2893,0.000389086,1629,1629,2017,0,45,3421,0.000528663,PASS
001.txt,034.txt,symsplit,26,23,6570,0.000585631,0,27,703,0.000109505,4063,4063,3176,0,26,6570,0.000550726,PASS
001.txt,035.txt,symsplit,23,22,29246,0.00225809,0,26,15366,0.00125644,15915,15915,11789,0,23,29246,0.00194534,PASS
001.txt,037.txt,symsplit,22,19,12464,0.00127889,0,24,2098,0.000186871,9308,9308,6770,0,22,12464,0.00148985,PASS
001.txt,038.txt,symsplit,32,40,926085,0.0753567,0,37,23944,0.00198207,499348,499348,571960,0,32,926085,0.0759232,PASS
001.txt,041.txt,symsplit,23,26,14173,0.00105888,0,27,132,3.31E-05,6807,6807,8827,0,23,14173,0.00131747,PASS
001.txt,042.txt,symsplit,38,20,205315307,22.9307,0,46,203927467,22.773,160955058,160955058,74215731,0,38,205315307,23.1781,PASS
001.txt,044.txt,symsplit,14,12,278,0.000160041,0,15,277,3.30E-05,160,160,96,0,14,278,7.61E-05,PASS
001.txt,045.txt,symsplit,10,12,11,0.000121602,0,10,10,9.02E-06,1,1,13,0,10,11,4.58E-05,PASS
001.txt,046.txt,symsplit,25,23,1839769,0.167609,0,31,1823010,0.166316,1263921,1263921,861772,0,25,1839769,0.168263,PASS
001.txt,048.txt,symsplit,42,44,10855844,1.33765,0,46,9343827,1.16129,7599750,7599750,5712493,0,42,10855844,1.34478,PASS
001.txt,049.txt,symsplit,46,68,2220626,0.166862,0,46,2220625,0.166202,1435872,1435872,516902,0,46,2220626,0.165857,PASS
001.txt,051.txt,symsplit,44,54,207870,0.0192309,0,46,182136,0.0161321,113629,113629,145396,0,44,207870,0.018751,PASS
001.txt,053.txt,symsplit,16,14,2221,0.000261223,0,18,1920,0.000156836,1181,1181,931,0,16,2221,0.000221302,PASS
001.txt,055.txt,symsplit,38,30,2263218,0.272901,0,44,785156,0.092476,1563092,1563092,1172512,0,38,2263218,0.274499,PASS
001.txt,056.txt,symsplit,42,42,100528261,6.51118,0,46,412580,0.025276,61433646,61433646,41064021,0,42,100528261,6.38452,PASS
001.txt,057.txt,symsplit,16,20,17,9.24E-05,0,16,16,1.43E-05,1,1,21,0,16,17,5.07E-05,PASS
001.txt,058.txt,symsplit,15,14,4244,0.00046565,0,18,168,3.11E-05,2851,2851,2533,0,15,4244,0.000476894,PASS
001.txt,059.txt,symsplit,17,16,18,0.00011299,0,17,17,2.96E-05,1,1,20,0,17,18,5.63E-05,PASS
001.txt,061.txt,symsplit,43,46,43304,0.00403861,0,46,42444,0.00380285,23372,23372,24820,0,43,43304,0.00425624,PASS
001.txt,062.txt,symsplit,10,10,80,0.000121232,0,11,17,1.16E-05,57,57,69,0,10,80,7.38E-05,PASS
001.txt,063.txt,symsplit,22,24,3249,0.00039182,0,25,2619,0.000256145,1927,1927,2153,0,22,3249,0.00033933,PASS
001.txt,064.txt,symsplit,37,38,120421058,13.1903,0,46,79713093,8.99574,87331053,87331053,53943411,0,37,120421058,13.186,PASS
001.txt,065.txt,symsplit,23,20,5602,0.000493773,0,25,1302,0.000121873,3118,3118,2122,0,23,5602,0.000465528,PASS
001.txt,066.txt,symsplit,18,20,94346,0.00936938,0,25,68850,0.00663034,66428,66428,66677,0,18,94346,0.00965725,PASS
001.txt,067.txt,symsplit,22,23,958,0.000176135,0,24,87,2.62E-05,527,527,432,0,22,958,0.00016691,PASS
001.txt,068.txt,symsplit,12,10,561,0.000178309,0,15,389,5.97E-05,337,337,449,0,12,561,0.000105058,PASS
001.txt,069.txt,symsplit,21,24,1847,0.000270969,0,22,1846,0.000196507,936,936,1227,0,21,1847,0.000214052,PASS
001.txt,070.txt,symsplit,44,56,167389,0.0197357,0,46,48709,0.00437855,92450,92450,91610,0,44,167389,0.0167144,PASS
001.txt,071.txt,symsplit,32,32,17357885,1.62981,0,39,15696963,1.47409,11232088,11232088,9256377,0,32,17357885,1.68094,PASS
001.txt,072.txt,symsplit,13,12,13824,0.000960014,0,15,24,8.04E-06,7606,7606,6156,0,13,13824,0.00094023,PASS
001.txt,073.txt,symsplit,40,30,18974569,1.78799,0,46,440030,0.0490756,13668910,13668910,6655698,0,40,18974569,1.79481,PASS
001.txt,074.txt,symsplit,40,34,18161545,1.84101,0,46,385171,0.043389,13496372,13496372,5863258,0,40,18161545,1.88644,PASS
001.txt,075.txt,symsplit,23,24,1283,0.000386481,0,27,81,2.88E-05,730,730,706,0,23,1283,0.000212909,PASS
001.txt,077.txt,symsplit,13,15,772,0.000114492,0,15,13,7.14E-06,435,435,575,0,13,772,0.000114572,PASS
001.txt,078.txt,symsplit,40,30,18974569,1.80219,0,46,440030,0.049288,13668910,13668910,6655698,0,40,18974569,1.79319,PASS
001.txt,079.txt,symsplit,9,10,809,0.000150526,0,11,12,1.03E-05,454,454,461,0,9,809,0.000115383,PASS
001.txt,080.txt,symsplit,18,20,21744,0.00151355,0,20,21326,0.00141658,12038,12038,13805,0,18,21744,0.00148372,PASS
001.txt,081.txt,symsplit,39,42,4579710,0.496422,0,46,71251,0.00696433,2902578,2902578,3091003,0,39,4579710,0.491065,PASS
001.txt,082.txt,symsplit,18,20,21744,0.00150574,0,20,21326,0.00141549,12038,12038,13805,0,18,21744,0.00145517,PASS
