instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
001.txt,002.txt,rl,46,68,50048,0.00738705,0,0.00730673,29806,29806,0,46,50048,0.006,PASS
001.txt,003.txt,rl,9,5,198,0.000111036,0,3.33E-05,178,178,0,9,40944,0.003,PASS
001.txt,004.txt,rl,11,9,177,0.000118568,0,4.03E-05,155,155,0,11,26947,0.002,PASS
001.txt,007.txt,rl,29,17,21879845524,1000.02,1,0.104714,18240772933,18240772933,0,,,0,MISSING_DATA
001.txt,008.txt,rl,15,10,34934,0.00757328,0,4.12E-05,32793,32793,0,,,0,MISSING_DATA
001.txt,009.txt,rl,35,32,7329629117,1000.02,1,0.0153608,6723781013,6723781013,0,,,0,MISSING_DATA
001.txt,010.txt,rl,15,14,16828,0.00372601,0,0.00250735,15448,15448,0,15,426783,0.07,PASS
001.txt,011.txt,rl,35,32,7334110720,1000.02,1,0.0153851,6727958044,6727958044,0,,,0,MISSING_DATA
001.txt,012.txt,rl,12,6,7692218,1.45088,0,4.46E-05,6771460,6771460,0,,,0,MISSING_DATA
001.txt,013.txt,rl,36,28,16159269792,1000.02,1,3.11208,14026832304,14026832304,0,,,0,MISSING_DATA
001.txt,014.txt,rl,46,68,319655,0.0825057,0,0.0818439,209948,209948,0,46,319655,0.076,PASS
001.txt,015.txt,rl,35,23,16440929707,1000.01,1,0.0742505,14590364010,14590364010,0,,,0,MISSING_DATA
001.txt,017.txt,rl,26,23,1632355,0.20048,0,0.00849362,1158892,1158892,0,,,0,MISSING_DATA
001.txt,018.txt,rl,40,36,3373454378,561.636,0,0.055233,3018033779,3018033779,0,40,3276021803,643.34,PASS
001.txt,019.txt,rl,45,62,872460,0.157896,0,0.132909,532255,532255,0,45,872460,0.143,PASS
001.txt,021.txt,rl,32,28,1010314,0.183784,0,0.000510359,860565,860565,0,32,3265957901,476.874,PASS
001.txt,022.txt,rl,29,19,2536574907,330.855,0,134.699,2199725973,2199725973,0,,,0,MISSING_DATA
001.txt,023.txt,rl,29,26,241715,0.0427135,0,0.0156912,199966,199966,0,,,0,MISSING_DATA
001.txt,025.txt,rl,10,8,474,0.000120482,0,6.74E-05,360,360,0,10,1677,0,PASS
001.txt,026.txt,rl,24,25,169673,0.0278613,0,0.0276726,139976,139976,0,24,546533,0.059,PASS
001.txt,027.txt,rl,5,2,1006,0.000240934,0,3.04E-05,693,693,0,5,153234,0.01,PASS
001.txt,028.txt,rl,35,39,152974426,21.4949,0,11.6287,112020537,112020537,0,35,2505210087,404.495,PASS
001.txt,029.txt,rl,7,0,7047,0.00362823,0,0.000280319,6595,6595,0,7,68099955,3.468,PASS
001.txt,030.txt,rl,33,25,7077960146,1000.01,1,4.62824,5748705102,5748705102,0,,,0,MISSING_DATA
001.txt,031.txt,rl,6,2,1060,0.000274362,0,6.90E-05,745,745,0,6,3847778,0.248,PASS
001.txt,032.txt,rl,43,48,21244800,4.93811,0,4.91506,17500445,17500445,0,43,21244800,4.687,PASS
001.txt,033.txt,rl,39,26,148612266,36.6268,0,24.4922,134354247,134354247,0,39,219336804,44.97,PASS
001.txt,034.txt,rl,25,21,379859,0.0492883,0,0.0154414,311417,311417,0,25,119428558,13.413,PASS
001.txt,035.txt,rl,19,20,144271186,22.2215,0,2.31E-05,125428840,125428840,0,,,0,MISSING_DATA
001.txt,037.txt,rl,19,15,1066262,0.177156,0,2.21E-05,884468,884468,0,,,0,MISSING_DATA
001.txt,038.txt,rl,31,40,4163398,0.51267,0,3.17E-05,2644105,2644105,0,31,100479419,18.951,PASS
001.txt,041.txt,rl,23,24,20635,0.00246201,0,0.00213643,12513,12513,0,23,2410328,0.351,PASS
001.txt,042.txt,rl,36,19,17703444914,1000.02,1,3.25339,15232753567,15232753567,0,,,0,MISSING_DATA
001.txt,044.txt,rl,13,12,287,0.000105388,0,3.45E-05,252,252,0,13,514647,0.055,PASS
001.txt,045.txt,rl,10,12,72,6.36E-05,0,2.24E-05,62,62,0,10,33,0,PASS
001.txt,046.txt,rl,25,23,1418655,0.214894,0,0.214273,1054966,1054966,0,25,2843142090,459.455,PASS
001.txt,048.txt,rl,40,46,6877746618,1000.02,1,0.0392078,6123193749,6123193749,0,,,0,MISSING_DATA
001.txt,049.txt,rl,42,44,4752636986,1000.02,1,345.661,3085295477,3085295477,0,44,1420434,0.413,FAIL
001.txt,051.txt,rl,43,50,2676419,0.347136,0,0.284262,1916868,1916868,0,43,2957723,0.381,PASS
001.txt,053.txt,rl,16,13,1971,0.000384969,0,0.000338519,1526,1526,0,16,36312,0.006,PASS
001.txt,055.txt,rl,32,22,5604801420,1000.01,1,24.0594,4625286855,4625286855,0,,,0,MISSING_DATA
001.txt,056.txt,rl,41,34,28363202,9.46423,0,9.00552,25172047,25172047,0,41,28363203,8.838,PASS
001.txt,057.txt,rl,16,20,85,6.46E-05,0,2.03E-05,69,69,0,16,51,0,PASS
001.txt,058.txt,rl,15,14,11568,0.0026544,0,0.00186691,10649,10649,0,15,41764894,3.32,PASS
001.txt,059.txt,rl,15,9,18235,0.00247248,0,0.00241177,13258,13258,0,15,3734227280,224.242,PASS
001.txt,061.txt,rl,41,44,10395920025,1000.02,1,0.00358924,7423141611,7423141611,0,,,0,MISSING_DATA
001.txt,062.txt,rl,9,4,398,0.000116755,0,5.62E-05,359,359,0,9,344627,0.036,PASS
001.txt,063.txt,rl,21,12,8286,0.00160687,0,0.00153876,7001,7001,0,,,0,MISSING_DATA
001.txt,064.txt,rl,36,32,9421700401,1000.01,1,0.0376382,8661014239,8661014239,0,,,0,MISSING_DATA
001.txt,065.txt,rl,20,12,514787,0.0735368,0,0.0700361,401546,401546,0,,,0,MISSING_DATA
001.txt,066.txt,rl,18,20,132013,0.0227885,0,0.0107192,106943,106943,0,,,0,MISSING_DATA
001.txt,067.txt,rl,20,17,104917,0.0157781,0,0.00730933,83336,83336,0,20,6047325724,673.548,PASS
001.txt,068.txt,rl,11,4,947,0.000202284,0,4.99E-05,748,748,0,11,266371614,17.931,PASS
001.txt,069.txt,rl,20,22,997,0.000200031,0,0.000143936,652,652,0,20,844324,0.14,PASS
001.txt,070.txt,rl,43,48,623180297,101.224,0,101.202,449660424,449660424,0,43,623055164,96.092,PASS
001.txt,071.txt,rl,32,32,113909087,16.7621,0,10.9107,87568448,87568448,0,,,0,MISSING_DATA
001.txt,072.txt,rl,13,12,428,0.000121844,0,1.82E-05,312,312,0,13,329621,0.047,PASS
001.txt,073.txt,rl,39,29,1053316737,162.779,0,110.809,939223418,939223418,0,39,1053316737,192.934,PASS
001.txt,074.txt,rl,40,30,1775856652,296.743,0,292.711,1616578636,1616578636,0,40,1775856652,353.112,PASS
001.txt,075.txt,rl,22,22,84591,0.0126363,0,6.41E-05,62810,62810,0,,,0,MISSING_DATA
001.txt,077.txt,rl,12,13,18038,0.00342345,0,1.85E-05,14573,14573,0,12,3194101,0.305,PASS
001.txt,078.txt,rl,39,29,1053316737,161.964,0,110.22,939223418,939223418,0,39,1053316737,188.438,PASS
001.txt,079.txt,rl,8,5,8482,0.0019253,0,0.00063056,7927,7927,0,8,317548,0.034,PASS
001.txt,080.txt,rl,17,18,29875,0.00319824,0,0.00086886,19494,19494,0,17,559504,0.08,PASS
001.txt,081.txt,rl,39,40,3199184655,401.751,0,277.568,2679970087,2679970087,0,39,772369082,97.752,PASS
001.txt,082.txt,rl,17,18,29875,0.00302005,0,0.000864219,19494,19494,0,17,559504,0.08,PASS
001.txt,083.txt,rl,40,30,1775856652,296.283,0,292.269,1616578636,1616578636,0,40,1775856652,278.615,PASS
