instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time,unified_aborted, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
001.txt,002.txt,rrsplit,46,68,12087,0.0038435,0,0.00364015,18027,18027,8404,,,0,MISSING_DATA
001.txt,003.txt,rrsplit,10,8,10,0.000243196,0,8.43E-05,11,11,13,,,0,MISSING_DATA
001.txt,004.txt,rrsplit,12,12,12,0.00019953,0,0.000103816,13,13,16,,,0,MISSING_DATA
001.txt,007.txt,rrsplit,34,26,2660983820,1000.02,1,0.13384,11532236625,11532236625,922632532,,,0,MISSING_DATA
001.txt,008.txt,rrsplit,17,16,24,0.000109826,0,6.35E-05,114,114,27,,,0,MISSING_DATA
001.txt,009.txt,rrsplit,37,34,3059905827,1000.02,1,26.5797,10688929058,10688929058,2337805208,,,0,MISSING_DATA
001.txt,010.txt,rrsplit,16,17,9942,0.00186888,0,0.00167959,25409,25409,652,,,0,MISSING_DATA
001.txt,011.txt,rrsplit,37,34,3054443817,1000.02,1,26.6019,10672730970,10672730970,2335816897,,,0,MISSING_DATA
001.txt,012.txt,rrsplit,18,18,57,0.000102715,0,6.98E-05,66,66,41,,,0,MISSING_DATA
001.txt,013.txt,rrsplit,40,33,791498179,291.941,0,290.683,2652579360,2652579360,682845312,,,0,MISSING_DATA
001.txt,014.txt,rrsplit,46,68,11874,0.00445229,0,0.00371178,24105,24105,5485,,,0,MISSING_DATA
001.txt,015.txt,rrsplit,38,30,1960831059,1000.02,1,140.004,8010437021,8010437021,1497022515,,,0,MISSING_DATA
001.txt,017.txt,rrsplit,27,25,5418499,0.872169,0,0.823606,10975044,10975044,1339608,,,0,MISSING_DATA
001.txt,018.txt,rrsplit,38,27,1424879721,1000.01,1,0.00391447,9205654181,9205654181,661075080,,,0,MISSING_DATA
001.txt,019.txt,rrsplit,46,68,14787,0.00505565,0,0.00439659,27808,27808,6879,,,0,MISSING_DATA
001.txt,021.txt,rrsplit,33,33,847845,0.17189,0,0.000224337,1784926,1784926,322882,,,0,MISSING_DATA
001.txt,022.txt,rrsplit,32,29,10619529,2.32569,0,0.197127,27156140,27156140,4319944,,,0,MISSING_DATA
001.txt,023.txt,rrsplit,29,24,27810,0.00793726,0,0.00215775,86906,86906,24083,,,0,MISSING_DATA
001.txt,025.txt,rrsplit,11,12,256,0.00014635,0,0.000110096,566,566,81,,,0,MISSING_DATA
001.txt,026.txt,rrsplit,24,25,29704,0.00415002,0,0.00408813,42159,42159,13422,,,0,MISSING_DATA
001.txt,027.txt,rrsplit,7,8,36,0.000104998,0,5.57E-05,194,194,23,,,0,MISSING_DATA
001.txt,028.txt,rrsplit,35,33,26593342,6.79404,0,0.924155,69529638,69529638,11868140,,,0,MISSING_DATA
001.txt,029.txt,rrsplit,9,10,796,0.000225261,0,0.000129646,1387,1387,381,,,0,MISSING_DATA
001.txt,030.txt,rrsplit,37,41,3030772475,1000.02,1,0.224981,10395554965,10395554965,2184307995,,,0,MISSING_DATA
001.txt,031.txt,rrsplit,8,8,39,0.000104789,0,5.59E-05,197,197,25,,,0,MISSING_DATA
001.txt,032.txt,rrsplit,44,54,3304495,0.653177,0,0.636932,6667321,6667321,1378101,,,0,MISSING_DATA
001.txt,033.txt,rrsplit,45,60,7598,0.00191367,0,0.00169529,11393,11393,5019,,,0,MISSING_DATA
001.txt,034.txt,rrsplit,26,23,287970,0.0653001,0,0.000644203,1048919,1048919,57363,,,0,MISSING_DATA
001.txt,035.txt,rrsplit,23,22,259034,0.0353242,0,0.0107527,419154,419154,56396,,,0,MISSING_DATA
001.txt,037.txt,rrsplit,22,19,16922,0.00726019,0,0.000963596,87099,87099,1276,,,0,MISSING_DATA
