instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
g10,g100,rrsplit,18,11,1467317908,1000.03,1,93969166,60.3174,2513260026,2513260026,255266,,,0,MISSING_DATA
g10,g101,rrsplit,27,25,290974614,1000.03,1,4577847,1.74318,1906126706,1906126706,311158,,,0,MISSING_DATA
g10,g102,rrsplit,27,25,1514148230,1000.03,1,199471668,104.503,9053220965,9053220965,28687038,,,0,MISSING_DATA
g10,g103,rrsplit,27,27,1114861100,1000.02,1,1976441,1.66009,11047019162,11047019162,1027716,,,0,MISSING_DATA
g10,g104,rrsplit,32,44,2967852822,1000.03,1,2634273189,894.676,9168452821,9168452821,187730103,,,0,MISSING_DATA
g10,g105,rrsplit,31,38,1799955433,1000.03,1,1727400939,972.292,13314732364,13314732364,183846527,,,0,MISSING_DATA
g10,g106,rrsplit,33,46,983895080,1000.05,1,667673499,605.889,3208598570,3208598570,1692523,,,0,MISSING_DATA
g10,g107,rrsplit,32,43,2460454097,1000.03,1,591556021,193.409,7758782188,7758782188,5422163,,,0,MISSING_DATA
g10,g108,rrsplit,33,44,1763944446,1000.04,1,264703209,102.688,5921760374,5921760374,2999327,,,0,MISSING_DATA
g10,g109,rrsplit,31,36,1715726773,1000.04,1,1431699063,871.623,5449967037,5449967037,82082,,,0,MISSING_DATA
g10,g11,rrsplit,27,32,2941381699,1000.01,1,303570457,91.7174,7450843051,7450843051,31037933,,,0,MISSING_DATA
g10,g110,rrsplit,32,43,789386421,1000.04,1,32,0.000124888,9079766977,9079766977,27,,,0,MISSING_DATA
g10,g111,rrsplit,33,46,1808819453,1000.04,1,667673499,301.407,6020743570,6020743570,2722076,,,0,MISSING_DATA
g10,g112,rrsplit,34,48,663054928,1000.05,1,422828,0.348439,4695946280,4695946280,2010943,,,0,MISSING_DATA
g10,g12,rrsplit,25,22,3543712152,1000.02,1,521404161,139.071,11734210470,11734210470,466798812,,,0,MISSING_DATA
g10,g13,rrsplit,24,17,2353106796,1000.02,1,278877713,89.9755,14321184455,14321184455,462478231,,,0,MISSING_DATA
g10,g14,rrsplit,25,22,1959313429,1000.01,1,95662156,38.5091,11476085725,11476085725,226075535,,,0,MISSING_DATA
g10,g15,rrsplit,23,17,2704163255,1000.01,1,1249935514,445.947,15097096170,15097096170,839874154,,,0,MISSING_DATA
g10,g16,rrsplit,26,33,2304958927,1000.02,1,410879988,165.207,6581834944,6581834944,47826257,,,0,MISSING_DATA
g10,g17,rrsplit,32,35,308687343,98.6503,0,235534134,76.1157,752307055,752307055,2454528,32,300836826,84.4,PASS
g10,g18,rrsplit,32,34,1978250727,438.831,0,1548729174,337.845,3944035130,3944035130,14942699,32,1975775051,479.022,PASS
g10,g19,rrsplit,31,39,3216769246,1000.01,1,188306012,58.8569,8453254834,8453254834,71745885,,,0,MISSING_DATA
g10,g20,rrsplit,15,24,1938420562,1000.01,1,15234683,6.39675,5256798600,5256798600,144032,,,0,MISSING_DATA
g10,g21,rrsplit,6,9,335573,0.24346,0,159,0.0001391,1644545,1644545,4,6,335573,0.2,PASS
g10,g22,rrsplit,28,28,2480281460,1000.02,1,98386944,39.2324,9646749793,9646749793,40236701,,,0,MISSING_DATA
g10,g23,rrsplit,27,28,2033146800,1000.02,1,202344411,64.7309,12918758692,12918758692,126487616,,,0,MISSING_DATA
g10,g24,rrsplit,27,22,1521507990,1000.02,1,22630823,16.163,10697246841,10697246841,98610960,,,0,MISSING_DATA
g10,g25,rrsplit,18,12,375581239,1000.02,1,22513931,53.9811,10713154096,10713154096,84960279,,,0,MISSING_DATA
g10,g26,rrsplit,24,17,1884501095,1000.02,1,1529100975,854.705,16500059826,16500059826,601606192,,,0,MISSING_DATA
g10,g27,rrsplit,28,30,1456756524,1000.02,1,72615568,36.6375,11030258699,11030258699,123379721,,,0,MISSING_DATA
g10,g28,rrsplit,28,28,1174046661,1000.02,1,6398391,5.50061,10140454281,10140454281,77889511,,,0,MISSING_DATA
g10,g29,rrsplit,28,33,2365028057,1000.02,1,143513462,50.4589,5556212457,5556212457,13802284,,,0,MISSING_DATA
g10,g30,rrsplit,28,33,1985240285,1000.01,1,172770727,75.2822,4538438563,4538438563,12214579,,,0,MISSING_DATA
