instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time,unified_aborted, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
001.txt,002.txt,symsplit,46,68,10103,0.00158384,0,0.0014491,4953,4953,6440,37,302090081,49.2016,FAIL
001.txt,003.txt,symsplit,10,8,11,0.000116616,0,7.03E-06,1,1,13,10,11,5.42E-05,PASS
001.txt,004.txt,symsplit,12,12,13,0.000127743,0,1.58E-05,1,1,16,10,24921,0.00236138,FAIL
001.txt,007.txt,symsplit,35,24,308588468,34.9324,0,22.5553,224207186,224207186,146647981,36,15428293,2.02735,FAIL
001.txt,008.txt,symsplit,17,16,80,0.000108924,0,1.90E-05,56,56,70,16,89,8.55E-05,FAIL
001.txt,009.txt,symsplit,37,34,348990127,37.7294,0,1.04309,247467258,247467258,153447607,34,208841355,33.5234,FAIL
001.txt,010.txt,symsplit,16,17,5417,0.000483832,0,0.000373816,3137,3137,2095,15,4737,0.000340382,FAIL
001.txt,011.txt,symsplit,37,34,348716922,37.9955,0,1.05032,247275632,247275632,153335056,34,208841355,30.2722,FAIL
001.txt,012.txt,symsplit,18,18,60,8.38E-05,0,2.20E-05,11,11,46,18,46,6.66E-05,PASS
001.txt,013.txt,symsplit,40,33,200195459,23.8094,0,23.5436,142366718,142366718,76836057,36,930835040,129.716,FAIL
001.txt,014.txt,symsplit,46,68,20845,0.00369681,0,0.00257411,12725,12725,8293,,,,MISSING_DATA
001.txt,015.txt,symsplit,39,24,2517083306,284.928,0,281.792,1987170547,1987170547,489783317,37,22194075,2.78264,FAIL
001.txt,017.txt,symsplit,27,25,436315,0.0323813,0,0.0297744,260618,260618,186709,26,10116956,0.696669,FAIL
001.txt,018.txt,symsplit,38,27,9611239097,1000,1,0.00066604,8382931227,8382931227,1474072796,38,614070253,85.6133,PASS
001.txt,019.txt,symsplit,46,68,10349,0.00204163,0,0.00129835,5822,5822,4967,41,9181110949,568.362,FAIL
001.txt,021.txt,symsplit,33,33,116640,0.010842,0,6.72E-05,68340,68340,60313,31,1386202,0.193384,FAIL
001.txt,022.txt,symsplit,32,29,949891,0.0956296,0,0.0154064,574456,574456,509763,31,1636558344,159.382,FAIL
001.txt,023.txt,symsplit,29,24,17566,0.00190141,0,0.000540271,11601,11601,13213,27,1700099,0.205666,FAIL
001.txt,025.txt,symsplit,11,12,236,8.46E-05,0,3.40E-05,146,146,148,9,944,0.000149706,FAIL
001.txt,026.txt,symsplit,24,25,12889,0.00119158,0,0.00109343,6430,6430,6729,22,281591,0.0235382,FAIL
