instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
g10,g100,symsplit,18,11,1135079055,1000.03,1,19708285,17.5652,682821067,682821067,460006467,,,,MISSING_DATA
g10,g101,symsplit,27,25,2819236057,1000.02,1,24944067,1.73585,2448268161,2448268161,311158,,,,MISSING_DATA
g10,g102,symsplit,27,25,10450203066,1000.02,1,1340427113,111.434,8945338022,8945338022,28687038,,,,MISSING_DATA
g10,g103,symsplit,27,27,12014843305,1000.02,1,21290338,1.66504,10913133267,10913133267,994666,,,,MISSING_DATA
g10,g104,symsplit,32,44,12033266392,1000.03,1,10273734526,852.537,8994575914,8994575914,373060478,,,,MISSING_DATA
g10,g105,symsplit,30,36,13223555320,1000.03,1,12614242894,956.516,11521628189,11521628189,1371018854,,,,MISSING_DATA
g10,g106,symsplit,33,46,7139528907,1000.03,1,2795556654,323.333,5481121513,5481121513,4770248,,,,MISSING_DATA
g10,g107,symsplit,32,43,9391038029,1000.03,1,2134097682,202.869,7121706271,7121706271,16489612,,,,MISSING_DATA
g10,g108,symsplit,33,44,7488091632,1000.04,1,1044259659,103.638,5762544163,5762544163,9059107,,,,MISSING_DATA
g10,g109,symsplit,31,36,7607434776,1000.04,1,6158305810,828.575,5761904058,5761904058,82098,,,,MISSING_DATA
g10,g11,symsplit,27,32,10439678711,1000.02,1,986698263,85.4317,7449819241,7449819241,29380169,,,,MISSING_DATA
g10,g110,symsplit,32,43,10458178919,1000.04,1,32,5.24E-05,9615262247,9615262247,27,,,,MISSING_DATA
g10,g111,symsplit,33,46,6377391113,1000.05,1,2795556654,364.842,4891234332,4891234332,4319960,,,,MISSING_DATA
g10,g112,symsplit,34,48,3802485512,1000.05,1,2083273,0.362658,3143929614,3143929614,1116721236,,,,MISSING_DATA
g10,g12,symsplit,28,23,3244649488,321.618,0,3213237046,317.672,2470701401,2470701401,649307942,28,3244649488,289.676,PASS
g10,g13,symsplit,26,19,12237948608,1000.02,1,5557730562,441.611,9403734201,9403734201,10092147006,,,,MISSING_DATA
g10,g14,symsplit,28,24,10474897082,1000.01,1,9368222529,883.054,8130644260,8130644260,5978563027,,,,MISSING_DATA
g10,g15,symsplit,26,22,12340801260,1000.02,1,596424446,36.6247,9849509104,9849509104,7870474858,,,,MISSING_DATA
g10,g16,symsplit,26,33,10518640014,1000.02,1,1433891666,125.841,7769309625,7769309625,53154939,,,,MISSING_DATA
g10,g17,symsplit,32,35,1031353036,80.7646,0,797390946,61.9399,730516210,730516210,2355538,32,1031353036,82.1057,PASS
g10,g18,symsplit,32,34,5900172057,418.036,0,4618714140,320.872,3924397006,3924397006,14909467,32,5900172057,418.49,PASS
g10,g19,symsplit,31,39,11737648506,1000.01,1,653777827,56.8744,8471377845,8471377845,71725337,,,,MISSING_DATA
g10,g20,symsplit,15,24,6403332371,1000.01,1,49918150,7.37284,4676397663,4676397663,126393,,,,MISSING_DATA
g10,g21,symsplit,6,9,1980114,0.210853,0,671,7.57E-05,1644541,1644541,4,6,1980114,0.197435,PASS
g10,g22,symsplit,29,31,12124904859,1000.01,1,9628272886,802.565,9543087462,9543087462,435829889,,,,MISSING_DATA
g10,g23,symsplit,28,24,9423836914,1000.01,1,362708313,38.563,7320955582,7320955582,7920268153,,,,MISSING_DATA
g10,g24,symsplit,28,20,2200043017,400.524,0,2066484349,377.647,1624242094,1624242094,3403568651,28,2200043017,413.384,PASS
g10,g25,symsplit,24,19,3147699200,1000.02,1,516924080,193.337,2148186504,2148186504,19594452221,,,,MISSING_DATA
g10,g26,symsplit,26,19,9453798132,1000.01,1,7263726027,784.221,7652776944,7652776944,10630971223,,,,MISSING_DATA
g10,g27,symsplit,28,30,9232495341,1000.02,1,29267652,2.75421,7536340913,7536340913,6199291915,,,,MISSING_DATA
g10,g28,symsplit,29,28,5342097152,1000.02,1,1077917684,217.304,4053573222,4053573222,6429573382,,,,MISSING_DATA
